,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Old Tbilisi (Старый город),Didube,Nadzaladevi,Батуми,Центр,Кутаиси,desc_en
10,04-03-2020 00:31:02,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,7,нет,Тбилиси,10 гр,0.04,24252,9125,815,365,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
11,04-03-2020 00:31:02,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,3,нет,Тбилиси,10 гр,0.0099,6578,2475,221,99,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
12,04-03-2020 00:31:02,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0421,26577,10000,894,400,True,,,,,,,,gashish evro 10g
13,04-03-2020 00:31:03,Tbilisi,0V3X,arinaneb,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",,1,нет,Тбилиси,20 гр,0.0473,29900,11250,1005,450,True,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
14,04-03-2020 00:31:03,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0817,51627,19425,1736,777,True,,,,,,,,Gashish Evro 20gr
15,04-03-2020 00:31:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),,нет,5,Тбилиси,0.27 гр,0.0299,17940,6750,603,270,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
16,04-03-2020 00:31:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),,нет,4,Тбилиси,0.35 гр,0.0332,19933,7500,670,300,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
17,04-03-2020 00:31:03,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,нет,5,Тбилиси,1.1 гр,0.072,43188,16250,1452,650,True,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
18,04-03-2020 00:31:03,Tbilisi,OSN8,KOLOVSKI,Subotex B8 Francce,,нет,5,Тбилиси,1.4 гр,0.0279,18604,7000,626,280,True,,,,,,,,Subotex B8 Francce
19,04-03-2020 00:31:03,Tbilisi,SF03,CRAZYFROG,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,,нет,5,Тбилиси,2 гр,0.0183,11096,4175,373,167,True,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
20,04-03-2020 00:31:03,Tbilisi,SF03,CRAZYFROG,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",,нет,3,Тбилиси,2 гр,0.0181,12200,4597,408,,True,165,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
21,04-03-2020 00:31:03,Tbilisi,OX85,amnesia420,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%,,нет,1,Тбилиси,3 гр,0.011,7309,2750,246,110,True,,,,,,,,3g MIX / PURPLE HAZE + BLUE CHEESE + NORTHERN LIGHTS / BTC -10%
22,04-03-2020 00:31:03,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,4,Тбилиси,3 гр,0.0653,39202,14750,1318,590,True,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
23,04-03-2020 00:31:03,Tbilisi,9VLN,AlienShop,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,,нет,2,Тбилиси,3 гр,0.0188,12558,4725,422,189,True,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
24,04-03-2020 00:31:03,Tbilisi,OSN8,KOLOVSKI,"Метадон прямиком с Ленинграда 3+0,5гр",,нет,1,Тбилиси,3.5 гр,0.1345,89699,33750,3016,1350,,,,,True,,,,"Metadon prjamikom s Leningrada 3+0,5gr"
25,04-03-2020 00:31:03,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0439,26577,10000,894,400,True,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
26,04-03-2020 00:31:03,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0603,36544,13750,1229,550,True,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
27,04-03-2020 00:31:03,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,,нет,8,Тбилиси,5 гр,0.0263,15946,6000,536,240,True,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
28,04-03-2020 00:31:03,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.0274,16611,6250,559,250,True,,,,,,,,5 gr Shishki “OG KUSH VHQ”
29,04-03-2020 00:31:03,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,,нет,2,Тбилиси,5 гр,0.0274,16611,6250,559,250,True,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
30,04-03-2020 00:31:03,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0274,16611,6250,559,250,True,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,04-03-2020 00:31:03,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,2,Тбилиси,5 гр,0.0218,13222,4975,445,199,True,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
32,04-03-2020 00:31:03,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,4,Тбилиси,5 гр,0.0274,16611,6250,559,250,True,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
33,04-03-2020 00:31:03,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0218,14551,5475,489,219,True,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
34,04-03-2020 00:31:03,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0332,19933,7500,670,300,True,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
35,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,3,Тбилиси,5 гр,0.0951,57075,21475,1919,859,True,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
36,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,4,Тбилиси,5 гр,0.0205,12292,4625,413,185,True,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
37,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0541,32491,12225,1093,489,True,,,,,,,,💘✨5g. MDMA ✨💘
38,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.0364,21860,8225,735,329,True,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
39,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0199,11960,4500,402,180,True,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
40,04-03-2020 00:31:47,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0987,59799,22500,2011,900,True,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
41,04-03-2020 00:31:47,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0767,46511,17500,1564,700,True,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
42,04-03-2020 00:31:47,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,8,Тбилиси,10 гр,0.0437,26511,9975,891,399,True,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
43,04-03-2020 00:31:47,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0388,23255,8750,782,350,True,,,,,,,,10x Extasy Duracell 223mg MDMA.
44,04-03-2020 00:31:47,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.0877,53155,20000,1787,800,True,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
45,04-03-2020 00:31:47,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2439,147837,55625,4971,2225,True,,,,,,,,Amfetamin [White] [Import] 10G
46,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1604,96277,36225,3237,1449,True,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
47,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0409,24518,9225,824,369,True,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
48,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,4,Тбилиси,10 гр,0.0331,19867,7475,668,299,True,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
49,04-03-2020 00:31:47,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,20 гр,0.0775,46511,17500,1564,700,True,,,,,,,,20x Extasy Duracell 223mg MDMA.
50,04-03-2020 00:31:47,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0663,39800,14975,1338,599,True,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
51,04-03-2020 00:31:47,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,,нет,2,Тбилиси,25 гр,0.0736,46511,17500,1564,700,True,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
52,04-03-2020 00:31:47,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.1196,79732,30000,2681,1200,True,,,,,,,,50 gr 23% THC Amnesia Haze top quality
53,04-03-2020 00:31:47,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,,нет,1,Тбилиси,50 гр,0.1051,66377,24975,2232,999,True,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
54,04-03-2020 00:31:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2193,132887,50000,4468,2000,True,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
55,04-03-2020 00:31:47,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2215,132887,50000,4468,2000,True,,,,,,,,SUBOXIN - HQ - 100 G.
56,04-03-2020 00:31:47,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2741,166109,62500,5586,2500,True,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,04-03-2020 00:31:47,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.1661,99666,37500,3351,1500,True,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
58,04-03-2020 00:31:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5043,305641,115000,10277,4600,True,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
59,04-03-2020 00:31:47,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8222,498328,187500,16757,7500,True,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
60,04-03-2020 00:31:47,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9319,564771,212500,18991,8500,True,,,,,,,,10000sht marki 25i-nbome. predoplata
61,04-03-2020 00:31:47,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0199,13289,5000,447,200,True,,,,,,,,KURYER..500RUB.+BONUS
62,04-03-2020 00:31:47,Tbilisi,3TGJ9,Elegant,Требуется Курьер,,1,нет,Тбилиси,1 гр,0.0199,13289,5000,447,200,True,,,,,,,,Trebuetsja Kur'er
63,04-03-2020 00:31:47,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0219,13289,5000,447,200,True,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,04-03-2020 00:31:47,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0274,16611,6250,559,250,True,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,04-03-2020 00:31:47,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6594,996656,375000,33513,15000,True,,,,,,,,Vakansija optovogo kur'era na mef
66,04-03-2020 00:32:48,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1644,99666,37500,3351,1500,,,,,,True,,,Skunk! 50 gr.
67,04-03-2020 00:32:48,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,1,5,Батуми,0.27 гр,0.0299,17940,6750,603,270,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
68,04-03-2020 00:32:48,Batumi,OSN8,KOLOVSKI,Subotex B8 Francce,,нет,2,Батуми,1.4 гр,0.0279,18604,7000,626,280,,,,,,,True,,Subotex B8 Francce
69,04-03-2020 00:32:48,Batumi,OSN8,KOLOVSKI,"Метадон прямиком с Ленинграда 3+0,5гр",,нет,1,Батуми,3.5 гр,0.1345,89699,33750,3016,1350,,,,,,,True,,"Metadon prjamikom s Leningrada 3+0,5gr"
70,04-03-2020 00:32:48,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Батуми,5 гр,0.0199,13289,5000,447,200,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
71,04-03-2020 00:32:48,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2215,132887,50000,4468,2000,,,,,,True,,,SUBOXIN - HQ - 100 G.
72,04-03-2020 00:32:48,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.1661,99666,37500,3351,1500,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
73,04-03-2020 00:32:48,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0111,6644,2500,223,100,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
74,04-03-2020 00:32:48,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.005,3322,1250,112,50,,,,,,True,,,kur'er v Batumi
75,04-03-2020 00:32:48,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0249,16611,6250,559,250,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
76,04-03-2020 00:32:48,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0249,16611,6250,559,250,,,,,,True,,,Ischu kur'era v Gruzii!
77,04-03-2020 00:32:48,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6594,996656,375000,33513,15000,,,,,,True,,,Vakansija optovogo kur'era na mef
78,04-03-2020 00:32:48,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0548,33222,12500,1117,500,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
79,04-03-2020 00:33:44,Kutaisi,O9SXJ,Parnavaz,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0082,4917,1850,165,74,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
80,04-03-2020 00:33:44,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.012,7176,2700,241,108,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
81,04-03-2020 00:33:44,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0111,6644,2500,223,100,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
