,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,26-02-2020 18:19:34,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,5,нет,Тбилиси,1 гр,0.0091,5569,2094,189,85.0,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
11,11,26-02-2020 18:19:34,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,1 гр,0.0101,6412,2407,218,,,90.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
12,12,26-02-2020 18:19:34,Tbilisi,ae784bef73,Afghan HQ buds ! NEW ! 1G,True,2,нет,Тбилиси,1 гр,0.005,3079,1158,105,47.0,,,,,,,,,Afghan HQ buds ! NEW ! 1G
13,13,26-02-2020 18:19:34,Tbilisi,eb7e03535b,Cocaine Pure VHQ 1g,True,4,нет,Тбилиси,1 гр,0.0185,12448,4682,423,190.0,,,,,,,,,Cocaine Pure VHQ 1g
14,14,26-02-2020 18:19:34,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,4,нет,Тбилиси,1 гр,0.0238,14414,5421,490,220.0,,,,,,,,,"Cocaine, 1g"
15,15,26-02-2020 18:19:34,Tbilisi,8219f5e7b8,"LSD - 250 ug, 1piece",True,1,нет,Тбилиси,1 гр,0.0043,2621,986,89,40.0,,,,,,,,,"LSD - 250 ug, 1piece"
16,16,26-02-2020 18:19:34,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0205,12383,4657,421,189.0,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
17,17,26-02-2020 18:19:34,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,4,нет,Тбилиси,1 гр,0.0185,11793,4435,401,180.0,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
18,18,26-02-2020 18:19:34,Tbilisi,61df6a1c90,Метадон 1гр,True,3,нет,Тбилиси,1 гр,0.0439,29483,11088,1002,450.0,,,,,,,,,Metadon 1gr
19,19,26-02-2020 18:19:34,Tbilisi,dd631c4acf,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0118,7141,2686,243,109.0,,,,,,,,,✨ 1g. MDMA ✨
20,20,26-02-2020 18:19:34,Tbilisi,4a91350669,2 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,1,нет,Тбилиси,2 гр,0.0203,12383,4657,421,189.0,,,,,,,,,2 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
21,21,26-02-2020 18:19:34,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,4,нет,Тбилиси,2 гр,0.0086,5176,1947,176,79.0,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
22,22,26-02-2020 18:19:34,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,2 гр,0.0076,4586,1725,156,70.0,,,,,,,,,2x Extasy Duracell 223mg MDMA.
23,23,26-02-2020 18:19:34,Tbilisi,8219f5e7b8,"Cocaine, 2 g",True,1,нет,Тбилиси,2 гр,0.0433,26207,9856,891,400.0,,,,,,,,,"Cocaine, 2 g"
24,24,26-02-2020 18:19:34,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,3,нет,Тбилиси,2 гр,0.0366,22604,8501,768,345.0,True,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
25,25,26-02-2020 18:19:34,Tbilisi,8219f5e7b8,Ketamine 2 g,True,4,нет,Тбилиси,2 гр,0.0195,11793,4435,401,180.0,,,,,,,,,Ketamine 2 g
26,26,26-02-2020 18:19:34,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,6,нет,Тбилиси,2 гр,0.0076,4586,1725,156,70.0,,,,,,,,,"LSD - 250 ug, 2 pieces"
27,27,26-02-2020 18:19:34,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0374,22866,8599,777,349.0,,,True,,,,,,Kokain KOLUMBIA 2g
28,28,26-02-2020 18:19:34,Tbilisi,7ee4f68218,🍃 2гр ГАШИШ 🍃,True,3,нет,Тбилиси,2 гр,0.0113,7207,2710,245,110.0,,,,,,,,,🍃 2gr GAShISh 🍃
29,29,26-02-2020 18:19:34,Tbilisi,7ee4f68218,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,3 гр,0.0112,7124,2674,242,,,100.0,,,,,,,"3 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
30,30,26-02-2020 18:19:34,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0225,13759,5174,468,210.0,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
31,31,26-02-2020 18:19:34,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0114,6879,2587,234,105.0,,,,,,,,,3x Extasy Duracell 223mg MDMA
32,32,26-02-2020 18:19:34,Tbilisi,ae784bef73,NEW ! Easy Bud ! 3g,True,4,нет,Тбилиси,3 гр,0.0086,5241,1971,178,80.0,,,,,,,,,NEW ! Easy Bud ! 3g
33,33,26-02-2020 18:19:34,Tbilisi,4be7861731,metadon sirop 4ml,True,1,нет,Тбилиси,4 гр,0.0072,4390,1651,149,67.0,,,,,,,,,metadon sirop 4ml
34,34,26-02-2020 18:19:55,Tbilisi,ae784bef73,NEW ! Easy Bud ! 3g,True,4,нет,Тбилиси,3 гр,0.0085,5241,1971,178,80.0,,,,,,,,,NEW ! Easy Bud ! 3g
35,35,26-02-2020 18:19:55,Tbilisi,4be7861731,metadon sirop 4ml,True,1,нет,Тбилиси,4 гр,0.0072,4390,1651,149,67.0,,,,,,,,,metadon sirop 4ml
36,36,26-02-2020 18:19:55,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.0167,10155,3819,345,155.0,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
37,37,26-02-2020 18:19:55,Tbilisi,7ee4f68218,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,5 гр,0.0184,11755,4412,399,,,165.0,,,,,,,"5 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
38,38,26-02-2020 18:19:55,Tbilisi,8219f5e7b8,"LSD - 250 ug, 5 pieces",True,2,нет,Тбилиси,5 гр,0.0162,9828,3696,334,150.0,,,,,,,,,"LSD - 250 ug, 5 pieces"
39,39,26-02-2020 18:19:55,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,1,нет,Тбилиси,5 гр,0.0172,10417,3918,354,159.0,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
40,40,26-02-2020 18:19:55,Tbilisi,366326d4d6,NEW !!! 5G White Widow !!! NEW,True,1,нет,Тбилиси,5 гр,0.0166,10090,3795,343,154.0,,,,,,,,,NEW !!! 5G White Widow !!! NEW
41,41,26-02-2020 18:19:55,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,5 гр,0.0063,4259,1602,145,65.0,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
42,42,26-02-2020 18:19:55,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0215,13759,5174,468,210.0,,,,,,,,,gashish evro 5g
43,43,26-02-2020 18:19:55,Tbilisi,7ee4f68218,🍃 5гр ГАШИШ 🍃,True,3,нет,Тбилиси,5 гр,0.0277,17690,6653,601,270.0,,,,,,,,,🍃 5gr GAShISh 🍃
44,44,26-02-2020 18:19:55,Tbilisi,7ee4f68218,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,1,нет,Тбилиси,10 гр,0.0334,21373,8022,725,,,300.0,,,,,,,"10 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
45,45,26-02-2020 18:19:55,Tbilisi,7ee4f68218,10 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,1,нет,Тбилиси,10 гр,0.0334,21373,8022,725,,,300.0,,,,,,,10 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
46,46,26-02-2020 18:19:55,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,10,нет,Тбилиси,10 гр,0.0285,17493,6579,595,267.0,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
47,47,26-02-2020 18:19:55,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0323,19655,7392,668,300.0,,,,,,,,,"LSD - 250 ug, 10 pieces"
48,48,26-02-2020 18:19:55,Tbilisi,e501bd0ada,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road",True,2,нет,Тбилиси,10 гр,0.0246,15724,5914,534,240.0,,,,,,,,,"special mix 10 g - gorila glue, amnezia, laughing buddha, northen light - mukhattskaro, close to road"
49,49,26-02-2020 18:19:55,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.040999999999999995,26207,9856,891,400.0,,,,,,,,,gashish evro 10g
50,50,26-02-2020 18:19:55,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,12,нет,Тбилиси,10 гр,0.0092,6224,2341,212,95.0,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
51,51,26-02-2020 18:19:55,Tbilisi,e501bd0ada,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road",True,3,нет,Тбилиси,20 гр,0.0461,29483,11088,1002,450.0,,,,,,,,,"weed gorila glue 20 gram, super duper, popcorn size - mukhattskaro, close to road"
52,52,26-02-2020 18:19:55,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0796,50907,19145,1730,777.0,,,,,,,,,Gashish Evro 20gr
53,53,26-02-2020 18:19:55,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.17 G,True,нет,3,Тбилиси,0.17 гр,0.0162,9828,3696,334,150.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.17 G
54,54,26-02-2020 18:19:55,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,5,Тбилиси,0.27 гр,0.0245,14873,5593,505,227.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
55,55,26-02-2020 18:19:55,Tbilisi,2dbb5960b9,Methadone HQ in city 0.35g,True,нет,2,Тбилиси,0.35 гр,0.0192,11793,4435,401,180.0,,,,,,,,,Methadone HQ in city 0.35g
56,56,26-02-2020 18:19:55,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,нет,5,Тбилиси,0.35 гр,0.0324,19655,7392,668,300.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
57,57,26-02-2020 18:19:55,Tbilisi,2dbb5960b9,Methadone HQ in city 0.7g,True,нет,5,Тбилиси,0.7 гр,0.0299,18345,6899,624,280.0,,,,,,,,,Methadone HQ in city 0.7g
58,58,26-02-2020 18:19:55,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0647,39311,14784,1336,600.0,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
59,59,26-02-2020 18:19:55,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,нет,5,Тбилиси,1.3 гр,0.0587,36035,13552,1225,550.0,,,,,,,,,Methadone HQ in city 1.3g
60,60,26-02-2020 18:19:55,Tbilisi,cb721d4bca,2 гр Afghan Mazar-i-Sharif Hash топ товар !!! Оплата BITCOIN -10% Скидка,True,нет,5,Тбилиси,2 гр,0.0178,10941,4115,372,167.0,,,,,,,,,2 gr Afghan Mazar-i-Sharif Hash top tovar !!! Oplata BITCOIN -10% Skidka
61,61,26-02-2020 18:19:55,Tbilisi,cb721d4bca,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,нет,4,Тбилиси,2 гр,0.0172,11755,4412,399,,,165.0,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
62,62,26-02-2020 18:19:55,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,5,Тбилиси,3 гр,0.0636,38655,14538,1314,590.0,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
63,63,26-02-2020 18:19:55,Tbilisi,dd631c4acf,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,True,нет,5,Тбилиси,3 гр,0.0184,12383,4657,421,189.0,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
64,64,26-02-2020 18:19:55,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,8,Тбилиси,4 гр,0.0427,26207,9856,891,400.0,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
65,65,26-02-2020 18:19:55,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0587,36035,13552,1225,550.0,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
66,66,26-02-2020 18:19:55,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0256,15724,5914,534,240.0,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
67,67,26-02-2020 18:19:55,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0267,16379,6160,557,250.0,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
68,68,26-02-2020 18:19:55,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0267,16379,6160,557,250.0,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
69,69,26-02-2020 18:19:55,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0267,16379,6160,557,250.0,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
70,70,26-02-2020 18:20:59,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0267,16379,6160,557,250.0,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
71,71,26-02-2020 18:20:59,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0213,14348,5396,488,219.0,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
72,72,26-02-2020 18:20:59,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0203,13693,5150,465,209.0,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
73,73,26-02-2020 18:20:59,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0203,13693,5150,465,209.0,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
74,74,26-02-2020 18:20:59,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0267,16379,6160,557,250.0,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
75,75,26-02-2020 18:20:59,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,16,Тбилиси,5 гр,0.0194,13104,4928,445,200.0,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
76,76,26-02-2020 18:20:59,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.282,190000,87429,6506,,,,,,,,,,reagent 25i nbome. 5gr
77,77,26-02-2020 18:20:59,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2917,196553,73920,6680,3000.0,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
78,78,26-02-2020 18:20:59,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,5,Тбилиси,5 гр,0.0928,56280,21166,1913,859.0,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
79,79,26-02-2020 18:20:59,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.02,12121,4558,412,185.0,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
80,80,26-02-2020 18:20:59,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0528,32038,12049,1089,489.0,,,,,,,,,💘✨5g. MDMA ✨💘
81,81,26-02-2020 18:20:59,Tbilisi,dd631c4acf,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0355,21555,8107,733,329.0,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
82,82,26-02-2020 18:20:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0194,11793,4435,401,180.0,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
83,83,26-02-2020 18:20:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0963,58966,22176,2004,900.0,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
84,84,26-02-2020 18:20:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0749,45862,17248,1559,700.0,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
85,85,26-02-2020 18:20:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0427,26142,9831,889,399.0,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
86,86,26-02-2020 18:20:59,Tbilisi,c9a56b2b4a,10x Extasy Duracell 223mg MDMA.,True,1,5,Тбилиси,10 гр,0.0378,22931,8624,779,350.0,,,,,,,,,10x Extasy Duracell 223mg MDMA.
87,87,26-02-2020 18:20:59,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0856,52414,19712,1781,800.0,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
88,88,26-02-2020 18:20:59,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0388,26142,9831,889,399.0,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
89,89,26-02-2020 18:20:59,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.23800000000000002,145777,54824,4955,2225.0,,,,,,,,,Amfetamin [White] [Import] 10G
90,90,26-02-2020 18:20:59,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,10,Тбилиси,10 гр,0.1565,94935,35703,3227,1449.0,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
91,91,26-02-2020 18:20:59,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0399,24176,9092,822,369.0,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
92,92,26-02-2020 18:20:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,5,Тбилиси,10 гр,0.0323,19590,7367,666,299.0,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
93,93,26-02-2020 18:20:59,Tbilisi,c9a56b2b4a,20x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,20 гр,0.0756,45862,17248,1559,700.0,,,,,,,,,20x Extasy Duracell 223mg MDMA.
94,94,26-02-2020 18:20:59,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,10,Тбилиси,20 гр,0.0647,39245,14759,1334,599.0,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
95,95,26-02-2020 18:20:59,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0718,45862,17248,1559,700.0,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
96,96,26-02-2020 18:20:59,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1167,78621,29568,2672,1200.0,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
97,97,26-02-2020 18:20:59,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1025,65452,24615,2225,999.0,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
98,98,26-02-2020 18:20:59,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.1016,62242,23408,2115,950.0,,,,,,,,,Hybrid Skunk! 50 gr
99,99,26-02-2020 18:20:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2139,131035,49280,4454,2000.0,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
100,100,26-02-2020 18:20:59,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1925,117932,44352,4008,1800.0,,,,,,,,,Hybrid Skunk! 100 gr
101,101,26-02-2020 18:20:59,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2674,163794,61600,5567,2500.0,,,,,,,,,Marihuana [Shishki] [Gali] 100G
102,102,26-02-2020 18:20:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.49200000000000005,301381,113344,10243,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
103,103,26-02-2020 18:20:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8021,491383,184800,16701,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
104,104,26-02-2020 18:20:59,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9091,556900,209440,18928,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
