,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,€,Vake,Didube,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
28,02-03-2020 03:36:29,Tbilisi,SF03,CRAZYFROG,"2gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",,нет,3,Тбилиси,2 гр,0.0183,12164,4473,407,,True,165,,,,,,,,"2gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
29,02-03-2020 03:36:29,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,4,Тбилиси,3 гр,0.0666,39525,14573,1321,590,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
30,02-03-2020 03:36:29,Tbilisi,9VLN,AlienShop,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃,,нет,4,Тбилиси,3 гр,0.0192,12661,4668,423,189,True,,,,,,,,,🍃💩💩3g. New! Gorilla Glue Premium Hush💩💩🍃
31,02-03-2020 03:36:29,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0447,26796,9880,896,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,02-03-2020 03:36:29,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0615,36845,13585,1232,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
33,02-03-2020 03:36:29,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,,нет,8,Тбилиси,5 гр,0.0268,16078,5928,537,240,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
34,02-03-2020 03:36:29,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,10,Тбилиси,5 гр,0.028,16748,6175,560,250,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
35,02-03-2020 03:37:22,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,,нет,2,Тбилиси,5 гр,0.028,16748,6175,560,250,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
36,02-03-2020 03:37:22,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.028,16748,6175,560,250,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,02-03-2020 03:37:22,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",,нет,2,Тбилиси,5 гр,0.0223,13331,4915,446,199,True,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
38,02-03-2020 03:37:22,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,4,Тбилиси,5 гр,0.028,16748,6175,560,250,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,02-03-2020 03:37:22,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0223,14671,5409,490,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,02-03-2020 03:37:22,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0339,20097,7410,672,300,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
41,02-03-2020 03:37:22,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,,нет,10,Тбилиси,5 гр,0.028,16748,6175,560,250,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
42,02-03-2020 03:37:22,Tbilisi,TDSHF,THC,Weed from Gali 5g.,,нет,1,Тбилиси,5 гр,0.0258,16078,5928,537,240,True,,,,,,,,,Weed from Gali 5g.
43,02-03-2020 03:37:22,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,17,Тбилиси,5 гр,0.0203,13398,4940,448,200,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
44,02-03-2020 03:37:22,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2883,190000,87429,6347,,True,,,,,,,,,reagent 25i nbome. 5gr
45,02-03-2020 03:37:22,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.305,200973,74100,6717,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,02-03-2020 03:37:22,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,4,Тбилиси,5 гр,0.097,57545,21217,1923,859,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
47,02-03-2020 03:37:22,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0209,12393,4570,414,185,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,02-03-2020 03:37:22,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0552,32759,12078,1095,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
49,02-03-2020 03:37:22,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,,нет,5,Тбилиси,5 гр,0.0372,22040,8126,737,329,True,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
50,02-03-2020 03:37:22,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0203,12058,4446,403,180,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
51,02-03-2020 03:37:22,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1006,60292,22230,2015,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
52,02-03-2020 03:37:22,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0783,46894,17290,1567,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,02-03-2020 03:37:22,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,8,Тбилиси,10 гр,0.0446,26729,9855,893,399,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,02-03-2020 03:37:23,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,10 гр,0.0395,23447,8645,784,350,True,,,,,,,,,10x Extasy Duracell 223mg MDMA.
55,02-03-2020 03:37:23,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.0895,53593,19760,1791,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,02-03-2020 03:37:23,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1636,97070,35790,3244,1449,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
57,02-03-2020 03:37:23,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0417,24720,9114,826,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
58,02-03-2020 03:37:23,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,4,Тбилиси,10 гр,0.0338,20030,7385,670,299,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
59,02-03-2020 03:37:23,Tbilisi,NVOG,ProperMgzn,20x Extasy Duracell 223mg MDMA.,,нет,5,Тбилиси,20 гр,0.0791,46894,17290,1567,700,True,,,,,,,,,20x Extasy Duracell 223mg MDMA.
60,02-03-2020 03:37:23,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0677,40128,14795,1341,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,02-03-2020 03:37:23,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,,нет,2,Тбилиси,25 гр,0.0751,46894,17290,1567,700,True,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
62,02-03-2020 03:37:23,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.122,80389,29640,2687,1200,True,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
63,02-03-2020 03:37:23,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,,нет,1,Тбилиси,50 гр,0.1072,66924,24675,2237,999,True,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
64,02-03-2020 03:37:23,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2236,133982,49400,4478,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,02-03-2020 03:37:23,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2259,133982,49400,4478,2000,True,,,,,,,,,SUBOXIN - HQ - 100 G.
66,02-03-2020 03:37:23,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2796,167477,61750,5598,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,02-03-2020 03:37:23,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.1694,100486,37050,3359,1500,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
68,02-03-2020 03:37:23,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5144,308158,113620,10300,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,02-03-2020 03:37:23,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8387,502432,185250,16793,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,02-03-2020 03:37:46,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8365,502432,185250,16793,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,02-03-2020 03:37:46,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.948,569423,209950,19032,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,02-03-2020 03:37:46,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,1,нет,Тбилиси,1 гр,0.0203,13398,4940,448,200,True,,,,,,,,,KURYER..500RUB.+BONUS
73,02-03-2020 03:37:46,Tbilisi,3TGJ9,Elegant,Требуется Курьер,,1,нет,Тбилиси,1 гр,0.0203,13398,4940,448,200,True,,,,,,,,,Trebuetsja Kur'er
74,02-03-2020 03:37:46,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0223,13398,4940,448,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,02-03-2020 03:37:46,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0279,16748,6175,560,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,02-03-2020 03:37:46,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6882,1004864,370500,33587,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
77,02-03-2020 03:39:15,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.1673,100486,37050,3359,1500,,,,,,,True,,,Skunk! 50 gr.
78,02-03-2020 03:39:15,Batumi,XH0NP,XX-PABLO-XX,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE ),,4,5,Батуми,0.27 гр,0.0304,18088,6669,605,270,,,,,,,True,,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE )
79,02-03-2020 03:39:15,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,1,17,Батуми,5 гр,0.0203,13398,4940,448,200,,,,,,,True,,,Metamfetamin ratsemat 5 g. (MQ)
80,02-03-2020 03:39:15,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2253,133982,49400,4478,2000,,,,,,,True,,,SUBOXIN - HQ - 100 G.
81,02-03-2020 03:39:15,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.169,100486,37050,3359,1500,,,,,,,True,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
82,02-03-2020 03:39:15,Batumi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Батуми,1 гр,0.0113,6699,2470,224,100,,,,,,,True,,,"Ischu kur'era (kladchik, kladmen)"
83,02-03-2020 03:39:15,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0051,3350,1235,112,50,,,,,,,True,,,kur'er v Batumi
84,02-03-2020 03:39:15,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,3 гр,0.0051,3350,1235,112,50,,,,,,,True,,,Vakansija Kur'era v Batumi
85,02-03-2020 03:39:15,Batumi,5SSE9,BIGBROSH0P,Вакансия Курьера в Батуми,,1,нет,Батуми,5 гр,0.0076,5000,2301,167,,,,,,,,True,,,Vakansija Kur'era v Batumi
86,02-03-2020 03:39:15,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0253,16748,6175,560,250,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
87,02-03-2020 03:39:15,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0253,16748,6175,560,250,,,,,,,True,,,Ischu kur'era v Gruzii!
88,02-03-2020 03:39:15,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6882,1004864,370500,33587,15000,,,,,,,True,,,Vakansija optovogo kur'era na mef
89,02-03-2020 03:39:15,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0558,33495,12350,1120,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
90,02-03-2020 03:40:37,Kutaisi,O9SXJ,Parnavaz,Шишки / weeds Afghan Kush - 2г,,1,нет,Кутаиси,2 гр,0.0083,4957,1828,166,74,,,,,,,,,True,Shishki / weeds Afghan Kush - 2g
91,02-03-2020 03:40:37,Kutaisi,O9SXJ,Parnavaz,"Шишки / Weed Afghan Kush, 3g",,1,3,Кутаиси,3 гр,0.0122,7235,2668,242,108,,,,,,,,,True,"Shishki / Weed Afghan Kush, 3g"
92,02-03-2020 03:40:37,Kutaisi,O9SXJ,Parnavaz,"Ищу курьера (кладчик, кладмен)",,1,нет,Кутаиси,1 гр,0.0113,6699,2470,224,100,,,,,,,,,True,"Ischu kur'era (kladchik, kladmen)"
