,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
14,14,31-07-2020 05:45:50,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,,17,нет,Тбилиси,1 гр,0.0042,3375,1283,112,46.0,True,,,,,,,,,Amsterdam weed sativa 1gr
15,15,31-07-2020 05:45:50,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,,1,нет,Тбилиси,1 гр,0.0045,4035,1535,134,55.0,True,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
16,16,31-07-2020 05:45:50,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,,2,нет,Тбилиси,1 гр,0.0045,3668,1395,122,50.0,True,,,,,,,,,VHQ Hybrid MJ Buds 1G
17,17,31-07-2020 05:45:50,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,4,нет,Тбилиси,2 гр,0.0109,8804,3348,293,120.0,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
18,18,31-07-2020 05:45:50,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0109,8804,3348,293,120.0,True,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
19,19,31-07-2020 05:45:50,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.009000000000000001,7336,2790,244,100.0,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
20,20,31-07-2020 05:45:50,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,1,нет,Тбилиси,2 гр,0.0109,8804,3348,293,120.0,True,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
21,21,31-07-2020 05:45:50,Tbilisi,0dec0e1c48,2gr HYBRID buds,,1,нет,Тбилиси,2 гр,0.008,6456,2455,215,88.0,True,,,,,,,,,2gr HYBRID buds
22,22,31-07-2020 05:45:50,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0109,8804,3348,293,120.0,True,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,23,31-07-2020 05:45:50,Tbilisi,7c395c455d,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,,6,нет,Тбилиси,2 гр,0.0181,14673,5580,488,200.0,True,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
24,24,31-07-2020 05:45:50,Tbilisi,ae784bef73,Maserati (ecstasy) 2шт,,4,нет,Тбилиси,2 гр,0.009000000000000001,7336,2790,244,100.0,True,,,,,,,,,Maserati (ecstasy) 2sht
25,25,31-07-2020 05:45:50,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers,True,1,нет,Тбилиси,3 гр,0.0109,8804,3348,293,120.0,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers
26,26,31-07-2020 05:45:50,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,,2,нет,Тбилиси,3 гр,0.0074,6603,2511,219,90.0,True,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
27,27,31-07-2020 05:45:50,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,,нет,1,Тбилиси,1 гр,0.0905,73363,27900,2439,1000.0,True,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
28,28,31-07-2020 05:45:50,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,3,Тбилиси,1 гр,0.0333,26739,10168,888,,True,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
29,29,31-07-2020 05:45:50,Tbilisi,7c395c455d,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,5,Тбилиси,4 гр,0.0362,29345,11160,975,400.0,True,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,30,31-07-2020 05:45:50,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0226,18341,6975,610,250.0,True,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
31,31,31-07-2020 05:45:50,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0244,19808,7533,658,270.0,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,32,31-07-2020 05:45:50,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0249,20175,7673,671,275.0,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
33,33,31-07-2020 05:45:50,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0217,17607,6696,585,240.0,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
34,34,31-07-2020 05:45:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0253,20542,7812,683,280.0,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,35,31-07-2020 05:46:57,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0244,19808,7533,658,270.0,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,36,31-07-2020 05:46:57,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.018000000000000002,16067,6110,534,219.0,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,37,31-07-2020 05:46:57,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,2,Тбилиси,5 гр,0.0213,17240,6557,573,235.0,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
38,38,31-07-2020 05:46:57,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",,нет,2,Тбилиси,5 гр,0.0197,17607,6696,585,240.0,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
39,39,31-07-2020 05:46:57,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",,нет,1,Тбилиси,5 гр,0.0197,17607,6696,585,240.0,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
40,40,31-07-2020 05:46:57,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,,нет,3,Тбилиси,5 гр,0.0213,17240,6557,573,235.0,True,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
41,41,31-07-2020 05:46:57,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0244,19808,7533,658,270.0,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,42,31-07-2020 05:46:57,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.213,190000,87429,6313,,True,,,,,,,,,reagent 25i nbome. 5gr
43,43,31-07-2020 05:46:57,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2467,220090,83700,7316,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
44,44,31-07-2020 05:46:57,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,5 гр,0.0215,17251,6560,573,,True,,200.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
45,45,31-07-2020 05:46:57,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0497,40350,15345,1341,550.0,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
46,46,31-07-2020 05:46:57,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0633,51354,19530,1707,700.0,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,47,31-07-2020 05:46:57,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.038,30813,11718,1024,420.0,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,48,31-07-2020 05:46:57,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0724,58691,22320,1951,800.0,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,31-07-2020 05:46:57,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.038,30813,11718,1024,420.0,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
50,50,31-07-2020 05:46:57,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2013,163233,62078,5426,2225.0,True,,,,,,,,,Amfetamin [White] [Import] 10G
51,51,31-07-2020 05:46:57,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0472,37951,14432,1261,,True,,440.0,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
52,52,31-07-2020 05:46:57,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0419,33639,12792,1118,,True,,390.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
53,53,31-07-2020 05:46:57,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0534,47686,18135,1585,650.0,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
54,54,31-07-2020 05:46:57,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2171,176072,66960,5853,2400.0,True,,,,,,,,,100 gr marijuana buds
55,55,31-07-2020 05:46:57,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",,нет,2,Тбилиси,100 гр,0.0136,11005,4185,366,150.0,True,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
56,56,31-07-2020 05:46:57,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2261,183408,69750,6097,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
57,57,31-07-2020 05:46:57,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5337,432843,164610,14388,5900.0,True,,,,,,,,,180 gr marihuana persoalno
58,58,31-07-2020 05:46:57,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.0905,73363,27900,2439,1000.0,,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
59,59,31-07-2020 05:46:57,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.7688,623588,237150,20728,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
60,60,31-07-2020 05:46:57,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0164,14673,5580,488,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
61,61,31-07-2020 05:46:57,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0226,18341,6975,610,250.0,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
62,62,31-07-2020 05:46:57,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0226,18341,6975,610,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
63,63,31-07-2020 05:46:57,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,,1,нет,Тбилиси,5 гр,0.0493,44018,16740,1463,600.0,True,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
64,64,31-07-2020 05:46:57,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0181,14673,5580,488,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
65,65,31-07-2020 05:46:57,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0226,18341,6975,610,250.0,True,,,,,,,,,Rabota na marki (kur'er)
66,66,31-07-2020 05:46:57,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0452,36682,13950,1219,500.0,True,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
67,67,31-07-2020 05:47:46,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,,нет,1,Тбилиси,10 гр,0.045,36682,13950,1219,500.0,True,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
68,68,31-07-2020 05:47:46,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.3627,1100450,418500,36579,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
69,69,31-07-2020 05:47:46,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.045,36682,13950,1219,500.0,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
70,70,31-07-2020 05:50:08,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,8,нет,Батуми,0.2 гр,0.0128,10264,3903,341,,,,119.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
71,71,31-07-2020 05:50:08,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,4,нет,Батуми,0.4 гр,0.0096,7677,2919,255,,,,89.0,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
72,72,31-07-2020 05:50:08,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,9,нет,Батуми,0.4 гр,0.0246,19752,7511,656,,,,229.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
73,73,31-07-2020 05:50:08,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,12,нет,Батуми,0.5 гр,0.0038,3019,1148,100,,,,35.0,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
74,74,31-07-2020 05:50:08,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,10,нет,Батуми,2 гр,0.003,2421,921,80,33.0,,,,,,,,,True,Melkie shishki (Indica) 2g
75,75,31-07-2020 05:50:08,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0407,33013,12555,1097,450.0,,,,,,,,True,,Super Critical 10G
76,76,31-07-2020 05:50:08,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0472,37951,14432,1261,,,,440.0,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
77,77,31-07-2020 05:50:08,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,5,Батуми,0.3 гр,0.0274,22009,8370,732,300.0,,,,,,,,,True,METADON - 0.30 - SALE
78,78,31-07-2020 05:50:08,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0333,26739,10168,888,,,,310.0,,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
79,79,31-07-2020 05:50:08,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0419,33639,12792,1118,,,,390.0,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
80,80,31-07-2020 05:50:08,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0428,34415,13087,1144,,,,399.0,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
81,81,31-07-2020 05:50:08,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0082,7336,2790,244,100.0,,,,,,,,,True,kur'er v Batumi
82,82,31-07-2020 05:50:08,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0206,18341,6975,610,250.0,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
83,83,31-07-2020 05:50:08,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0206,18341,6975,610,250.0,,,,,,,,,True,Ischu kur'era v Gruzii!
84,84,31-07-2020 05:50:08,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0181,14673,5580,488,200.0,,,,,,,,,True,Kur'er Batumi na marihuanu
85,85,31-07-2020 05:50:08,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3696,1100450,418500,36579,15000.0,,,,,,,,,True,Vakansija optovogo kur'era na mef
86,86,31-07-2020 05:50:08,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0452,36682,13950,1219,500.0,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
