,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,€,Didube,Vake,Varketili,Батуми,Центр,desc_en
26,12-08-2020 13:02:59,Tbilisi,43MUT,Canartvelo,Бошки OG Kush 1g.,True,8,нет,Тбилиси,1 гр,0.0039,3292,1251,111,45,,,,,,,,,,,,,Boshki OG Kush 1g.
27,12-08-2020 13:02:59,Tbilisi,42AF,Leningrad6,🎇SUPER SKITKA🎇Amsterdam weed sativa 1гр,True,2,нет,Тбилиси,1 гр,0.0031,2633,1001,88,36,,,,,,,,,,,,,🎇SUPER SKITKA🎇Amsterdam weed sativa 1gr
28,12-08-2020 13:02:59,Tbilisi,I7IU,MrPickless,1.2гр перемолотые шишки btc 5% sale,True,1,нет,Тбилиси,1.2 гр,0.0029,2560,973,86,35,,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
29,12-08-2020 13:02:59,Tbilisi,LYHBG,Playboy,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,7,нет,Тбилиси,2 гр,0.0085,7242,2752,243,99,,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
30,12-08-2020 13:02:59,Tbilisi,7R3WM,RastaShop,2 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,1,нет,Тбилиси,2 гр,0.0083,7169,2724,241,98,True,,,,,,,,,,,,2 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
31,12-08-2020 13:02:59,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0084,7242,2752,243,99,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
32,12-08-2020 13:02:59,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0085,7315,2780,246,100,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
33,12-08-2020 13:02:59,Tbilisi,ABOAB,ProGrow,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0076,6584,2502,221,90,,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
34,12-08-2020 13:02:59,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,3,нет,Тбилиси,2 гр,0.0075,6437,2446,216,88,,,,,,,,,,,,,2gr HYBRID buds
35,12-08-2020 13:02:59,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0079,6803,2585,229,93,,True,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
36,12-08-2020 13:04:27,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0079,6803,2585,229,93,,True,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
37,12-08-2020 13:04:27,Tbilisi,X4ZM,ZYX,Maserati (ecstasy) 2шт,True,1,нет,Тбилиси,2 гр,0.0085,7315,2780,246,100,,,,,,,,,,,,,Maserati (ecstasy) 2sht
38,12-08-2020 13:04:27,Tbilisi,LYHBG,Playboy,NEW !!! 2G OG KusH !!! NEW,True,6,нет,Тбилиси,2 гр,0.0085,7242,2752,243,99,,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
39,12-08-2020 13:04:27,Tbilisi,LYHBG,Playboy,NEW !!! 2G White Widow !!! NEW,True,3,нет,Тбилиси,2 гр,0.0085,7242,2752,243,99,,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
40,12-08-2020 13:04:27,Tbilisi,5XD8,TYsonWeed,TYson Budds 2G Скидка 5%,True,5,нет,Тбилиси,2 гр,0.0062,5852,2224,197,80,,,,,,,,,,,,,TYson Budds 2G Skidka 5%
41,12-08-2020 13:04:27,Tbilisi,QUZIV,Hollyweed,Marijuana Super Skunk leaves 3g plan (подезд),,1,нет,Тбилиси,3 гр,0.0021,1756,667,59,24,,True,,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
42,12-08-2020 13:04:27,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.0069,6584,2502,221,90,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
43,12-08-2020 13:04:27,Tbilisi,LYHBG,Playboy,!!!NEW!!! 4G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,4 гр,0.0119,10168,3864,342,139,,,,,,,,,,,,,!!!NEW!!! 4G Critical KusH !!!NEW!!!
44,12-08-2020 13:04:27,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,1,нет,Тбилиси,5 гр,0.0185,17557,6672,590,240,,,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
45,12-08-2020 13:04:27,Tbilisi,2LY77,SveetWeed,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.0161,15289,5810,514,209,,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
46,12-08-2020 13:04:27,Tbilisi,7U9YP,ChitosPizz,Сирец мощный Иран 50гр,True,1,нет,Тбилиси,50 гр,0.6503,585218,222400,19657,8000,,,,,,,,,,,,,Sirets moschnyj Iran 50gr
47,12-08-2020 13:04:27,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0212,18288,6950,614,250,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
48,12-08-2020 13:04:27,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0229,19751,7506,663,270,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
49,12-08-2020 13:04:27,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0233,20117,7645,676,275,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
50,12-08-2020 13:04:27,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0203,17557,6672,590,240,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
51,12-08-2020 13:04:27,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0237,20483,7784,688,280,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
52,12-08-2020 13:04:27,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0229,19751,7506,663,270,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,12-08-2020 13:04:27,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0169,16020,6088,538,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,12-08-2020 13:04:27,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0185,17557,6672,590,240,,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
55,12-08-2020 13:04:27,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0212,18288,6950,614,250,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
56,12-08-2020 13:04:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2,190000,87429,6381,,,,,,,,,,,,,,reagent 25i nbome. 5gr
57,12-08-2020 13:04:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.231,219457,83400,7371,3000,,,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,12-08-2020 13:04:27,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0466,40234,15290,1351,550,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
59,12-08-2020 13:04:27,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0593,51207,19460,1720,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,12-08-2020 13:04:27,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0356,30724,11676,1032,420,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,12-08-2020 13:04:27,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0678,58522,22240,1966,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,12-08-2020 13:04:27,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,нет,8,Тбилиси,10 гр,0.0012,1024,389,34,14,,,,,,,,,,,,,GABAGAMA 10 shtuk
63,12-08-2020 13:04:27,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1885,162764,61855,5467,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,12-08-2020 13:04:27,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0392,33511,12714,1126,,,,,,,,390,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
65,12-08-2020 13:04:27,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0501,47549,18070,1597,650,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
66,12-08-2020 13:04:27,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2033,175565,66720,5897,2400,,,,,,,,,,,,,100 gr marijuana buds
67,12-08-2020 13:04:27,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2118,182881,69500,6143,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,12-08-2020 13:04:27,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4998,431598,164020,14497,5900,,,,,,,,,,,,,180 gr marihuana persoalno
69,12-08-2020 13:04:27,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0243,21000,9663,705,,,,,,,,,True,,,,,GABAGAMA 250 shtuk
70,12-08-2020 13:04:27,Tbilisi,51K,tiabaldo66,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0063,5633,2141,189,77,,,,,,,,,,,,,RoSS Uboj 2gr
71,12-08-2020 13:04:27,Tbilisi,S54D,wildindian,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2464,234087,88960,7863,3200,,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,12-08-2020 13:05:16,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0425,36576,13900,1229,500,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
73,12-08-2020 13:05:16,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0425,36576,13900,1229,500,,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
74,12-08-2020 13:05:16,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2877,1097283,417000,36857,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
75,12-08-2020 13:05:16,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0425,36576,13900,1229,500,,,,,True,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
76,12-08-2020 13:05:16,Tbilisi,ALISA,AlisaMSK,верифицированный аккаунт на localbitcoins 1 шт,True,нет,3,Тбилиси,1 гр,0.0035,3000,1380,101,,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
77,12-08-2020 13:05:16,Tbilisi,ALISA,AlisaMSK,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0085,7315,2780,246,100,,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
78,12-08-2020 13:07:04,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0402,34284,13007,1152,,,,,,,,399,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
79,12-08-2020 13:07:04,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0393,33511,12714,1126,,,,,,,,390,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
80,12-08-2020 13:07:04,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0193,18288,6950,614,250,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
81,12-08-2020 13:07:04,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0193,18288,6950,614,250,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
82,12-08-2020 13:07:04,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.017,14630,5560,491,200,,,,,,,,,,,True,,Kur'er Batumi na marihuanu
83,12-08-2020 13:07:04,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2862,1097283,417000,36857,15000,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
84,12-08-2020 13:07:04,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0425,36576,13900,1229,500,,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
