,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Vake,Didube,Gldani,Varketili,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
15,15,12-05-2020 13:21:37,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0093,2299,207,6279,85.0,True,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
16,16,12-05-2020 13:21:37,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,5,нет,Тбилиси,3 гр,0.0142,3517,317,9603,130.0,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
17,17,12-05-2020 13:21:37,Tbilisi,4659482266,3g superskunk top class buds.,,3,нет,Тбилиси,3 гр,0.0131,3219,290,8791,119.0,,,,True,,,,,,,3g superskunk top class buds.
18,18,12-05-2020 13:21:37,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0116,2840,256,7757,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
19,19,12-05-2020 13:21:37,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0058,1488,134,4063,55.0,True,,,,,,,,,,Suboxene 4mg
20,20,12-05-2020 13:21:37,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0335,8656,779,23639,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
21,21,12-05-2020 13:21:37,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,3,нет,Тбилиси,5 гр,0.0064,1596,144,4358,59.0,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
22,22,12-05-2020 13:21:37,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0193,4734,426,12928,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
23,23,12-05-2020 13:21:37,Tbilisi,2f51af8159,Hybrid Somango Weed 5 g,True,1,нет,Тбилиси,5 гр,0.018000000000000002,4463,402,12189,165.0,,,,,,,,,,,Hybrid Somango Weed 5 g
24,24,12-05-2020 13:21:37,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,9,нет,Тбилиси,10 гр,0.0217,5383,485,14701,199.0,,,,,True,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
25,25,12-05-2020 13:21:37,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0419,10820,974,29549,400.0,,,,,,,,,,,gashish evro 10g
26,26,12-05-2020 13:21:37,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,4,нет,Тбилиси,20 гр,0.0413,10252,923,27998,379.0,,,,,True,,,,,,20 gr Indica marijuana buds (hight quality)
27,27,12-05-2020 13:21:37,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0813,21018,1892,57399,777.0,,,,,,,,,,,Gashish Evro 20gr
28,28,12-05-2020 13:21:37,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.0926,22965,2067,62718,849.0,True,,,,,,,,,,50 gr Marihuana shishki. INDIKA
29,29,12-05-2020 13:21:37,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1983,54100,4870,147745,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,12-05-2020 13:21:37,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0175,4328,390,11820,160.0,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
31,31,12-05-2020 13:21:37,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0231,5681,511,15513,210.0,,,,,,,,,,,✨✨2gram. MDMA✨✨
32,32,12-05-2020 13:21:37,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0406,9981,899,27259,369.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,33,12-05-2020 13:21:37,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0638,15662,1410,42772,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,34,12-05-2020 13:22:29,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0642,15662,1410,42772,579.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
35,35,12-05-2020 13:22:29,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0439,10820,974,29549,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
36,36,12-05-2020 13:22:29,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0603,14878,1339,40630,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,12-05-2020 13:22:29,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0258,6357,572,17360,235.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,38,12-05-2020 13:22:29,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0263,6492,584,17729,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
39,39,12-05-2020 13:22:29,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0252,6222,560,16991,230.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,40,12-05-2020 13:22:29,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0263,6492,584,17729,240.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
41,41,12-05-2020 13:22:29,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0263,6492,584,17729,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,42,12-05-2020 13:22:29,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0263,6492,584,17729,240.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,12-05-2020 13:22:29,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0252,6222,560,16991,230.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,12-05-2020 13:22:29,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0218,5924,533,16178,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,12-05-2020 13:22:29,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0258,6357,572,17360,235.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,12-05-2020 13:22:29,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0176,4328,390,11820,160.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
47,47,12-05-2020 13:22:29,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,1,Тбилиси,5 гр,0.2565,87429,6291,190000,,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,12-05-2020 13:22:29,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2992,81150,7306,221618,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,12-05-2020 13:22:29,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1063,25941,2335,70844,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,50,12-05-2020 13:22:29,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,1,Тбилиси,5 гр,0.0209,5112,460,13962,189.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
51,51,12-05-2020 13:22:29,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0211,5140,463,14036,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
52,52,12-05-2020 13:22:29,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0542,13227,1191,36124,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
53,53,12-05-2020 13:22:29,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0209,5112,460,13962,189.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
54,54,12-05-2020 13:22:29,Tbilisi,54915c4374,"""MDN-BooooMA"" - Марки 5 шт. + МДМА 0.5",True,нет,9,Тбилиси,5.5 гр,0.01,2705,244,7387,100.0,,,,,,,,,,,"""MDN-BooooMA"" - Marki 5 sht. + MDMA 0.5"
55,55,12-05-2020 13:22:29,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,9,Тбилиси,8 гр,0.0088,2164,195,5910,80.0,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
56,56,12-05-2020 13:22:29,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0987,24345,2192,66485,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
57,57,12-05-2020 13:22:29,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0439,10820,974,29549,400.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,58,12-05-2020 13:22:29,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0768,18935,1705,51711,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,59,12-05-2020 13:22:29,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0461,11361,1023,31026,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,60,12-05-2020 13:22:29,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.011000000000000001,2705,244,7387,100.0,,,,,,,,,,,10G Hybrid Marijuana Leafs
61,61,12-05-2020 13:22:29,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0878,21640,1948,59098,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,62,12-05-2020 13:22:29,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0318,7845,706,21423,290.0,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
63,63,12-05-2020 13:22:29,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2441,60186,5418,164366,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,64,12-05-2020 13:22:29,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1728,42171,3796,115167,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
65,65,12-05-2020 13:22:29,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0409,9981,899,27259,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
66,66,12-05-2020 13:22:29,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5541,135250,12176,369363,5000.0,,,,,,,,,,,METADON - 20 G.
67,67,12-05-2020 13:22:29,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0664,16203,1459,44250,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,68,12-05-2020 13:22:29,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1207,29755,2679,81260,1100.0,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
69,69,12-05-2020 13:23:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2187,54100,4870,147745,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,70,12-05-2020 13:23:14,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2734,67625,6088,184681,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,12-05-2020 13:23:14,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6451,159595,14368,435848,5900.0,,,,,,,,,,,180 gr marihuana persoalno
72,72,12-05-2020 13:23:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.503,124430,11202,339814,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,73,12-05-2020 13:23:14,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8201,202875,18264,554044,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,74,12-05-2020 13:23:14,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9294,229925,20699,627916,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,12-05-2020 13:23:14,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0199,5410,487,14775,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
76,76,12-05-2020 13:23:14,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0219,5410,487,14775,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,12-05-2020 13:23:14,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0273,6763,609,18468,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,12-05-2020 13:23:14,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.655,405750,36528,1108088,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,12-05-2020 13:24:36,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2399,59510,5357,162520,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
80,80,12-05-2020 13:24:36,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1668,51992,3741,112990,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
81,81,12-05-2020 13:24:36,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2641,82321,5923,178900,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
82,82,12-05-2020 13:24:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0099,2705,244,7387,100.0,,,,,,,,True,,,kur'er v Batumi
83,83,12-05-2020 13:24:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0248,6763,609,18468,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
84,84,12-05-2020 13:24:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0248,6763,609,18468,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
85,85,12-05-2020 13:24:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6507,405750,36528,1108088,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
86,86,12-05-2020 13:24:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0545,13525,1218,36936,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,12-05-2020 13:26:18,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0202,5004,451,13666,185.0,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
88,88,12-05-2020 13:26:18,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,6,нет,Кутаиси,2 гр,0.0529,13119,1181,35828,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
89,89,12-05-2020 13:26:18,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,8,нет,Кутаиси,3 гр,0.036000000000000004,8927,804,24378,330.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
90,90,12-05-2020 13:26:18,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0218,5410,487,14775,200.0,,,,,,,,,,True,Rabota na marki (kur'er)
