,time_stamp,region,sell_code,sell_name,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Zahesi,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
15,04-07-2020 18:12:12,Tbilisi,ABOAB,ProGrow,1G ---> Pineapple (BTC - Sale),,3,нет,Тбилиси,1 гр,0.0053,3525,1368,121,,True,50,,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
16,04-07-2020 18:12:12,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,6,нет,Тбилиси,1 гр,0.0063,4230,1641,145,,,60,,,,,True,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
17,04-07-2020 18:12:12,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 1гр",True,3,нет,Тбилиси,1 гр,0.0053,3878,1504,133,,,55,,,,,,True,,,,,"Hindu Kush (photoperiod, regular) 1gr"
18,04-07-2020 18:12:12,Tbilisi,9Y6T,WeedShop,Jamaican 1г High Thc,,1,нет,Тбилиси,1 гр,0.0061,4089,1586,140,,True,58,,,,,,,,,,,Jamaican 1g High Thc
19,04-07-2020 18:12:12,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,2,нет,Тбилиси,1 гр,0.0053,3878,1504,133,,True,55,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
20,04-07-2020 18:12:12,Tbilisi,7LHWP,GEOBUDS,3 gr georgian weed. Package on magnet,,1,нет,Тбилиси,3 гр,0.0092,6134,2379,211,,,87,,True,,,,,,,,,3 gr georgian weed. Package on magnet
21,04-07-2020 18:12:12,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,10,нет,Тбилиси,3 гр,0.0059,3878,1504,133,,True,55,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
22,04-07-2020 18:12:12,Tbilisi,7U9YP,ChitosPizz,Weed Сорт Purple 3гр,,1,нет,Тбилиси,3 гр,0.0081,5922,2297,203,,True,84,,,,,,,,,,,Weed Sort Purple 3gr
23,04-07-2020 18:12:12,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,,6,нет,Тбилиси,5 гр,0.0143,10504,4075,361,,True,149,,,,,,,,,,,5g. GEO Marihuana boshki
24,04-07-2020 18:12:12,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0252,16849,6537,579,,True,239,,,,,,,,,,,10 gr georgian weed. Package on magnet
25,04-07-2020 18:12:12,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.046,31725,12308,1090,,True,450,,,,,,,,,,,Gashish Evro 10gr
26,04-07-2020 18:12:12,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,,4,нет,Тбилиси,11 гр,0.0173,12690,4923,436,,True,180,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
27,04-07-2020 18:12:12,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.048,35250,13675,1211,,True,500,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
28,04-07-2020 18:12:12,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0069,4583,1778,157,,True,65,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
29,04-07-2020 18:12:12,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.035,25732,9983,884,,True,365,,,,,,,,,,,25 GGAMM NEW BEASTWEED
30,04-07-2020 18:12:12,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.213,141000,54700,4843,,True,2000,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
31,04-07-2020 18:12:12,Tbilisi,A3I9,Joookerrr,Heroin (sirec) made from Azerbaijan 0.2 гр.,,нет,10,Тбилиси,0.2 гр,0.0101,6768,2626,232,,True,96,,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.2 gr.
32,04-07-2020 18:12:12,Tbilisi,A3I9,Joookerrr,Марки н-боооом!!! 1 шт.,,нет,8,Тбилиси,1 гр,0.0019,1269,492,44,,True,18,,,,,,,,,,,Marki n-boooom!!! 1 sht.
33,04-07-2020 18:12:12,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,8,Тбилиси,2 гр,0.0095,6345,2462,218,,True,90,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
34,04-07-2020 18:13:27,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,8,Тбилиси,2 гр,0.0532,35179,13648,1208,,True,499,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
35,04-07-2020 18:13:27,Tbilisi,A3I9,Joookerrr,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0089,5942,2295,205,75,True,,,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
36,04-07-2020 18:13:27,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,2,Тбилиси,3 гр,0.0127,8460,3282,291,,True,120,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
37,04-07-2020 18:13:27,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,20,Тбилиси,3 гр,0.0799,52875,20513,1816,,True,750,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
38,04-07-2020 18:13:27,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,4,Тбилиси,4 гр,0.0422,28200,10940,969,,True,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
39,04-07-2020 18:13:27,Tbilisi,A3I9,Joookerrr,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,8,Тбилиси,4 гр,0.0127,8460,3282,291,,True,120,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
40,04-07-2020 18:13:27,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0264,17625,6838,605,,True,250,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
41,04-07-2020 18:13:27,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.058,38775,15043,1332,,True,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,04-07-2020 18:13:27,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0285,19035,7385,654,,True,270,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
43,04-07-2020 18:13:27,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0295,19740,7658,678,,True,280,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
44,04-07-2020 18:13:27,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.029,19387,7521,666,,True,275,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,04-07-2020 18:13:27,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0253,16920,6564,581,,True,240,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,04-07-2020 18:13:27,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0295,19740,7658,678,,True,280,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,04-07-2020 18:13:27,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0285,19035,7385,654,,True,270,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,04-07-2020 18:13:27,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.021,15439,5990,530,,True,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,04-07-2020 18:13:27,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,3,Тбилиси,5 гр,0.0184,12267,4759,421,,True,174,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
50,04-07-2020 18:13:27,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0285,19035,7385,654,,True,270,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
51,04-07-2020 18:13:27,Tbilisi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1582,105750,41025,3632,,True,1500,,,,,,,,,,,Gerojn (sirets) 5 gr
52,04-07-2020 18:13:27,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,1,Тбилиси,5 гр,0.0264,17625,6838,605,,,250,True,,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
53,04-07-2020 18:13:27,Tbilisi,A3I9,Joookerrr,марки н-боом 5шт.,,нет,2,Тбилиси,5 гр,0.0069,4583,1778,157,,True,65,,,,,,,,,,,marki n-boom 5sht.
54,04-07-2020 18:13:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2585,190000,87429,6528,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
55,04-07-2020 18:13:27,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2877,211500,82050,7264,,,3000,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,04-07-2020 18:13:27,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.1331,88054,34160,3024,,True,1249,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
57,04-07-2020 18:13:27,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,4,Тбилиси,5 гр,0.0213,14100,5470,484,,True,200,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,04-07-2020 18:13:27,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.095,63450,24615,2179,,True,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,04-07-2020 18:13:27,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.058,38775,15043,1332,,True,550,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
60,04-07-2020 18:13:27,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0739,49350,19145,1695,,True,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,04-07-2020 18:13:27,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0443,29610,11487,1017,,True,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,04-07-2020 18:13:27,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0844,56400,21880,1937,,True,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,04-07-2020 18:13:27,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0369,24675,9573,847,,True,350,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
64,04-07-2020 18:13:27,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2347,156862,60854,5388,,True,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
65,04-07-2020 18:13:27,Tbilisi,A3I9,Joookerrr,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0106,7050,2735,242,,True,100,,,,,,,,,,,Marki n-boom 10 sht.
66,04-07-2020 18:13:27,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.2663,176179,68348,6051,,True,2499,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,04-07-2020 18:13:27,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0426,28200,10940,969,,True,400,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,04-07-2020 18:14:46,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.253,169200,65640,5811,,True,2400,,,,,,,,,,,100 gr marijuana buds
69,04-07-2020 18:14:46,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2635,176250,68375,6054,,True,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,04-07-2020 18:14:46,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6219,415949,161365,14286,,True,5900,,,,,,,,,,,180 gr marihuana persoalno
71,04-07-2020 18:14:46,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8959,599249,232475,20582,,True,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,04-07-2020 18:14:46,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0192,14100,5470,484,,True,200,,,,,,,,,,,KURYER..500RUB.+BONUS
73,04-07-2020 18:14:46,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0264,17625,6838,605,,True,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,04-07-2020 18:14:46,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0211,14100,5470,484,,True,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,04-07-2020 18:14:46,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0264,17625,6838,605,,True,250,,,,,,,,,,,Rabota na marki (kur'er)
76,04-07-2020 18:14:46,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5954,1057499,410250,36321,,True,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,04-07-2020 18:17:09,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,6,нет,Батуми,2 гр,0.012,7922,3060,273,100,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
78,04-07-2020 18:17:09,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0474,31725,12308,1090,,,450,,,,,,,,,,True,Super Critical 10G
79,04-07-2020 18:17:09,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.25 - SALE,,нет,9,Батуми,0.25 гр,0.0266,17625,6838,605,,,250,,,,,,,,,True,,METADON - 0.25 - SALE
80,04-07-2020 18:17:09,Batumi,A3I9,Joookerrr,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1581,105750,41025,3632,,,1500,,,,,,,,,True,,Gerojn (sirets) 5 gr
81,04-07-2020 18:17:09,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0466,30896,11934,1065,390,,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
82,04-07-2020 18:17:09,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0502,33273,12852,1147,420,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
83,04-07-2020 18:17:09,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1689,112990,51992,3882,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
84,04-07-2020 18:17:09,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2674,178900,82321,6147,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
85,04-07-2020 18:17:09,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7050,2735,242,,,100,,,,,,,,,True,,kur'er v Batumi
86,04-07-2020 18:17:09,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17625,6838,605,,,250,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
87,04-07-2020 18:17:09,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17625,6838,605,,,250,,,,,,,,,True,,Ischu kur'era v Gruzii!
88,04-07-2020 18:17:09,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14100,5470,484,,,200,,,,,,,,,True,,Kur'er Batumi na marihuanu
89,04-07-2020 18:17:09,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5952,1057499,410250,36321,,,15000,,,,,,,,,True,,Vakansija optovogo kur'era na mef
90,04-07-2020 18:17:09,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0527,35250,13675,1211,,,500,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
