,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vazisubani,Saburtalo,Old Tbilisi (Старый город),Авлобари,Кутаиси,€,desc_en
40,31-05-2020 15:38:35,Tbilisi,EIH4,San4oPan4o,!! Гашиш !! Hash 6g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,6 гр,0.0481,33183,12686,1130,469,,,,,,,!! Gashish !! Hash 6g !!! BTC SALE 5%!!!!
41,31-05-2020 15:38:35,Tbilisi,EIH4,San4oPan4o,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,True,нет,1,Тбилиси,7.5 гр,0.0289,19740,7547,672,279,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
42,31-05-2020 15:38:35,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0942,63677,24345,2169,900,,,,,,,10 gr mdma Kristally ochen silni import s evropi
43,31-05-2020 15:38:35,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0419,28301,10820,964,400,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
44,31-05-2020 15:38:35,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0733,49526,18935,1687,700,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,31-05-2020 15:38:35,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044,29716,11361,1012,420,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,31-05-2020 15:38:35,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0837,56602,21640,1928,800,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
47,31-05-2020 15:38:35,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2329,157423,60186,5362,2225,,,,,,,Amfetamin [White] [Import] 10G
48,31-05-2020 15:38:35,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.1648,110302,42171,3757,1559,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
49,31-05-2020 15:38:35,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.039,26107,9981,889,369,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
50,31-05-2020 15:38:35,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0332,22287,8521,759,315,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
51,31-05-2020 15:38:35,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.4758,318384,121725,10845,4500,,,,,,,METADON - 20 G.
52,31-05-2020 15:38:35,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0633,42380,16203,1444,599,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
53,31-05-2020 15:38:35,Tbilisi,7LHWP,GEOBUDS,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.136,91907,35138,3131,1299,,,,,,,50 gr georgian weed. Package on magnet
54,31-05-2020 15:38:35,Tbilisi,7LHWP,GEOBUDS,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2616,176809,67598,6023,2499,,,,,,,100 gr georgian weed. Package on magnet
55,31-05-2020 15:38:35,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2512,169805,64920,5784,2400,,,,,,,100 gr marijuana buds
56,31-05-2020 15:38:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2094,141504,54100,4820,2000,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
57,31-05-2020 15:38:35,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2617,176880,67625,6025,2500,,,,,,,Marihuana [Shishki] [Gali] 100G
58,31-05-2020 15:38:35,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6176,417437,159595,14219,5900,,,,,,,180 gr marihuana persoalno
59,31-05-2020 15:38:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4815,325459,124430,11086,4600,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
60,31-05-2020 15:38:35,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7851,530640,202875,18075,7500,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
61,31-05-2020 15:38:35,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8898,601392,229925,20485,8500,,,,,,,10000sht marki 25i-nbome. predoplata
62,31-05-2020 15:38:35,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,14150,5410,482,200,,,,,,,KURYER..500RUB.+BONUS
63,31-05-2020 15:38:35,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0209,14150,5410,482,200,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
64,31-05-2020 15:38:35,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0262,17688,6763,603,250,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,31-05-2020 15:38:35,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0209,14150,5410,482,200,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
66,31-05-2020 15:38:35,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5845,1061280,405750,36150,15000,,,,,,,Vakansija optovogo kur'era na mef
67,31-05-2020 15:40:42,Kutaisi,EIH4,San4oPan4o,Cocaine 2g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,2 гр,0.0317,21862,8358,745,309,,,,,True,,Cocaine 2g !!! BTC SALE 5%!!!!
68,31-05-2020 15:40:42,Kutaisi,EIH4,San4oPan4o,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.02,13797,5275,470,195,,,,,True,,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
69,31-05-2020 15:40:42,Kutaisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0291,19637,7488,669,,,,,,True,250,Rabota na marki (kur'er)
