,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,€,Old Tbilisi (Старый город),Gldani,Saburtalo,Дигоми,Didube,Авлобари,Батуми,Центр,Кутаиси,desc_en
10,13-03-2020 17:28:24,Tbilisi,0WE,Khachapuri,1gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,1 гр,0.0157,7777,2845,251,,95,,,,,,,,,,1gr mdma (skidka v bitkoin 5%)
11,13-03-2020 17:28:24,Tbilisi,BP40,WakeShop,Apvp VHQ 1g 24/7,True,17,нет,Тбилиси,1 гр,0.0231,10978,4022,352,150,,,,,,,,,,,Apvp VHQ 1g 24/7
12,13-03-2020 17:28:24,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,1,нет,Тбилиси,1 гр,0.0265,13101,4799,420,179,,,,,,,,,,,Cocaine Pure VHQ 1g
13,13-03-2020 17:28:24,Tbilisi,BP40,WakeShop,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.0771,40254,14746,1291,550,,,,,,,,,,,Metadon VHQ 1 24/7
14,13-03-2020 17:28:24,Tbilisi,X4ZM,ZYX,NEW ! Гашиш Double-Twesla ! NEW ! 1g ! HQ !,True,1,нет,Тбилиси,1 гр,0.0123,5855,2145,188,80,,,,,,,,,,,NEW ! Gashish Double-Twesla ! NEW ! 1g ! HQ !
15,13-03-2020 17:28:24,Tbilisi,UJP9,420Inc,THC Snow Buds Only 1G (THC 23+%),True,10,нет,Тбилиси,1 гр,0.0072,3440,1260,110,47,,,,,,,,,,,THC Snow Buds Only 1G (THC 23+%)
16,13-03-2020 17:28:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,2,нет,Тбилиси,1 гр,0.0295,14564,5335,467,199,,,,,,,,,,,VHQ BEST Cocaine 1g.
17,13-03-2020 17:28:24,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,1,нет,Тбилиси,1 гр,0.0289,13833,5067,444,189,,,,,,,,,,,Kokain HQ 1g.
18,13-03-2020 17:28:24,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,2,нет,Тбилиси,1 гр,0.0276,13101,4799,420,179,,True,,,,,,,,,Kokain KOLUMBIA 1g
19,13-03-2020 17:28:24,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,14,нет,Тбилиси,1 гр,0.0028,1464,536,47,20,,,True,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
20,13-03-2020 17:28:24,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,True,2,нет,Тбилиси,1 гр,0.017,7978,2922,256,109,,,,,,,,,,,✨ 1g. MDMA ✨
21,13-03-2020 17:28:24,Tbilisi,03F3,geoshop,3 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,1,нет,Тбилиси,1.2 гр,0.0185,8783,3217,282,120,,,,,,,,,,,3 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
22,13-03-2020 17:28:24,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,1,нет,Тбилиси,2 гр,0.0098,5123,1877,164,70,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
23,13-03-2020 17:28:24,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,11,нет,Тбилиси,2 гр,0.0126,6587,2413,211,90,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
24,13-03-2020 17:28:24,Tbilisi,ABOAB,ProGrow,2G ---> INDICA,,11,нет,Тбилиси,2 гр,0.0094,4538,1662,146,62,,,,True,,,,,,,2G ---> INDICA
25,13-03-2020 17:28:24,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0547,28543,10456,915,390,,,,,,,,,,,VHQ BEST Cocaine 2g.
26,13-03-2020 17:28:25,Tbilisi,5LZ,ExtraShop,Кокаин HQ 2г.,True,3,нет,Тбилиси,2 гр,0.0561,27738,10161,890,379,,,,,,,,,,,Kokain HQ 2g.
27,13-03-2020 17:28:25,Tbilisi,8B31,bobbyz,3 gr Indica dominant Buds,True,1,нет,Тбилиси,3 гр,0.0129,6367,2332,204,87,,,,,,,,,,,3 gr Indica dominant Buds
28,13-03-2020 17:28:25,Tbilisi,0WE,Khachapuri,3 gr mdma (скидка в биткоин 5%),True,2,нет,Тбилиси,3 гр,0.0414,20465,7488,662,,250,,,,,,,,,,3 gr mdma (skidka v bitkoin 5%)
29,13-03-2020 17:28:25,Tbilisi,ABOAB,ProGrow,3G ---> INDICA,,19,нет,Тбилиси,3 гр,0.0122,6367,2332,204,87,,,,True,,,,,,,3G ---> INDICA
30,13-03-2020 17:28:25,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,7,нет,Тбилиси,3 гр,0.0164,7685,2815,246,105,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
31,13-03-2020 17:28:25,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,True,1,нет,Тбилиси,3 гр,0.0154,7246,2654,232,99,,,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
32,13-03-2020 17:28:25,Tbilisi,9VLN,AlienShop,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,4,нет,Тбилиси,3 гр,0.0179,8417,3083,270,115,,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
33,13-03-2020 17:28:25,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки,True,1,нет,Тбилиси,4 гр,0.0084,4391,1609,141,60,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki
34,13-03-2020 17:28:25,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0449,23420,8579,751,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
35,13-03-2020 17:28:25,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0596,29470,10782,953,,360,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
36,13-03-2020 17:29:19,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0454,23420,8579,751,320,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
37,13-03-2020 17:29:19,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),True,3,нет,Тбилиси,5 гр,0.0602,29470,10782,953,,360,,,,,,,,,,5 gr mdma (skidka v bitkoin 5%)
38,13-03-2020 17:29:19,Tbilisi,8B31,bobbyz,5gr georgian indica (hight quality),,4,нет,Тбилиси,5 гр,0.0197,10173,3727,326,139,,True,,,,,,,,,5gr georgian indica (hight quality)
39,13-03-2020 17:29:19,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0276,12808,4692,411,175,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
40,13-03-2020 17:29:19,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 5g BTC SALE 5%!!,True,5,4,Тбилиси,5 гр,0.1227,57599,21099,1847,787,,,,,True,,,,,,Columbia Cocaine VHQ 5g BTC SALE 5%!!
41,13-03-2020 17:29:19,Tbilisi,5HOGC,NewHybrid,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.0241,12442,4558,399,170,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
42,13-03-2020 17:29:19,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,5 гр,0.0092,4757,1743,153,65,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
43,13-03-2020 17:29:19,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 5g + (0.5g hash подарок !!!!) BTC SALE 5%!!,True,4,4,Тбилиси,5.5 гр,0.0685,32496,11904,1042,444,,,,,True,,,,,,MDMA from Europe!!! 5g + (0.5g hash podarok !!!!) BTC SALE 5%!!
44,13-03-2020 17:29:19,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0569,26714,9786,857,365,,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
45,13-03-2020 17:29:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,2,нет,Тбилиси,10 гр,0.0416,19541,7158,627,267,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
46,13-03-2020 17:29:19,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,10 гр,0.014,7246,2654,232,99,,,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
47,13-03-2020 17:29:19,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0598,29275,10724,939,400,,,,,,,,,,,gashish evro 10g
48,13-03-2020 17:29:19,Tbilisi,EIH4,San4oPan4o,MDMA from Europe!!! 10g + (1g hash подарок !!!!) BTC SALE 5%!!,True,2,2,Тбилиси,11 гр,0.1322,62064,22735,1991,848,,,,,True,,,,,,MDMA from Europe!!! 10g + (1g hash podarok !!!!) BTC SALE 5%!!
49,13-03-2020 17:29:19,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - TBILISI- 0.27 G,True,10,5,Тбилиси,0.27 гр,0.0425,19761,7239,634,270,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - TBILISI- 0.27 G
50,13-03-2020 17:29:19,Tbilisi,JVZTQ,partyshop,1 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,1,Тбилиси,1 гр,0.0154,7246,2654,232,99,,,,,,,,,,,1 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
51,13-03-2020 17:29:19,Tbilisi,JVZTQ,partyshop,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,1,Тбилиси,1 гр,0.014,6587,2413,211,90,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
52,13-03-2020 17:29:19,Tbilisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g BTC SALE 5%,True,нет,10,Тбилиси,2 гр,0.0554,26275,9625,843,359,,,,,,,,,,,Columbia Cocaine VHQ 2g BTC SALE 5%
53,13-03-2020 17:29:19,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0929,43181,15818,1385,590,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
54,13-03-2020 17:29:19,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0624,29275,10724,939,400,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
55,13-03-2020 17:29:19,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0858,40254,14746,1291,550,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
56,13-03-2020 17:29:19,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0243,11417,4182,366,156,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
57,13-03-2020 17:29:19,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.031,14564,5335,467,199,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
58,13-03-2020 17:29:19,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0249,11710,4290,376,160,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
59,13-03-2020 17:29:19,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.031,14564,5335,467,199,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,13-03-2020 17:29:19,Tbilisi,SF03,CRAZYFROG,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.031,14564,5335,467,199,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
61,13-03-2020 17:29:19,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0226,10612,3887,340,145,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
62,13-03-2020 17:29:19,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.031,16028,5871,514,219,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
63,13-03-2020 17:29:19,Tbilisi,TDSHF,THC,Hybrid Gagarin. 5g.,True,нет,2,Тбилиси,5 гр,0.0329,16101,5898,516,220,,,,,,,,,,,Hybrid Gagarin. 5g.
64,13-03-2020 17:29:19,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0472,21956,8043,704,300,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
65,13-03-2020 17:29:19,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0234,10978,4022,352,150,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
66,13-03-2020 17:29:19,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,15,Тбилиси,5 гр,0.0283,14638,5362,469,200,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
67,13-03-2020 17:29:19,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.368,190000,87429,6015,,,,,,,,,,,,reagent 25i nbome. 5gr
68,13-03-2020 17:29:19,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.4252,219565,80430,7042,3000,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
69,13-03-2020 17:29:40,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,3,Тбилиси,5 гр,0.1353,62869,23030,2016,859,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
70,13-03-2020 17:29:40,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0291,13540,4960,434,185,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
71,13-03-2020 17:29:40,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.077,35789,13110,1148,489,,,,,,,,,,,💘✨5g. MDMA ✨💘
72,13-03-2020 17:29:40,Tbilisi,9VLN,AlienShop,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩,True,нет,5,Тбилиси,5 гр,0.0518,24079,8820,772,329,,,,,,,,,,,💩🍃5 New! Gorilla Glue Premium Hush 5g🍃💩
73,13-03-2020 17:29:40,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1403,65869,24129,2113,900,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
74,13-03-2020 17:29:40,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.1091,51232,18767,1643,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
75,13-03-2020 17:29:40,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0622,29202,10697,937,399,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
76,13-03-2020 17:29:40,Tbilisi,NVOG,ProperMgzn,10x Extasy Duracell 223mg MDMA.,True,нет,5,Тбилиси,10 гр,0.0551,25616,9384,822,350,,,,,,,,,,,10x Extasy Duracell 223mg MDMA.
77,13-03-2020 17:29:40,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1247,58551,21448,1878,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
78,13-03-2020 17:29:40,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3469,162844,59652,5223,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
79,13-03-2020 17:29:40,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2282,106050,38848,3401,1449,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
80,13-03-2020 17:29:40,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0581,27006,9893,866,369,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
81,13-03-2020 17:29:40,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0471,21883,8016,702,299,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
82,13-03-2020 17:29:40,Tbilisi,EIH4,San4oPan4o,MDMA 20 g,True,нет,1,Тбилиси,20 гр,0.265,124420,45577,3991,1700,,,,,,,,,,,MDMA 20 g
83,13-03-2020 17:29:40,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0943,43840,16059,1406,599,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
84,13-03-2020 17:29:40,Tbilisi,ABOAB,ProGrow,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.1047,51232,18767,1643,700,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
85,13-03-2020 17:29:40,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1701,87826,32172,2817,1200,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
86,13-03-2020 17:29:40,Tbilisi,ABOAB,ProGrow,50G -- HYBRID-> Скидка 5% за BTC,True,нет,1,Тбилиси,50 гр,0.1495,73115,26783,2345,999,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
87,13-03-2020 17:29:40,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.3118,146376,53620,4695,2000,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
88,13-03-2020 17:29:40,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.3149,146376,53620,4695,2000,,,,,,,,,,,SUBOXIN - HQ - 100 G.
89,13-03-2020 17:29:40,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3898,182971,67025,5869,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
90,13-03-2020 17:29:40,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2362,109782,40215,3521,1500,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
91,13-03-2020 17:29:41,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.7172,336666,123326,10798,4600,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
92,13-03-2020 17:29:41,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.1693,548912,201075,17606,7500,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
93,13-03-2020 17:29:41,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.3252,622100,227885,19953,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
94,13-03-2020 17:29:41,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0283,14638,5362,469,200,,,,,,,,,,,KURYER..500RUB.+BONUS
95,13-03-2020 17:29:41,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,1,нет,Тбилиси,10 гр,0.0213,10978,4022,352,150,,,,,,,,,,,Rabota na marki (kur'er)
96,13-03-2020 17:29:41,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0312,14638,5362,469,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
97,13-03-2020 17:29:41,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.039,18297,6703,587,250,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
98,13-03-2020 17:29:41,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.3599,1097823,402150,35211,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
99,13-03-2020 17:30:55,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,18,нет,Батуми,1 гр,0.0281,14638,5362,469,200,,,,,,,,True,,,NZT-52 limited 1 g muka
100,13-03-2020 17:30:55,Batumi,XHR,420Factory,Power Africa 1g,,3,нет,Батуми,1 гр,0.007,3659,1341,117,50,,,,,,,,True,,,Power Africa 1g
101,13-03-2020 17:30:55,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,11,нет,Батуми,2 гр,0.0505,26348,9652,845,360,,,,,,,,True,,,NZT-52 limited 2g muka
102,13-03-2020 17:30:55,Batumi,XHR,420Factory,Power Africa 2.5 g,,1,нет,Батуми,2.5 гр,0.0147,7685,2815,246,105,,,,,,,,True,,,Power Africa 2.5 g
103,13-03-2020 17:30:55,Batumi,9VVG,ToWeedShop,Skunk! 50 gr.,,1,нет,Батуми,50 гр,0.2314,109782,40215,3521,1500,,,,,,,,True,,,Skunk! 50 gr.
104,13-03-2020 17:30:55,Batumi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - BATUMI - 0.27 G,,1,5,Батуми,0.27 гр,0.0421,19761,7239,634,270,,,,,,,,True,,,Metadon - (KRISTAL) - VHQ - BATUMI - 0.27 G
