,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
10,26-03-2020 15:12:21,Tbilisi,UJP9,420Inc,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%),,7,нет,Тбилиси,2 гр,0.0112,6298,2276,206,80,True,,,,,,,,,!NEW! PineApple Express Auto !NEW! (B.F)Buds Only 2G (THC 24+%)
11,26-03-2020 15:12:21,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,5,нет,Тбилиси,2 гр,0.0111,6219,2248,204,79,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
12,26-03-2020 15:12:21,Tbilisi,JVZTQ,partyshop,2 ecstasy red maseratti фотки видно VHQ екстази импорт с США,,3,нет,Тбилиси,2 гр,0.0126,7085,2561,232,90,True,,,,,,,,,2 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
13,26-03-2020 15:12:21,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,11,нет,Тбилиси,2 гр,0.0111,6219,2248,204,79,True,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
14,26-03-2020 15:12:21,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,,4,нет,Тбилиси,2 гр,0.0111,6219,2248,204,79,True,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
15,26-03-2020 15:12:21,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,7,нет,Тбилиси,2 гр,0.0112,6219,2248,204,79,,True,,,,,,,,2g super Skunk top class buds. Indica
16,26-03-2020 15:12:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 2 шт. вес таблетки 450mg,,3,нет,Тбилиси,2 гр,0.0077,4330,1565,142,55,True,,,,,,,,,Extasy GUCCI 2 sht. ves tabletki 450mg
17,26-03-2020 15:12:21,Tbilisi,X4ZM,ZYX,Gorilla Glue! 2G ! NEW ! BUDS !,,1,нет,Тбилиси,2 гр,0.0105,5904,2134,193,75,True,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
18,26-03-2020 15:12:21,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,1,нет,Тбилиси,2 гр,0.0057,3543,1280,116,45,True,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
19,26-03-2020 15:12:21,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,1,нет,Тбилиси,3 гр,0.0149,8266,2987,271,105,True,,,,,,,,,3x Extasy Duracell 223mg MDMA
20,26-03-2020 15:12:21,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0396,23211,8370,753,,True,,270,,,,,,,5 gr mdma (skidka v bitkoin 5%)
21,26-03-2020 15:12:21,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),,1,нет,Тбилиси,5 гр,0.0538,31489,11380,1032,400,True,,,,,,,,,5g MDMA (IMPORTED)
22,26-03-2020 15:12:21,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,8,нет,Тбилиси,5 гр,0.0248,13776,4979,451,175,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
23,26-03-2020 15:12:21,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,,1,нет,Тбилиси,5 гр,0.0225,12517,4524,410,159,True,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
24,26-03-2020 15:12:21,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,7,нет,Тбилиси,5 гр,0.007,4330,1565,142,55,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
25,26-03-2020 15:12:21,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,1,нет,Тбилиси,6 гр,0.0121,7479,2703,245,95,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
26,26-03-2020 15:12:21,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Wholesale,True,1,нет,Тбилиси,10 гр,0.0279,15666,5662,513,199,,,,,,,,,,10 gr georgian weed. Wholesale
27,26-03-2020 15:12:21,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0335,18815,6800,616,239,,,,,,,,,,10 gr marijuana buds. -indica-
28,26-03-2020 15:12:21,Tbilisi,ABOAB,ProGrow,10G ---> ONLY BUDS,,1,нет,Тбилиси,10 гр,0.0294,16532,5975,542,210,True,,,,,,,,,10G ---> ONLY BUDS
29,26-03-2020 15:12:21,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",True,2,нет,Тбилиси,10 гр,0.0559,31410,11352,1029,399,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
30,26-03-2020 15:12:21,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,2,нет,Тбилиси,10 гр,0.0511,28734,10384,941,365,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
31,26-03-2020 15:12:21,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0374,21019,7596,689,267,True,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
32,26-03-2020 15:12:21,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,3,нет,Тбилиси,10 гр,0.0108,6691,2418,219,85,True,True,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
33,26-03-2020 15:12:58,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0539,31489,11380,1032,400,True,,,,,,,,,gashish evro 10g
34,26-03-2020 15:12:58,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2552,157445,56900,5158,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,26-03-2020 15:12:58,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 100шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,100 гр,0.051,31489,11380,1032,400,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 100sht. Gotovye klady v Gruzii ot proizvoditelja!
36,26-03-2020 15:12:58,Tbilisi,XH0NP,XX-PABLO-XX,0.25G - METADON - VHQ,,20,5,Тбилиси,0.25 гр,0.0319,17713,6401,580,225,True,,,,,,,,,0.25G - METADON - VHQ
37,26-03-2020 15:12:58,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 0.35 G,,нет,5,Тбилиси,0.35 гр,0.0425,23617,8535,774,300,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G
38,26-03-2020 15:12:58,Tbilisi,Y6FO,Opiate,Methadone HQ in city 0.75g,,нет,1,Тбилиси,0.75 гр,0.0519,29127,10527,954,370,True,,,,,,,,,Methadone HQ in city 0.75g
39,26-03-2020 15:12:58,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.1 G (SALE),,1,3,Тбилиси,1.1 гр,0.085,47233,17070,1547,600,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.1 G (SALE)
40,26-03-2020 15:12:58,Tbilisi,Y6FO,Opiate,Methadone HQ in city 1.4g,,нет,2,Тбилиси,1.4 гр,0.0982,55106,19915,1805,700,True,,,,,,,,,Methadone HQ in city 1.4g
41,26-03-2020 15:12:58,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,2,Тбилиси,2 гр,0.0284,15744,5690,516,200,True,,,,,,,,,✨✨2gram. MDMA✨✨
42,26-03-2020 15:12:58,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0523,29049,10498,952,369,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,26-03-2020 15:12:58,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0836,46446,16786,1522,590,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
44,26-03-2020 15:12:58,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0561,31489,11380,1032,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
45,26-03-2020 15:12:58,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0279,15666,5662,513,199,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
46,26-03-2020 15:12:58,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0772,43297,15648,1418,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
47,26-03-2020 15:12:58,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0279,15666,5662,513,199,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
48,26-03-2020 15:12:58,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,9,Тбилиси,5 гр,0.0279,15666,5662,513,199,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
49,26-03-2020 15:12:58,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0279,15666,5662,513,199,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,26-03-2020 15:12:58,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0279,15666,5662,513,199,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,26-03-2020 15:12:58,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0279,15666,5662,513,199,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,26-03-2020 15:12:58,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0279,17240,6231,565,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,26-03-2020 15:12:58,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0425,23617,8535,774,300,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
54,26-03-2020 15:12:58,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0279,15666,5662,513,199,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,26-03-2020 15:12:58,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,14,Тбилиси,5 гр,0.0255,15744,5690,516,200,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
56,26-03-2020 15:12:58,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3079,190000,87429,6316,,True,,,,,,,,,reagent 25i nbome. 5gr
57,26-03-2020 15:12:58,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3828,236167,85350,7737,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,26-03-2020 15:12:58,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1232,68410,24723,2241,869,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
59,26-03-2020 15:12:58,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0269,14957,5406,490,190,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
60,26-03-2020 15:12:58,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0693,38495,13912,1261,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
61,26-03-2020 15:12:58,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0268,14879,5377,487,189,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
62,26-03-2020 15:12:58,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1263,70850,25605,2321,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
63,26-03-2020 15:12:58,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0982,55106,19915,1805,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,26-03-2020 15:12:58,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0449,25191,9104,825,320,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,26-03-2020 15:13:22,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.308,173089,63301,5738,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
66,26-03-2020 15:13:22,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,9,Тбилиси,10 гр,0.2026,112722,41224,3737,1449,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
67,26-03-2020 15:13:22,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0516,28706,10498,952,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
68,26-03-2020 15:13:22,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0418,23260,8507,771,299,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
69,26-03-2020 15:13:22,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0838,46598,17042,1545,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
70,26-03-2020 15:13:22,Tbilisi,RGIUB,SaintJoint,50 gr 23% THC Amnesia Haze top quality,,нет,1,Тбилиси,50 гр,0.151,93351,34140,3095,1200,True,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
71,26-03-2020 15:13:22,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1523,85572,31295,2837,1100,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
72,26-03-2020 15:13:22,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2769,155586,56900,5158,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
73,26-03-2020 15:13:22,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2797,155586,56900,5158,2000,True,,,,,,,,,SUBOXIN - HQ - 100 G.
74,26-03-2020 15:13:22,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3461,194482,71125,6447,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
75,26-03-2020 15:13:22,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2097,116689,42675,3868,1500,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
76,26-03-2020 15:13:22,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6369,357847,130870,11863,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
77,26-03-2020 15:13:22,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0384,583446,213375,19342,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
78,26-03-2020 15:13:22,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1768,661239,241825,21921,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
79,26-03-2020 15:13:22,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0252,15559,5690,516,200,True,,,,,,,,,KURYER..500RUB.+BONUS
80,26-03-2020 15:13:22,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0277,15559,5690,516,200,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
81,26-03-2020 15:13:22,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Тбилиси,50 гр,0.034,21037,7750,698,,True,,250,,,,,,,Rabota na marki (kur'er)
82,26-03-2020 15:13:22,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0277,15559,5690,516,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
83,26-03-2020 15:13:22,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0346,19448,7113,645,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
84,26-03-2020 15:13:22,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0956,1166892,426750,38684,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
85,26-03-2020 15:14:38,Batumi,V4T,COCAcoLA,HEROINE-999 0.25гр из авганистана! скидка при покупке BTC,,2,нет,Батуми,0.25 гр,0.0267,14957,5406,490,190,,,,,,,True,,,HEROINE-999 0.25gr iz avganistana! skidka pri pokupke BTC
86,26-03-2020 15:14:38,Batumi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 грамм",,2,нет,Батуми,0.7 гр,0.0167,10316,3720,335,,,,120,,,,,True,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gramm"
87,26-03-2020 15:14:38,Batumi,V4T,COCAcoLA,COCAINE 1 gr THE BEST COCO IN GEORGIA,,3,нет,Батуми,1 гр,0.0383,23617,8535,774,300,,,,,,,True,,,COCAINE 1 gr THE BEST COCO IN GEORGIA
88,26-03-2020 15:14:38,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,10,нет,Батуми,1 гр,0.0242,14957,5406,490,190,,,,,,,,True,,NZT-52 limited 1 g muka
89,26-03-2020 15:14:38,Batumi,72B,CHINATOWN,NZT-52 limited 2г мука,,4,нет,Батуми,2 гр,0.0434,26766,9673,877,340,,,,,,,,True,,NZT-52 limited 2g muka
90,26-03-2020 15:14:38,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,25,нет,Батуми,2 гр,0.0057,3543,1280,116,45,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
91,26-03-2020 15:14:38,Batumi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,7,нет,Батуми,6 гр,0.0121,7479,2703,245,95,,,,,,,,True,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
92,26-03-2020 15:14:38,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3088,173189,62590,5674,2200,,,,,,,,True,,[100g] SPAIN HASH
93,26-03-2020 15:14:38,Batumi,XH0NP,XX-PABLO-XX,METADON - BATUMI - 0.27 G,,2,5,Батуми,0.27 гр,0.0354,19681,7113,645,250,,,,,,,True,,,METADON - BATUMI - 0.27 G
94,26-03-2020 15:14:38,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,14,Батуми,5 гр,0.0255,15744,5690,516,200,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
95,26-03-2020 15:14:38,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2835,157445,56900,5158,2000,,,,,,,,True,,SUBOXIN - HQ - 100 G.
96,26-03-2020 15:14:38,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2126,118083,42675,3868,1500,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
97,26-03-2020 15:14:38,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0128,7872,2845,258,100,,,,,,,,True,,kur'er v Batumi
98,26-03-2020 15:14:38,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0319,19681,7113,645,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,26-03-2020 15:14:38,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0319,19681,7113,645,250,,,,,,,,True,,Ischu kur'era v Gruzii!
100,26-03-2020 15:14:38,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0348,21491,7750,698,,,,250,,,,,True,,Rabota na marki (kur'er)
101,26-03-2020 15:14:38,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1243,1180835,426750,38684,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
102,26-03-2020 15:14:38,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0702,39361,14225,1289,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
103,26-03-2020 15:16:20,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1 гр,0.0271,15351,5548,503,195,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
104,26-03-2020 15:16:20,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,8,нет,Кутаиси,1.5 гр,0.0215,12202,4410,400,155,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
