,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Gldani,€,Nadzaladevi,Varketili,Old Tbilisi (Старый город),Дигоми,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
10,14-04-2020 07:11:18,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0271,15440,5723,517,210,,,,,,,,,,,,,VHQ BEST Cocaine 1g.
11,14-04-2020 07:11:18,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 1 штука!!!!,True,20,нет,Тбилиси,1 гр,0.0024,1450,536,49,,,True,18,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 1 shtuka!!!!
12,14-04-2020 07:11:18,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.1101,66172,24525,2215,900,,,,,,,,,,,,,Metadon 1gr
13,14-04-2020 07:11:18,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0024,1470,545,49,20,,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
14,14-04-2020 07:11:18,Tbilisi,9VLN,AlienShop,☃️❄1g. New COCAINE!!❄☃️,True,2,нет,Тбилиси,1 гр,0.0257,13896,5150,465,189,,,,,,,,,,,,,☃️❄1g. New COCAINE!!❄☃️
15,14-04-2020 07:11:18,Tbilisi,LGRP8,Walker12,19% ТГК Шишки Northern Lights 1.1г Скидка 1 через БИТКОИН !!!,True,10,нет,Тбилиси,1.1 гр,0.0051,2794,1036,94,38,,,,True,True,,,,,,,,19% TGK Shishki Northern Lights 1.1g Skidka 1 cherez BITKOIN !!!
16,14-04-2020 07:11:18,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,True,5,нет,Тбилиси,2 гр,0.0101,5514,2044,185,75,,,,,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
17,14-04-2020 07:11:18,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,1,нет,Тбилиси,2 гр,0.0122,7352,2725,246,100,,,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
18,14-04-2020 07:11:18,Tbilisi,SF03,CRAZYFROG,2 gr Шишки “OG KUSH VHQ”,True,3,нет,Тбилиси,2 гр,0.0093,5073,1880,170,69,,,,,,,,,,,,,2 gr Shishki “OG KUSH VHQ”
19,14-04-2020 07:11:18,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,2,нет,Тбилиси,2 гр,0.0115,6250,2316,209,85,,True,,,,,,,,,,,2g super Skunk top class buds. Indica
20,14-04-2020 07:11:18,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0095,5147,1908,172,70,,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
21,14-04-2020 07:11:18,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.0128,6985,2589,234,95,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
22,14-04-2020 07:11:18,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 2 G.,True,1,нет,Тбилиси,2 гр,0.1223,66172,24525,2215,900,,,,,,,,,,,,,METADON - 2 G.
23,14-04-2020 07:11:18,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,3,нет,Тбилиси,2 гр,0.0043,2573,954,86,35,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
24,14-04-2020 07:11:18,Tbilisi,P5MBO,ToppoT,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,2,нет,Тбилиси,2 гр,0.0114,6250,2316,209,85,True,,,,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
25,14-04-2020 07:11:18,Tbilisi,QUZIV,Hollyweed,3g superskunk top class buds. Indica,,1,нет,Тбилиси,3 гр,0.0166,8970,3325,300,122,,True,,,,,,,,,,,3g superskunk top class buds. Indica
26,14-04-2020 07:11:18,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.0143,7720,2861,258,105,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
27,14-04-2020 07:11:18,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 4 штуки!!!,True,6,нет,Тбилиси,4 гр,0.008,4832,1788,162,,,,60,,,True,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 4 shtuki!!!
28,14-04-2020 07:11:18,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0269,14558,5396,487,198,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
29,14-04-2020 07:11:18,Tbilisi,LYHBG,Playboy,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,3,нет,Тбилиси,5 гр,0.027,14631,5423,490,199,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
30,14-04-2020 07:11:18,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0413,23528,8720,788,320,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
31,14-04-2020 07:11:19,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.04,22057,8175,738,300,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
32,14-04-2020 07:11:19,Tbilisi,1GT8,GREENGY,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0516,29410,10900,985,400,,,,,,,,,,,,,5g MDMA (IMPORTED)
33,14-04-2020 07:11:19,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (hight quality),True,3,нет,Тбилиси,5 гр,0.018,9852,3652,330,134,,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
34,14-04-2020 07:11:19,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,5 гр,0.0238,12867,4769,431,175,,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
35,14-04-2020 07:11:58,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1052,63231,23435,2117,860,,,,,,,,,,,,,Cocaine Pure VHQ 5g.
36,14-04-2020 07:11:58,Tbilisi,LYHBG,Playboy,NEW !!! 5G OG KusH !!! NEW,True,3,нет,Тбилиси,5 гр,0.0269,14558,5396,487,198,,,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
37,14-04-2020 07:11:58,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1113,66907,24798,2240,910,,,,,,,,,,,,,VHQ BEST Cocaine 5g.
38,14-04-2020 07:11:58,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбоооом!!! 5 штук!!!,True,1,нет,Тбилиси,5 гр,0.0094,5638,2086,189,,,,70,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nboooom!!! 5 shtuk!!!
39,14-04-2020 07:11:58,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,5,нет,Тбилиси,5 гр,0.0067,4044,1499,135,55,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
40,14-04-2020 07:11:58,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,True,3,нет,Тбилиси,10 гр,0.0281,15367,5695,514,209,,,,,,,,,,,,,10 gr marijuana buds. -indica-
41,14-04-2020 07:11:58,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0537,29336,10873,982,399,,,,,,,True,,,,,,"10g. Shishki Amnesia Haze, Sativa"
42,14-04-2020 07:11:58,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0491,26836,9946,898,365,True,,,,,,,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
43,14-04-2020 07:11:59,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0104,6250,2316,209,85,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
44,14-04-2020 07:11:59,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0516,29410,10900,985,400,,,,,,,,,,,,,gashish evro 10g
45,14-04-2020 07:11:59,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1003,57129,21173,1912,777,,,,,,,,,,,,,Gashish Evro 20gr
46,14-04-2020 07:11:59,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2446,147049,54500,4923,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
47,14-04-2020 07:11:59,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.27 G.,True,нет,6,Тбилиси,0.27 гр,0.0308,16690,6186,559,227,,,,,,,,,,,,,METADON - 0.27 G.
48,14-04-2020 07:11:59,Tbilisi,U26MW,Skyhigh,"VHQ Cocaine Medelins Cartel 0,5 g SALE",,нет,3,Тбилиси,0.5 гр,0.0112,6103,2262,204,83,,,,,,,,True,,,,,"VHQ Cocaine Medelins Cartel 0,5 g SALE"
49,14-04-2020 07:11:59,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,4,Тбилиси,1 гр,0.005,2720,1008,91,37,,,,,,,,True,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
50,14-04-2020 07:11:59,Tbilisi,U26MW,Skyhigh,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE,,нет,5,Тбилиси,1 гр,0.007,3823,1417,128,52,,,,,,,,True,,,,,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE
51,14-04-2020 07:11:59,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,4,10,Тбилиси,1 гр,0.0397,26836,9946,898,365,,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
52,14-04-2020 07:11:59,Tbilisi,U26MW,Skyhigh,Ketamine 0.5 + MDMA 0.5 Combo,,нет,1,Тбилиси,1 гр,0.0195,10661,3951,357,145,,,,,,,,True,,,,,Ketamine 0.5 + MDMA 0.5 Combo
53,14-04-2020 07:11:59,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 1.5 грамма (порошок),True,нет,1,Тбилиси,1.5 гр,0.0201,12081,4470,404,,,,150,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1.5 gramma (poroshok)
54,14-04-2020 07:11:59,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0501,27131,10055,908,369,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
55,14-04-2020 07:11:59,Tbilisi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0404,24263,8993,812,330,,,,,,,,True,,,,,Sk sinij kris ochen' sil'nyj 3gr
56,14-04-2020 07:11:59,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0802,43379,16078,1452,590,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
57,14-04-2020 07:11:59,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0538,29410,10900,985,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
58,14-04-2020 07:11:59,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0215,11764,4360,394,160,,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
59,14-04-2020 07:11:59,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.074,40438,14988,1354,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
60,14-04-2020 07:11:59,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0229,12499,4633,418,170,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
61,14-04-2020 07:11:59,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0268,14631,5423,490,199,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
62,14-04-2020 07:11:59,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0268,14631,5423,490,199,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
63,14-04-2020 07:11:59,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0268,16102,5968,539,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
64,14-04-2020 07:11:59,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0268,14631,5423,490,199,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
65,14-04-2020 07:11:59,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0469,28189,10430,944,,,,350,,,,,,,,,,MDMA 5 gr!!!
66,14-04-2020 07:11:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3161,190000,87429,6360,,,,,,,,,,,,,,reagent 25i nbome. 5gr
67,14-04-2020 07:11:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3669,220574,81750,7384,3000,,,,,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
68,14-04-2020 07:12:57,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1179,63893,23680,2139,869,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
69,14-04-2020 07:12:57,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0258,13970,5178,468,190,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
70,14-04-2020 07:12:57,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0664,35953,13325,1204,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
71,14-04-2020 07:12:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0256,13896,5150,465,189,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
72,14-04-2020 07:12:57,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1209,66172,24525,2215,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
73,14-04-2020 07:12:57,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.094,51467,19075,1723,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
74,14-04-2020 07:12:57,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.043,23528,8720,788,320,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
75,14-04-2020 07:12:57,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.1075,58820,21800,1969,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
76,14-04-2020 07:12:57,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2989,163592,60631,5476,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
77,14-04-2020 07:12:57,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,5,3,Тбилиси,10 гр,0.0134,8054,2980,270,,,,100,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
78,14-04-2020 07:12:57,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1966,106537,39485,3566,1449,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
79,14-04-2020 07:12:57,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0501,27131,10055,908,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
80,14-04-2020 07:12:57,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0406,21984,8148,736,299,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
81,14-04-2020 07:12:57,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,6,Тбилиси,20 гр,0.0544,29777,11036,997,405,,,,,,,,True,,,,,20 gr Indica marijuana buds (hight quality)
82,14-04-2020 07:12:57,Tbilisi,Z5UFK,Vein,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4405,241087,89353,8071,3279,,,,,,,,,,,,,Cocaine Fishscale 20g
83,14-04-2020 07:12:57,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0813,44041,16323,1474,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
84,14-04-2020 07:12:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1478,80877,29975,2707,1100,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
85,14-04-2020 07:12:57,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3224,176459,65400,5907,2400,,,,,,,,,,,,,100 gr marijuana buds
86,14-04-2020 07:12:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2687,147049,54500,4923,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
87,14-04-2020 07:12:57,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.2714,147049,54500,4923,2000,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
88,14-04-2020 07:12:57,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3359,183811,68125,6153,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
89,14-04-2020 07:12:57,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.7926,433795,160775,14522,5900,,,,,,,,,,,,,180 gr marihuana persoalno
90,14-04-2020 07:12:57,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,2,Тбилиси,200 гр,0.4232,231602,85838,7753,3150,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
91,14-04-2020 07:12:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.618,338213,125350,11322,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
92,14-04-2020 07:12:57,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0076,551434,204375,18460,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
93,14-04-2020 07:12:57,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1419,624958,231625,20921,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
94,14-04-2020 07:12:57,Tbilisi,LGRP8,Walker12,!!!Вызиваем опитного курера в команду !!!.,True,1,нет,Тбилиси,1 гр,0.0123,7000,3221,234,,,,,,,,,,,,,,!!!Vyzivaem opitnogo kurera v komandu !!!.
95,14-04-2020 07:12:57,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0244,14705,5450,492,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
96,14-04-2020 07:12:57,Tbilisi,U26MW,Skyhigh,Ищу Курьер с минимальним залогом только марихуана,True,1,нет,Тбилиси,1 гр,0.0161,8823,3270,295,120,,,,,,,,,,,,,Ischu Kur'er s minimal'nim zalogom tol'ko marihuana
97,14-04-2020 07:12:57,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0269,14705,5450,492,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
98,14-04-2020 07:12:57,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0336,18381,6813,615,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
99,14-04-2020 07:12:57,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0334,1102868,408750,36920,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
100,14-04-2020 07:14:37,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2961,161754,59950,5415,2200,,,,,,,,,,True,,,[100g] SPAIN HASH
101,14-04-2020 07:14:37,Batumi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0404,24263,8993,812,330,,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
