,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Gldani,Тбилиси,$,Saburtalo,Varketili,Vazisubani,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
63,63,06-06-2020 22:51:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4689,315707,123510,10953,,,True,4600.0,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
64,64,06-06-2020 22:51:56,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7644,514739,201375,17858,,,True,7500.0,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
65,65,06-06-2020 22:51:56,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8664,583371,228225,20239,,,True,8500.0,,,,,,,,,10000sht marki 25i-nbome. predoplata
66,66,06-06-2020 22:51:56,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0185,13726,5370,476,,,True,200.0,,,,,,,,,KURYER..500RUB.+BONUS
67,67,06-06-2020 22:51:56,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0204,13726,5370,476,,,True,200.0,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
68,68,06-06-2020 22:51:56,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0255,17158,6713,595,,,True,250.0,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
69,69,06-06-2020 22:52:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5389,1029479,402750,35715,,,True,15000.0,,,,,,,,,Vakansija optovogo kur'era na mef
70,70,06-06-2020 22:54:07,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0418,28825,11277,1000,,,,420.0,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
71,71,06-06-2020 22:54:07,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5134,343160,134250,11905,,,,5000.0,,,,,,True,,,METADON - 20 G.
72,72,06-06-2020 22:54:07,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1674,112990,51992,3920,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
73,73,06-06-2020 22:54:07,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.265,178900,82321,6207,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
74,74,06-06-2020 22:54:07,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0092,6863,2685,238,,,,100.0,,,,,,True,,,kur'er v Batumi
75,75,06-06-2020 22:54:07,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,17158,6713,595,,,,250.0,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
76,76,06-06-2020 22:54:07,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,17158,6713,595,,,,250.0,,,,,,True,,,Ischu kur'era v Gruzii!
77,77,06-06-2020 22:54:07,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0203,13726,5370,476,,,,200.0,,,,,,True,,,Kur'er Batumi na marihuanu
78,78,06-06-2020 22:54:07,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0289,19491,7600,676,250.0,,,,,,,,,True,,,Rabota na marki (kur'er)
79,79,06-06-2020 22:54:07,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5389,1029479,402750,35715,,,,15000.0,,,,,,True,,,Vakansija optovogo kur'era na mef
80,80,06-06-2020 22:54:07,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0508,34316,13425,1191,,,,500.0,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
81,81,06-06-2020 22:55:42,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0289,19491,7600,676,250.0,,,,,,,,,,,True,Rabota na marki (kur'er)
