,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,Nadzaladevi,$,Saburtalo,Didube,Gldani,Vake,Old Tbilisi (Старый город),Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
14,14,12-07-2020 16:59:51,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,1 гр,0.0052,3918,1499,134,,True,,55.0,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
15,15,12-07-2020 16:59:51,Tbilisi,ae784bef73,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,,3,нет,Тбилиси,1 гр,0.0061,4131,1581,141,,True,,58.0,,True,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
16,16,12-07-2020 16:59:51,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,,1,нет,Тбилиси,1 гр,0.0052,3918,1499,134,,True,,55.0,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
17,17,12-07-2020 16:59:51,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,,4,нет,Тбилиси,1 гр,0.0071,4816,1842,165,60.0,True,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
18,18,12-07-2020 16:59:51,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,1,нет,Тбилиси,2 гр,0.0114,7764,2970,265,,,,109.0,True,,,,,,,,,,2 G Hybrid Marijuana Buds
19,19,12-07-2020 16:59:51,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,,120.0,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
20,20,12-07-2020 16:59:51,Tbilisi,bb1791277e,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,,120.0,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
21,21,12-07-2020 16:59:51,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,,120.0,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
22,22,12-07-2020 16:59:51,Tbilisi,69672fee0d,2 г Skunk #1 марихуана шишки тгк 29% VHQ,,3,нет,Тбилиси,2 гр,0.0105,7123,2725,243,,True,,100.0,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
23,23,12-07-2020 16:59:51,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,,2,нет,Тбилиси,2 гр,0.0126,8548,3270,292,,True,,120.0,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
24,24,12-07-2020 16:59:51,Tbilisi,0dec0e1c48,2gr HYBRID buds,,4,нет,Тбилиси,2 гр,0.0092,6268,2398,214,,True,,88.0,,,,,,,,,,,2gr HYBRID buds
25,25,12-07-2020 16:59:51,Tbilisi,8528108b62,3g. марихуана шишки Critical,,1,нет,Тбилиси,3 гр,0.0143,10684,4088,365,,True,,150.0,,,,,,,,,,,3g. marihuana shishki Critical
26,26,12-07-2020 16:59:51,Tbilisi,e56bb6ca93,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,18,нет,Тбилиси,3 гр,0.0058,3918,1499,134,,True,,55.0,,,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
27,27,12-07-2020 16:59:51,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan,,1,нет,Тбилиси,3 гр,0.0041,2778,1063,95,,,,39.0,,,True,,,,,,,,Marijuana Super Skunk leaves 3g plan
28,28,12-07-2020 16:59:51,Tbilisi,7c395c455d,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,1,нет,Тбилиси,5 гр,0.0272,18520,7085,632,,True,,260.0,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
29,29,12-07-2020 16:59:51,Tbilisi,7c395c455d,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,5 гр,0.0282,19232,7358,656,,True,,270.0,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
30,30,12-07-2020 16:59:51,Tbilisi,8528108b62,5g. марихуана шишки Critical,,2,нет,Тбилиси,5 гр,0.0228,17095,6540,583,,True,,240.0,,,,,,,,,,,5g. marihuana shishki Critical
31,31,12-07-2020 16:59:51,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0228,17095,6540,583,,,,240.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
32,32,12-07-2020 16:59:51,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0241,16383,6268,559,,,,230.0,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
33,33,12-07-2020 16:59:51,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,,5,нет,Тбилиси,10 гр,0.0015,997,382,34,,True,,14.0,,,,,,,,,,,GABAGAMA 10 shtuk
34,34,12-07-2020 16:59:51,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0456,32053,12263,1094,,True,,450.0,,,,,,,,,,,Gashish Evro 10gr
35,35,12-07-2020 17:00:50,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",,1,нет,Тбилиси,10 гр,0.009000000000000001,6767,2589,231,,True,,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
36,36,12-07-2020 17:00:50,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,1,нет,Тбилиси,11 гр,0.0171,12821,4905,437,,True,,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
37,37,12-07-2020 17:00:50,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0476,35615,13625,1215,,True,,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
38,38,12-07-2020 17:00:50,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4630,1771,158,,True,,65.0,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
39,39,12-07-2020 17:00:50,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2113,142460,54500,4860,,True,,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,40,12-07-2020 17:00:50,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,5,Тбилиси,1 гр,0.0369,24883,9517,850,310.0,True,,,,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
41,41,12-07-2020 17:00:50,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gram,,нет,10,Тбилиси,3 гр,0.0143,10684,4088,365,,True,,150.0,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
42,42,12-07-2020 17:00:50,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,2,Тбилиси,4 гр,0.0419,28492,10900,972,,True,,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
43,43,12-07-2020 17:00:50,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0262,17807,6813,608,,True,,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
44,44,12-07-2020 17:00:50,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,4,Тбилиси,5 гр,0.0576,39176,14988,1337,,True,,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,45,12-07-2020 17:00:50,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,2,6,Тбилиси,5 гр,0.0283,19232,7358,656,,True,,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
46,46,12-07-2020 17:00:50,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,1,5,Тбилиси,5 гр,0.0293,19944,7630,680,,True,,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,47,12-07-2020 17:00:50,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0288,19588,7494,668,,True,,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
48,48,12-07-2020 17:00:50,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0251,17095,6540,583,,True,,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
49,49,12-07-2020 17:00:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0293,19944,7630,680,,True,,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
50,50,12-07-2020 17:00:50,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0283,19232,7358,656,,True,,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
51,51,12-07-2020 17:00:50,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0208,15599,5968,532,,True,,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
52,52,12-07-2020 17:00:50,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0283,19232,7358,656,,True,,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,53,12-07-2020 17:00:50,Tbilisi,f374062dcd,Кристаллы Синие очень мощные на рынке 5 гр,,нет,1,Тбилиси,5 гр,0.0799,59833,22890,2041,,True,,840.0,,,,,,,,,,,Kristally Sinie ochen' moschnye na rynke 5 gr
54,54,12-07-2020 17:00:50,Tbilisi,7f1273da70,марихуана пудра высокое качество 5грам,,нет,10,Тбилиси,5 гр,0.0076,5698,2180,194,,True,,80.0,,,,,,,,,,,marihuana pudra vysokoe kachestvo 5gram
55,55,12-07-2020 17:00:50,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2539,190000,87429,6482,,True,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,12-07-2020 17:00:50,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2855,213689,81750,7290,,,,3000.0,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,12-07-2020 17:00:50,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,5 гр,0.0238,16054,6140,549,200.0,True,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
58,58,12-07-2020 17:00:50,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0942,64107,24525,2187,,True,,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
59,59,12-07-2020 17:00:50,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0576,39176,14988,1337,,True,,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
60,60,12-07-2020 17:00:50,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0733,49861,19075,1701,,True,,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
61,61,12-07-2020 17:00:50,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.044000000000000004,29917,11445,1021,,True,,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
62,62,12-07-2020 17:00:50,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0837,56984,21800,1944,,True,,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
63,63,12-07-2020 17:00:50,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2329,158486,60631,5407,,True,,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,64,12-07-2020 17:00:50,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0524,35318,13508,1207,440.0,True,,,,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
65,65,12-07-2020 17:00:50,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0464,31305,11973,1070,390.0,True,,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
66,66,12-07-2020 17:00:50,Tbilisi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Тбилиси,11 гр,0.0475,32027,12249,1095,399.0,True,,,,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
67,67,12-07-2020 17:00:50,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0619,46299,17713,1580,,True,,650.0,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
68,68,12-07-2020 17:00:50,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2512,170952,65400,5832,,True,,2400.0,,,,,,,,,,,100 gr marijuana buds
69,69,12-07-2020 17:01:26,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2512,170952,65400,5832,,True,,2400.0,,,,,,,,,,,100 gr marijuana buds
70,70,12-07-2020 17:01:26,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2617,178075,68125,6075,,True,,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,12-07-2020 17:01:26,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6175,420256,160775,14337,,True,,5900.0,,,,,,,,,,,180 gr marihuana persoalno
72,72,12-07-2020 17:01:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 200шт. вес таблетки 450mg,,нет,1,Тбилиси,200 гр,0.3768,256427,98100,8748,,True,,3600.0,,,,,,,,,,,Extasy GUCCI 200sht. ves tabletki 450mg
73,73,12-07-2020 17:01:26,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8897,605453,231625,20655,,True,,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,12-07-2020 17:01:26,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.019,14246,5450,486,,True,,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,12-07-2020 17:01:26,Tbilisi,83f3d55917,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,,1,нет,Тбилиси,1 гр,0.0157,10684,4088,365,,True,,150.0,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
76,76,12-07-2020 17:01:26,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0262,17807,6813,608,,True,,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
77,77,12-07-2020 17:01:26,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0209,14246,5450,486,,True,,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
78,78,12-07-2020 17:01:26,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0262,17807,6813,608,,True,,250.0,,,,,,,,,,,Rabota na marki (kur'er)
79,79,12-07-2020 17:01:26,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0523,35615,13625,1215,,True,,500.0,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
80,80,12-07-2020 17:01:26,Tbilisi,ae784bef73,Работа курьером,,нет,1,Тбилиси,10 гр,0.019,14246,5450,486,,True,,200.0,,,,,,,,,,,Rabota kur'erom
81,81,12-07-2020 17:01:26,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5843,1068447,408750,36450,,True,,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
82,82,12-07-2020 17:01:26,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0523,35615,13625,1215,,,,500.0,,,,True,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,83,12-07-2020 17:02:40,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,4,Батуми,1 гр,0.0369,24883,9517,850,310.0,,,,,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
84,84,12-07-2020 17:02:40,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0524,35318,13508,1207,440.0,,,,,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
85,85,12-07-2020 17:02:40,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0464,31305,11973,1070,390.0,,,,,,,,,,,True,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
86,86,12-07-2020 17:02:40,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,3,Батуми,11 гр,0.0475,32027,12249,1095,399.0,,,,,,,,,,,True,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
87,87,12-07-2020 17:02:40,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1661,112990,51992,3855,,,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
88,88,12-07-2020 17:02:40,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2629,178900,82321,6104,,,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
89,89,12-07-2020 17:02:40,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7123,2725,243,,,,100.0,,,,,,,,True,,,kur'er v Batumi
90,90,12-07-2020 17:02:40,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17807,6813,608,,,,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
91,91,12-07-2020 17:02:40,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17807,6813,608,,,,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
92,92,12-07-2020 17:02:40,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0209,14246,5450,486,,,,200.0,,,,,,,,True,,,Kur'er Batumi na marihuanu
93,93,12-07-2020 17:02:40,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5845,1068447,408750,36450,,,,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
94,94,12-07-2020 17:02:40,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0523,35615,13625,1215,,,,500.0,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,95,12-07-2020 17:04:19,Kutaisi,b7446e2cca,CUSTOM Шишки 3in1 3g,,1,нет,Кутаиси,3 гр,0.0105,7123,2725,243,,,,100.0,,,,,,,,,,True,CUSTOM Shishki 3in1 3g
96,96,12-07-2020 17:04:19,Kutaisi,b7446e2cca,CUSTOM Шишки 230g 3in1,,1,нет,Кутаиси,230 гр,0.4418,300590,114995,10255,,,,4220.0,,,,,,,,,,True,CUSTOM Shishki 230g 3in1
