,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,€,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
17,17,10-05-2020 04:33:12,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,True,1,нет,Тбилиси,2 гр,0.0073,1898,171,5171,70.0,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
18,18,10-05-2020 04:33:12,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0092,2413,217,6575,89.0,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
19,19,10-05-2020 04:33:12,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 2G,,2,нет,Тбилиси,2 гр,0.0102,2657,239,7240,98.0,True,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 2G
20,20,10-05-2020 04:33:12,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,2,нет,Тбилиси,2 гр,0.0493,13013,1172,35459,480.0,,,,,,,,,,VHQ BEST Cocaine 2g.
21,21,10-05-2020 04:33:12,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,4,нет,Тбилиси,2 гр,0.0088,2304,208,6279,85.0,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
22,22,10-05-2020 04:33:12,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,2,нет,Тбилиси,3 гр,0.0125,3226,291,8791,119.0,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
23,23,10-05-2020 04:33:12,Tbilisi,4659482266,3g superskunk top class buds.,,3,нет,Тбилиси,3 гр,0.0125,3226,291,8791,119.0,,,True,,,,,,,3g superskunk top class buds.
24,24,10-05-2020 04:33:12,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,4,нет,Тбилиси,3 гр,0.011000000000000001,2847,256,7757,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
25,25,10-05-2020 04:33:12,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 3g (TOP)(VHQ),True,3,нет,Тбилиси,3 гр,0.0119,3118,281,8495,115.0,,,,,,,,,,THE BEST GAGARIN WEED 3g (TOP)(VHQ)
26,26,10-05-2020 04:33:12,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0319,8675,781,23639,320.0,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,27,10-05-2020 04:33:12,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0308,8133,732,22162,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,28,10-05-2020 04:33:12,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0124,3226,291,8791,119.0,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
29,29,10-05-2020 04:33:12,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0184,4744,427,12928,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
30,30,10-05-2020 04:33:12,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 5g (TOP)(VHQ),True,4,нет,Тбилиси,5 гр,0.0177,4609,415,12558,170.0,,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
31,31,10-05-2020 04:33:12,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1158,31177,2808,84953,1150.0,,,,,,,,,,VHQ BEST Cocaine 5g.
32,32,10-05-2020 04:33:12,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,10 гр,0.0207,5395,486,14701,199.0,,,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
33,33,10-05-2020 04:33:12,Tbilisi,21e6be39fb,THE BEST GAGARIN WEED 10g (TOP)(VHQ),True,1,нет,Тбилиси,10 гр,0.0343,8946,806,24378,330.0,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
34,34,10-05-2020 04:33:12,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0399,10844,977,29549,400.0,,,,,,,,,,gashish evro 10g
35,35,10-05-2020 04:33:12,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0774,21064,1897,57399,777.0,,,,,,,,,,Gashish Evro 20gr
36,36,10-05-2020 04:33:34,Tbilisi,e56bb6ca93,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1773,44704,4026,121816,1649.0,True,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
37,37,10-05-2020 04:33:34,Tbilisi,54915c4374,Бупренорфин!!! 0.1 грамм (₽предзаказ скидка 10%),True,нет,10,Тбилиси,0.1 гр,0.0052,1321,119,3600,,,,,45.0,,,,,,Buprenorfin!!! 0.1 gramm (₽predzakaz skidka 10%)
38,38,10-05-2020 04:33:34,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!! (Предзаказ скидка 10%)",True,нет,1,Тбилиси,0.7 гр,0.0113,2847,256,7757,105.0,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!! (Predzakaz skidka 10%)"
39,39,10-05-2020 04:33:34,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.0172,4338,391,11820,160.0,,,,,,,,,,"""Kief"" Weed trichomes 1G"
40,40,10-05-2020 04:33:34,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0228,5693,513,15513,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
41,41,10-05-2020 04:33:34,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0401,10004,901,27259,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
42,42,10-05-2020 04:33:34,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0629,15697,1414,42772,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
43,43,10-05-2020 04:33:34,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.043,10844,977,29549,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
44,44,10-05-2020 04:33:34,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0591,14911,1343,40630,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
45,45,10-05-2020 04:33:34,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0253,6371,574,17360,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
46,46,10-05-2020 04:33:34,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0258,6506,586,17729,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
47,47,10-05-2020 04:33:34,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0247,6235,562,16991,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
48,48,10-05-2020 04:33:34,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0258,6506,586,17729,240.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
49,49,10-05-2020 04:33:34,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0258,6506,586,17729,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,50,10-05-2020 04:33:34,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0258,6506,586,17729,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,51,10-05-2020 04:33:34,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0258,6506,586,17729,240.0,,,,,,,,,,5gr Stardawg Auto WEED BUDS
52,52,10-05-2020 04:33:34,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0247,6235,562,16991,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
53,53,10-05-2020 04:33:34,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0214,5937,535,16178,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
54,54,10-05-2020 04:33:34,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0253,6371,574,17360,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,10-05-2020 04:33:34,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0172,4338,391,11820,160.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
56,56,10-05-2020 04:33:34,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2514,87429,6279,190000,,,,,,,,,,,reagent 25i nbome. 5gr
57,57,10-05-2020 04:33:34,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2932,81330,7325,221618,3000.0,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
58,58,10-05-2020 04:33:34,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1041,25998,2341,70844,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
59,59,10-05-2020 04:33:34,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,2,Тбилиси,5 гр,0.0205,5124,461,13962,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
60,60,10-05-2020 04:33:34,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0206,5151,464,14036,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
61,61,10-05-2020 04:33:34,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0531,13257,1194,36124,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
62,62,10-05-2020 04:33:34,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0205,5124,461,13962,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
63,63,10-05-2020 04:33:34,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,4,Тбилиси,8 гр,0.0086,2169,195,5910,80.0,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
64,64,10-05-2020 04:33:34,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0968,24399,2197,66485,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,65,10-05-2020 04:33:34,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.043,10844,977,29549,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
66,66,10-05-2020 04:33:34,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0753,18977,1709,51711,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
67,67,10-05-2020 04:33:34,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0452,11386,1025,31026,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
68,68,10-05-2020 04:33:34,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0108,2711,244,7387,100.0,,,,,,,,,,10G Hybrid Marijuana Leafs
69,69,10-05-2020 04:34:10,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.086,21688,1953,59098,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,70,10-05-2020 04:34:10,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0312,7862,708,21423,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
71,71,10-05-2020 04:34:10,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2392,60320,5432,164366,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
72,72,10-05-2020 04:34:10,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1693,42264,3806,115167,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
73,73,10-05-2020 04:34:10,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0401,10004,901,27259,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,74,10-05-2020 04:34:10,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5429,135550,12208,369363,5000.0,,,,,,,,,,METADON - 20 G.
75,75,10-05-2020 04:34:10,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.065,16239,1462,44250,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,76,10-05-2020 04:34:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1183,29821,2686,81260,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
77,77,10-05-2020 04:34:10,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.258,65064,5860,177294,2400.0,,,,,,,,,,100 gr marijuana buds
78,78,10-05-2020 04:34:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.215,54220,4883,147745,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,79,10-05-2020 04:34:10,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2688,67775,6104,184681,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,10-05-2020 04:34:10,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6343,159949,14405,435848,5900.0,,,,,,,,,,180 gr marihuana persoalno
81,81,10-05-2020 04:34:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4945,124706,11231,339814,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,82,10-05-2020 04:34:10,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8063,203325,18311,554044,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,83,10-05-2020 04:34:10,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9138,230435,20753,627916,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,10-05-2020 04:34:10,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0195,5422,488,14775,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,10-05-2020 04:34:10,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0269,6778,610,18468,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 250$"
86,86,10-05-2020 04:34:10,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0215,5422,488,14775,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,87,10-05-2020 04:34:10,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0269,6778,610,18468,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
88,88,10-05-2020 04:34:10,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0215,5422,488,14775,200.0,,,,,,,,,,Rabota na marki (kur'er)
89,89,10-05-2020 04:34:10,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6273,406650,36623,1108088,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
90,90,10-05-2020 04:35:27,Batumi,c30e679930,BatumiBiz - Марихуана Бошки [2 gram],,1,нет,Батуми,2 гр,0.0062,1572,142,4285,58.0,,,,,,,True,,,BatumiBiz - Marihuana Boshki [2 gram]
91,91,10-05-2020 04:35:27,Batumi,54915c4374,Батуми н-бооом 2 штуки,,1,нет,Батуми,2 гр,0.0038,969,87,2640,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
92,92,10-05-2020 04:35:27,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2365,59642,5371,162520,2200.0,,,,,,,,True,,[100g] SPAIN HASH
93,93,10-05-2020 04:35:27,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.0086,2169,195,5910,80.0,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 8 sht"
94,94,10-05-2020 04:35:27,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1644,51992,3734,112990,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
95,95,10-05-2020 04:35:27,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2604,82321,5912,178900,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
96,96,10-05-2020 04:35:27,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0098,2711,244,7387,100.0,,,,,,,,True,,kur'er v Batumi
97,97,10-05-2020 04:35:27,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0244,6778,610,18468,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
98,98,10-05-2020 04:35:27,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0244,6778,610,18468,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
99,99,10-05-2020 04:35:27,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6273,406650,36623,1108088,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
100,100,10-05-2020 04:35:27,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0538,13555,1221,36936,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
101,101,10-05-2020 04:36:52,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0199,5015,452,13666,185.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
102,102,10-05-2020 04:36:52,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,6,нет,Кутаиси,2 гр,0.0521,13148,1184,35828,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
103,103,10-05-2020 04:36:52,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,9,нет,Кутаиси,3 гр,0.0355,8946,806,24378,330.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
104,104,10-05-2020 04:36:52,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0215,5422,488,14775,200.0,,,,,,,,,True,Rabota na marki (kur'er)
