,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Nadzaladevi,Old Tbilisi (Старый город),Vake,Gldani,Didube,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
11,04-04-2020 05:26:02,Tbilisi,V4T,COCAcoLA,METHADONE 0.5 SALE SALE SALE THE BEST QUALITY VHQ,,1,нет,Тбилиси,0.5 гр,0.0496,27206,9678,905,350,True,,,,,,,,,,,METHADONE 0.5 SALE SALE SALE THE BEST QUALITY VHQ
12,04-04-2020 05:26:02,Tbilisi,TI21,Campaari,"Метадон VHQ 0,5",True,1,нет,Тбилиси,0.5 гр,0.0468,25652,9125,853,330,,,,,,,,,,,,"Metadon VHQ 0,5"
13,04-04-2020 05:26:02,Tbilisi,9VLN,AlienShop,☃️ 0.5g HQ COCAINE ☃️,True,3,нет,Тбилиси,0.5 гр,0.0156,8473,3014,282,109,,,,,,,,,,,,☃️ 0.5g HQ COCAINE ☃️
14,04-04-2020 05:26:02,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.65 грамм",,1,нет,Тбилиси,0.65 гр,0.0116,6996,2489,233,90,,,True,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.65 gramm"
15,04-04-2020 05:26:02,Tbilisi,18FB,Mr.Green Tbilis,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,10,нет,Тбилиси,1 гр,0.0077,4664,1659,155,60,,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
16,04-04-2020 05:26:02,Tbilisi,JVZTQ,partyshop,1 ecstasy red maseratti фотки видно VHQ екстази импорт с США,True,4,нет,Тбилиси,1 гр,0.0071,3887,1383,129,50,,,,,,,,,,,,1 ecstasy red maseratti fotki vidno VHQ ekstazi import s SShA
17,04-04-2020 05:26:02,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,1,нет,Тбилиси,1 гр,0.0057,3109,1106,103,40,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
18,04-04-2020 05:26:02,Tbilisi,03F3,geoshop,1 фото видно ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк,True,4,нет,Тбилиси,1 гр,0.0054,2954,1051,98,38,,,,,,,,,,,,1 foto vidno ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk
19,04-04-2020 05:26:02,Tbilisi,8B31,GEOWEEDSHOP,1gr Mazar 100% Indica. THC high,,1,нет,Тбилиси,1 гр,0.0058,3187,1134,106,41,,,,True,,,,,,,,1gr Mazar 100% Indica. THC high
20,04-04-2020 05:26:02,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 1g,True,5,нет,Тбилиси,1 гр,0.0257,14691,5226,488,189,,,,,,,,,,,,Cocaine Pure VHQ 1g
21,04-04-2020 05:26:02,Tbilisi,V4T,COCAcoLA,HEROINE-999 1 гр из авганистана! скидка при покупке BTC,,5,нет,Тбилиси,1 гр,0.085,46640,16590,1551,600,True,,,,,,,,,,,HEROINE-999 1 gr iz avganistana! skidka pri pokupke BTC
22,04-04-2020 05:26:02,Tbilisi,7IU5,ANASHA777,Hybrid Ana-sha 1G.,True,1,нет,Тбилиси,1 гр,0.0053,3187,1134,106,41,,,,,,,,,,,,Hybrid Ana-sha 1G.
23,04-04-2020 05:26:02,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,,5,нет,Тбилиси,1 гр,0.0992,54413,19355,1809,700,True,,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
24,04-04-2020 05:26:02,Tbilisi,V4T,COCAcoLA,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,5,нет,Тбилиси,1 гр,0.0143,7851,2793,261,101,True,,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
25,04-04-2020 05:26:02,Tbilisi,5LZ,ExtraShop,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0265,14691,5226,488,189,,,,,,,,,,,,Kokain HQ 1g.
26,04-04-2020 05:26:02,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0254,13914,4949,463,179,,,,True,,,,,,,,Kokain KOLUMBIA 1g
27,04-04-2020 05:26:02,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.116,69959,24885,2326,900,,,,,,,,,,,,Metadon 1gr
28,04-04-2020 05:26:02,Tbilisi,6UG,Good Enuff,"Мощнейшие марки 25I nbome 1 шт. Готовые клады в Грузии, от производителя!",True,3,нет,Тбилиси,1 гр,0.0026,1555,553,52,20,,,,,,,,,,,,"Moschnejshie marki 25I nbome 1 sht. Gotovye klady v Gruzii, ot proizvoditelja!"
29,04-04-2020 05:26:02,Tbilisi,9VLN,AlienShop,✨ 1g. MDMA ✨,True,1,нет,Тбилиси,1 гр,0.0156,8473,3014,282,109,,,,,,,,,,,,✨ 1g. MDMA ✨
30,04-04-2020 05:26:02,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,2 гр,0.0098,5364,1908,178,69,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
31,04-04-2020 05:26:02,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0098,5364,1908,178,69,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
32,04-04-2020 05:26:02,Tbilisi,8B31,GEOWEEDSHOP,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,True,2,нет,Тбилиси,2 гр,0.0112,6141,2184,204,79,,,,,,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
33,04-04-2020 05:26:02,Tbilisi,QUZIV,Hollyweed,2g super Skunk top class buds. Indica,,3,нет,Тбилиси,2 гр,0.0113,6141,2184,204,79,,,,,True,,,,,,,2g super Skunk top class buds. Indica
34,04-04-2020 05:26:32,Tbilisi,BB6E,WEEDSH0P,CHEESE WEED BUDS+leaves 2gr saburtalo !!,True,2,нет,Тбилиси,2 гр,0.0068,3731,1327,124,48,,,,,,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
35,04-04-2020 05:26:32,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,True,1,нет,Тбилиси,2 гр,0.0464,27984,9954,930,360,,,,,,,,,,,,Cocaine Pure VHQ 2 g
36,04-04-2020 05:26:32,Tbilisi,X4ZM,ZYX,Gorilla Glue! 2G ! NEW ! BUDS !,True,4,нет,Тбилиси,2 гр,0.0106,5830,2074,194,75,,,,,,,,,,,,Gorilla Glue! 2G ! NEW ! BUDS !
37,04-04-2020 05:26:32,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,13,нет,Тбилиси,2 гр,0.0045,2721,968,90,35,True,,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
38,04-04-2020 05:26:32,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,2 гр,0.0045,2721,968,90,35,True,,,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
39,04-04-2020 05:26:32,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0435,24874,8848,827,320,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
40,04-04-2020 05:26:32,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0421,23320,8295,775,300,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
41,04-04-2020 05:26:32,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.025,13603,4839,452,175,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
42,04-04-2020 05:26:32,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,2,нет,Тбилиси,5 гр,0.0071,4275,1521,142,55,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
43,04-04-2020 05:26:32,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0565,31015,11032,1031,399,True,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
44,04-04-2020 05:26:32,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.0517,28372,10092,943,365,,,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
45,04-04-2020 05:26:32,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,True,1,нет,Тбилиси,10 гр,0.0378,20755,7383,690,267,,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
46,04-04-2020 05:26:32,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,3,3,Тбилиси,10 гр,0.0142,8574,2986,279,,,,True,,,,100,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
47,04-04-2020 05:26:32,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0109,6607,2350,220,85,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
48,04-04-2020 05:26:32,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0544,31093,11060,1034,400,,,,,,,,,,,,gashish evro 10g
49,04-04-2020 05:26:32,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1056,60398,21484,2008,777,,,,,,,,,,,,Gashish Evro 20gr
50,04-04-2020 05:26:32,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2576,155465,55300,5169,2000,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
51,04-04-2020 05:26:32,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,True,нет,15,Тбилиси,0.25 гр,0.0316,17148,5972,559,,,,,,,,200,,,,,METADON - 0.25 G.
52,04-04-2020 05:26:32,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,True,нет,2,Тбилиси,1 гр,0.0142,8574,2986,279,,,,,,,,100,,,,,MDMA 1 gr
53,04-04-2020 05:26:32,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.0286,15547,5530,517,200,,,,,,,,,,,,✨✨2gram. MDMA✨✨
54,04-04-2020 05:26:32,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,3,Тбилиси,2 гр,0.0528,28683,10203,954,369,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
55,04-04-2020 05:26:32,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0844,45862,16314,1525,590,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
56,04-04-2020 05:26:32,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0567,31093,11060,1034,400,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
57,04-04-2020 05:26:32,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,4,Тбилиси,5 гр,0.0227,12437,4424,414,160,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
58,04-04-2020 05:26:32,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0779,42753,15208,1422,550,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,04-04-2020 05:26:32,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,1,Тбилиси,5 гр,0.0239,13137,4673,437,169,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
60,04-04-2020 05:26:32,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0241,13215,4701,439,170,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
61,04-04-2020 05:26:32,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0282,15469,5502,514,199,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
62,04-04-2020 05:26:32,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,9,Тбилиси,5 гр,0.0282,15469,5502,514,199,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
63,04-04-2020 05:26:32,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0282,17023,6055,566,219,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
64,04-04-2020 05:26:32,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),True,нет,5,Тбилиси,5 гр,0.0429,23320,8295,775,300,,,,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
65,04-04-2020 05:26:32,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0282,15469,5502,514,199,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
66,04-04-2020 05:27:19,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0282,15469,5502,514,199,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
67,04-04-2020 05:27:19,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),True,нет,12,Тбилиси,5 гр,0.0258,15547,5530,517,200,,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
68,04-04-2020 05:27:19,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3151,190000,87429,6378,,,,,,,,,,,,,reagent 25i nbome. 5gr
69,04-04-2020 05:27:19,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3867,233198,82950,7754,3000,,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
70,04-04-2020 05:27:19,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1245,67550,24028,2246,869,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
71,04-04-2020 05:27:19,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0272,14769,5254,491,190,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
72,04-04-2020 05:27:19,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.07,38011,13521,1264,489,,,,,,,,,,,,💘✨5g. MDMA ✨💘
73,04-04-2020 05:27:19,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0271,14691,5226,488,189,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
74,04-04-2020 05:27:19,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1276,69959,24885,2326,900,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
75,04-04-2020 05:27:19,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,5,Тбилиси,10 гр,0.0993,54413,19355,1809,700,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
76,04-04-2020 05:27:19,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,6,Тбилиси,10 гр,0.0454,24874,8848,827,320,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
77,04-04-2020 05:27:19,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.1134,62186,22120,2068,800,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
78,04-04-2020 05:27:19,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3155,172955,61521,5751,2225,,,,,,,,,,,,Amfetamin [White] [Import] 10G
79,04-04-2020 05:27:19,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,8,Тбилиси,10 гр,0.2075,112634,40065,3745,1449,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
80,04-04-2020 05:27:19,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0528,28683,10203,954,369,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
81,04-04-2020 05:27:19,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0428,23242,8267,773,299,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
82,04-04-2020 05:27:19,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,8,Тбилиси,20 гр,0.0708,38789,13797,1290,499,True,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
83,04-04-2020 05:27:19,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0858,46562,16562,1548,599,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
84,04-04-2020 05:27:19,Tbilisi,8B31,GEOWEEDSHOP,50gr Georgian Indica dominant buds. The Best PRICE,True,нет,13,Тбилиси,50 гр,0.1417,77655,27622,2582,999,True,,,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
85,04-04-2020 05:27:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.156,85506,30415,2843,1100,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
86,04-04-2020 05:27:19,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.3403,186558,66360,6203,2400,,,,,,,,,,,,100 gr marijuana buds
87,04-04-2020 05:27:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2836,155465,55300,5169,2000,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
88,04-04-2020 05:27:19,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2864,155465,55300,5169,2000,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
89,04-04-2020 05:27:19,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3545,194331,69125,6462,2500,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
90,04-04-2020 05:27:19,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,True,нет,1,Тбилиси,150 гр,0.2148,116599,41475,3877,1500,,,,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
91,04-04-2020 05:27:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6522,357570,127190,11889,4600,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
92,04-04-2020 05:27:19,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0634,582994,207375,19385,7500,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
93,04-04-2020 05:27:19,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.2052,660726,235025,21969,8500,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
94,04-04-2020 05:27:19,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0258,15547,5530,517,200,,,,,,,,,,,,KURYER..500RUB.+BONUS
95,04-04-2020 05:27:19,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",True,1,нет,Тбилиси,1 гр,0.0213,11660,4148,388,150,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
96,04-04-2020 05:27:19,Tbilisi,H9FHF,OldStar,Требуется курьер,True,1,нет,Тбилиси,1 гр,0.0166,10000,4602,336,,,,,,,,,,,,,Trebuetsja kur'er
97,04-04-2020 05:27:19,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0284,15547,5530,517,200,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
98,04-04-2020 05:27:19,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0354,19433,6913,646,250,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
99,04-04-2020 05:28:03,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.1462,1165988,414750,38769,15000,,,,,,,,,,,,Vakansija optovogo kur'era na mef
100,04-04-2020 05:29:14,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.0078,4275,1521,142,55,,,,,,,,,True,,,MEPHEDRONE 0.5 gr
101,04-04-2020 05:29:14,Batumi,V4T,COCAcoLA,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,2,нет,Батуми,1 гр,0.0143,7851,2793,261,101,,,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
