,time_stamp,region,sell_code,sell_name,description,Gldani,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Didube,Центр,Батуми,desc_en
22,02-08-2020 04:28:34,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,2,нет,Тбилиси,2 гр,0.01,8811,3343,293,120,,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
23,02-08-2020 04:28:34,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,2,нет,Тбилиси,2 гр,0.01,8811,3343,293,120,,True,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
24,02-08-2020 04:28:34,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,1,нет,Тбилиси,2 гр,0.0084,7343,2786,244,100,True,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
25,02-08-2020 04:28:34,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,,1,нет,Тбилиси,2 гр,0.01,8811,3343,293,120,,True,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
26,02-08-2020 04:28:34,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.01,8811,3343,293,120,,True,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
27,02-08-2020 04:28:34,Tbilisi,LGRP8,Walker12,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers BTC Sale 11 % !!!,,1,нет,Тбилиси,3 гр,0.0105,10280,3900,341,140,True,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers BTC Sale 11 % !!!
28,02-08-2020 04:28:34,Tbilisi,LD5U,Marshydroo,3 gram + skunk auto шишки,,3,нет,Тбилиси,3 гр,0.0108,9913,3761,329,135,,,True,,,,,,,,3 gram + skunk auto shishki
29,02-08-2020 04:28:34,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,,1,нет,Тбилиси,3 гр,0.0068,6608,2507,219,90,,True,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
30,02-08-2020 04:28:34,Tbilisi,JVZTQ,partyshop,5 ecstasy red maseratti VHQ екстази импорт с США,,7,нет,Тбилиси,5 гр,0.0209,18357,6965,609,250,,True,,,,,,,,,5 ecstasy red maseratti VHQ ekstazi import s SShA
31,02-08-2020 04:28:34,Tbilisi,LD5U,Marshydroo,Super Skunk auto 10gram,,1,нет,Тбилиси,10 гр,0.03,27461,10420,912,374,,,,True,,,,,,,Super Skunk auto 10gram
32,02-08-2020 04:28:34,Tbilisi,6P9R,RickNMorty,VHQ Methadon 1G max 12 Hours for adrss,,нет,1,Тбилиси,1 гр,0.0837,73426,27860,2438,1000,,True,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
33,02-08-2020 04:28:34,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,3,Тбилиси,1 гр,0.0311,27060,10233,899,,,True,,,310,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
34,02-08-2020 04:28:34,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,1,Тбилиси,3 гр,0.01,8811,3343,293,120,,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
35,02-08-2020 04:29:48,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0209,18357,6965,609,250,,True,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
36,02-08-2020 04:29:48,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0226,19825,7522,658,270,,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,02-08-2020 04:29:48,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.023,20192,7662,670,275,,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
38,02-08-2020 04:29:48,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0201,17622,6686,585,240,,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
39,02-08-2020 04:29:48,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0234,20559,7801,683,280,,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
40,02-08-2020 04:29:48,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0226,19825,7522,658,270,,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
41,02-08-2020 04:29:48,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0167,16080,6101,534,219,,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
42,02-08-2020 04:29:48,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",,нет,2,Тбилиси,5 гр,0.0183,17622,6686,585,240,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
43,02-08-2020 04:29:48,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,нет,1,Тбилиси,5 гр,0.0183,17622,6686,585,240,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
44,02-08-2020 04:29:48,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 5G,,нет,3,Тбилиси,5 гр,0.0197,17255,6547,573,235,,True,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
45,02-08-2020 04:29:48,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0226,19825,7522,658,270,,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,02-08-2020 04:29:48,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.1969,190000,87429,6300,,,True,,,,,,,,,reagent 25i nbome. 5gr
47,02-08-2020 04:29:48,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2283,220278,83580,7313,3000,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,02-08-2020 04:29:48,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.046,40384,15323,1341,550,,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
49,02-08-2020 04:29:48,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0586,51398,19502,1706,700,,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
50,02-08-2020 04:29:48,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0352,30839,11701,1024,420,,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
51,02-08-2020 04:29:48,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.067,58741,22288,1950,800,,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
52,02-08-2020 04:29:48,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,5,Тбилиси,10 гр,0.0352,30839,11701,1024,420,,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
53,02-08-2020 04:29:48,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.1862,163373,61989,5423,2225,,True,,,,,,,,,Amfetamin [White] [Import] 10G
54,02-08-2020 04:29:48,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0442,38407,14524,1276,,,True,,,440,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
55,02-08-2020 04:29:48,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Тбилиси,11 гр,0.0392,34043,12874,1131,,,True,,,390,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
56,02-08-2020 04:29:48,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0495,47727,18109,1584,650,,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
57,02-08-2020 04:29:48,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2009,176223,66864,5850,2400,,True,,,,,,,,,100 gr marijuana buds
58,02-08-2020 04:29:48,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",,нет,2,Тбилиси,100 гр,0.0083,7269,2758,241,99,,True,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
59,02-08-2020 04:29:48,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2092,183565,69650,6094,2500,,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,02-08-2020 04:29:48,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.4938,433214,164374,14381,5900,,True,,,,,,,,,180 gr marihuana persoalno
61,02-08-2020 04:29:48,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0205,18000,8283,597,,,,,,,,,True,,,GABAGAMA 250 shtuk
62,02-08-2020 04:29:48,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0837,73426,27860,2438,1000,True,,True,,,,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
63,02-08-2020 04:29:48,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.7114,624122,236810,20719,8500,,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,02-08-2020 04:29:48,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0152,14685,5572,488,200,,True,,,,,,,,,KURYER..500RUB.+BONUS
65,02-08-2020 04:29:48,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0209,18357,6965,609,250,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
66,02-08-2020 04:29:48,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0209,18357,6965,609,250,,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,02-08-2020 04:29:48,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,,1,нет,Тбилиси,5 гр,0.0457,44056,16716,1463,600,,True,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
68,02-08-2020 04:29:48,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0167,14685,5572,488,200,,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
69,02-08-2020 04:30:45,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0209,18357,6965,609,250,,True,,,,,,,,,Rabota na marki (kur'er)
70,02-08-2020 04:30:45,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0419,36713,13930,1219,500,,True,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
71,02-08-2020 04:30:45,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,,нет,1,Тбилиси,10 гр,0.0419,36713,13930,1219,500,,True,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
72,02-08-2020 04:30:45,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.2669,1101392,417900,36563,15000,,True,,,,,,,,,Vakansija optovogo kur'era na mef
73,02-08-2020 04:30:45,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0419,36713,13930,1219,500,,,True,True,,True,,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
74,02-08-2020 04:32:43,Batumi,6KB,Marioshop,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,6,нет,Батуми,0.4 гр,0.023,19989,7559,664,,,,,,229,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
75,02-08-2020 04:32:43,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,7,нет,Батуми,0.5 гр,0.0035,3055,1155,101,,,,,,35,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
76,02-08-2020 04:32:43,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,3,нет,Батуми,2 гр,0.0028,2423,919,80,33,,,,,,,,,,True,Melkie shishki (Indica) 2g
77,02-08-2020 04:32:43,Batumi,XUYA,MRweed,Gelato Grinded Moonrocks (измельченные мунроки) Эксклюзив. 5гр,,1,нет,Батуми,5 гр,0.0213,20559,7801,683,280,,,,,,,,,,True,Gelato Grinded Moonrocks (izmel'chennye munroki) Ekskljuziv. 5gr
78,02-08-2020 04:32:43,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0377,33042,12537,1097,450,,,,,,,,,True,,Super Critical 10G
79,02-08-2020 04:32:43,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0442,38407,14524,1276,,,,,,440,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
80,02-08-2020 04:32:43,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,нет,4,Батуми,0.3 гр,0.0254,22028,8358,731,300,,,,,,,,,,True,METADON - 0.30 - SALE
81,02-08-2020 04:32:43,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0312,27060,10233,899,,,,,,310,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
82,02-08-2020 04:32:43,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0392,34043,12874,1131,,,,,,390,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
83,02-08-2020 04:32:43,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0076,7343,2786,244,100,,,,,,,,,,True,kur'er v Batumi
84,02-08-2020 04:32:43,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0191,18357,6965,609,250,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
85,02-08-2020 04:32:43,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0191,18357,6965,609,250,,,,,,,,,,True,Ischu kur'era v Gruzii!
86,02-08-2020 04:32:43,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0168,14685,5572,488,200,,,,,,,,,,True,Kur'er Batumi na marihuanu
87,02-08-2020 04:32:43,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2688,1101392,417900,36563,15000,,,,,,,,,,True,Vakansija optovogo kur'era na mef
88,02-08-2020 04:32:43,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0419,36713,13930,1219,500,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
