,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,Дигоми,Nadzaladevi,Old Tbilisi (Старый город),Авлобари,Gldani,€,Батуми,Центр,Кутаиси,desc_en
53,53,03-05-2020 18:25:00,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2525,190000,87429,6306,,True,,,,,,,,,,,reagent 25i nbome. 5gr
54,54,03-05-2020 18:25:00,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2899,218179,81600,7243,3000.0,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,03-05-2020 18:25:00,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.10300000000000001,69745,26085,2315,959.0,True,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
56,56,03-05-2020 18:25:00,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,3,Тбилиси,5 гр,0.0203,13745,5141,456,189.0,True,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
57,57,03-05-2020 18:25:00,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0204,13818,5168,459,190.0,True,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,58,03-05-2020 18:25:00,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0525,35563,13301,1181,489.0,True,,,,,,,,,,,💘✨5g. MDMA ✨💘
59,59,03-05-2020 18:25:00,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0203,13745,5141,456,189.0,True,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
60,60,03-05-2020 18:25:00,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Тбилиси,10 гр,0.0117,8000,2992,266,110.0,True,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
61,61,03-05-2020 18:25:00,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0957,65454,24480,2173,900.0,True,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
62,62,03-05-2020 18:25:00,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0425,29091,10880,966,400.0,True,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
63,63,03-05-2020 18:25:00,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0744,50908,19040,1690,700.0,True,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,64,03-05-2020 18:25:00,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.034,23272,8704,773,320.0,True,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,65,03-05-2020 18:25:00,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.0106,7273,2720,241,100.0,True,,,,,,,,,,,10G Hybrid Marijuana Leafs
66,66,03-05-2020 18:25:00,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.085,58181,21760,1931,800.0,True,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
67,67,03-05-2020 18:25:00,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,2,Тбилиси,10 гр,0.0308,21091,7888,700,290.0,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
68,68,03-05-2020 18:25:00,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2365,161816,60520,5372,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
69,69,03-05-2020 18:25:30,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,2,Тбилиси,10 гр,0.0308,21091,7888,700,290.0,True,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
70,70,03-05-2020 18:25:30,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2364,161816,60520,5372,2225.0,True,,,,,,,,,,,Amfetamin [White] [Import] 10G
71,71,03-05-2020 18:25:30,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1673,113380,42405,3764,1559.0,True,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
72,72,03-05-2020 18:25:30,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0396,26836,10037,891,369.0,True,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
73,73,03-05-2020 18:25:30,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5365,363632,136000,12072,5000.0,True,,,,,,,,,,,METADON - 20 G.
74,74,03-05-2020 18:25:30,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0643,43563,16293,1446,599.0,True,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
75,75,03-05-2020 18:25:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1169,79999,29920,2656,1100.0,True,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
76,76,03-05-2020 18:25:30,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,,нет,1,Тбилиси,50 гр,0.1472,101817,38080,3380,1400.0,True,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
77,77,03-05-2020 18:25:30,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.255,174543,65280,5794,2400.0,True,,,,,,,,,,,100 gr marijuana buds
78,78,03-05-2020 18:25:30,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,2,Тбилиси,100 гр,0.3187,218179,81600,7243,3000.0,True,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
79,79,03-05-2020 18:25:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2125,145453,54400,4829,2000.0,True,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
80,80,03-05-2020 18:25:30,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2656,181816,68000,6036,2500.0,True,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,81,03-05-2020 18:25:30,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6268,429085,160480,14244,5900.0,True,,,,,,,,,,,180 gr marihuana persoalno
82,82,03-05-2020 18:25:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4887,334541,125120,11106,4600.0,True,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
83,83,03-05-2020 18:25:30,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7967,545447,204000,18107,7500.0,True,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
84,84,03-05-2020 18:25:30,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.903,618174,231200,20522,8500.0,True,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
85,85,03-05-2020 18:25:30,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0193,14545,5440,483,200.0,True,,,,,,,,,,,KURYER..500RUB.+BONUS
86,86,03-05-2020 18:25:30,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0212,14545,5440,483,200.0,True,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,87,03-05-2020 18:25:30,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0266,18182,6800,604,250.0,True,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
88,88,03-05-2020 18:25:30,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0212,14545,5440,483,200.0,True,,,,,,,,,,,Rabota na marki (kur'er)
89,89,03-05-2020 18:25:30,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.608,1090895,408000,36215,15000.0,True,,,,,,,,,,,Vakansija optovogo kur'era na mef
90,90,03-05-2020 18:27:23,Batumi,54915c4374,Батуми н-бооом 5 штук,,1,нет,Батуми,5 гр,0.0063,4747,1782,158,,,,,,,,,60.0,True,,,Batumi n-booom 5 shtuk
91,91,03-05-2020 18:27:23,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2337,159998,59840,5311,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
92,92,03-05-2020 18:27:23,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,4431,1663,147,,,,,,,,,56.0,True,,,Marki N-VoooooM!!!! 4 shtuki
93,93,03-05-2020 18:27:23,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,8,Батуми,10 гр,0.0117,8000,2992,266,110.0,,,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
94,94,03-05-2020 18:27:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,7273,2720,241,100.0,,,,,,,,,True,,,kur'er v Batumi
95,95,03-05-2020 18:27:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,18182,6800,604,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
96,96,03-05-2020 18:27:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,18182,6800,604,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
97,97,03-05-2020 18:27:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.608,1090895,408000,36215,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
98,98,03-05-2020 18:27:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0531,36363,13600,1207,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
99,99,03-05-2020 18:28:54,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0229,16000,5984,531,220.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
100,100,03-05-2020 18:28:54,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0552,37818,14144,1255,520.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
101,101,03-05-2020 18:28:54,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0406,28363,10608,942,390.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
102,102,03-05-2020 18:28:54,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0212,14545,5440,483,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
