,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Gldani,Дигоми,Saburtalo,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,€,Центр,desc_en
14,14-08-2020 19:51:02,Tbilisi,BB6E,WEEDSH0P,"1 gr , california ,GORILLA GLUE марихуана BUDS btc sale 1%",True,10,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54,,,,,,,,,,,,,"1 gr , california ,GORILLA GLUE marihuana BUDS btc sale 1%"
15,14-08-2020 19:51:02,Tbilisi,03F3,geoshop,1 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,1 гр,0.0051,4393,1656,148,60,,,,,,,,,,,,,1 gr Amnesia Haze shishki import s evropy tgk 28%
16,14-08-2020 19:51:02,Tbilisi,BB6E,WEEDSH0P,1 gr super lemon haze пробник,True,2,нет,Тбилиси,1 гр,0.0047,4027,1518,135,55,,,,,,,,,,,,,1 gr super lemon haze probnik
17,14-08-2020 19:51:02,Tbilisi,03F3,geoshop,1 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,1 гр,0.0045,3880,1463,130,53,,,,,,,,,,,,,1 marijuana BUDS northen lights 24% THC ShIShKI!!!
18,14-08-2020 19:51:02,Tbilisi,3Y9,HIGHTHC,1 г Skunk #1 марихуана шишки тгк 29% VHQ,True,4,нет,Тбилиси,1 гр,0.0047,4027,1518,135,55,,,,,,,,,,,,,1 g Skunk #1 marihuana shishki tgk 29% VHQ
19,14-08-2020 19:51:02,Tbilisi,QUZIV,Hollyweed,1 г.Super Skunk top class buds! (подезд),,4,нет,Тбилиси,1 гр,0.0047,4027,1518,135,55,True,True,,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
20,14-08-2020 19:51:02,Tbilisi,JVZTQ,partyshop,1 шишки Girl Scout Cookies тгк thc 28%,,4,нет,Тбилиси,1 гр,0.0049,4247,1601,143,58,,,True,,,,,,,,,,1 shishki Girl Scout Cookies tgk thc 28%
21,14-08-2020 19:51:02,Tbilisi,5XD8,TYsonWeed,1G TYson Budds Скидка 5%,True,16,нет,Тбилиси,1 гр,0.0033,2929,1104,98,40,,,,True,,,,,,,,,1G TYson Budds Skidka 5%
22,14-08-2020 19:51:02,Tbilisi,SF03,CRAZYFROG,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,1,нет,Тбилиси,1 гр,0.0047,4027,1518,135,55,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
23,14-08-2020 19:51:02,Tbilisi,I7IU,MrPickless,1g hindu kish best buds BTC 1% SALE,True,1,нет,Тбилиси,1 гр,0.0043,3734,1408,126,51,,,,,,,,,,,,,1g hindu kish best buds BTC 1% SALE
24,14-08-2020 19:51:02,Tbilisi,8B31,GEOWEEDSHOP,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,5,нет,Тбилиси,1 гр,0.004,3441,1297,116,47,,,,,,,,,,,,,1g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
25,14-08-2020 19:51:02,Tbilisi,7LHWP,GEOBUDS,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,3,нет,Тбилиси,1 гр,0.0041,3514,1325,118,48,,,,,,,,,,,,,1g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
26,14-08-2020 19:51:02,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,12,нет,Тбилиси,1 гр,0.0042,3588,1352,121,49,,,,,,,,,,,,,1gr HYBRID o.g
27,14-08-2020 19:51:02,Tbilisi,8B31,GEOWEEDSHOP,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,11,нет,Тбилиси,1 гр,0.0049,4173,1573,140,57,,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
28,14-08-2020 19:51:02,Tbilisi,H9FHF,OldStar,Auto Amnesia Haze 1 gr,True,10,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
29,14-08-2020 19:51:02,Tbilisi,9R7SU,ClownBaroN,MORNING GLORY 1G.( *VHQ*BUDS-26%THC) FROM EUROPE,,3,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54,,,,True,,,,,,,,,MORNING GLORY 1G.( *VHQ*BUDS-26%THC) FROM EUROPE
30,14-08-2020 19:51:02,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3954,1490,133,54,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
31,14-08-2020 19:51:02,Tbilisi,X4ZM,ZYX,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,2,нет,Тбилиси,1 гр,0.0049,4247,1601,143,58,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
32,14-08-2020 19:51:02,Tbilisi,X4ZM,ZYX,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4027,1518,135,55,,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
33,14-08-2020 19:51:02,Tbilisi,9CK,Hyperboy,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0043,3661,1380,123,50,,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
34,14-08-2020 19:51:02,Tbilisi,LYHBG,Playboy,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,2 гр,0.0085,7248,2732,244,99,,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
35,14-08-2020 19:51:02,Tbilisi,51K,tiabaldo66,Метадон VHQ 0.5гр,True,1,нет,Тбилиси,0.5 гр,0.0363,32508,12254,1093,444,,,,,,,,,,,,,Metadon VHQ 0.5gr
36,14-08-2020 19:52:08,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0085,7322,2760,246,100,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
37,14-08-2020 19:52:08,Tbilisi,ABOAB,ProGrow,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0072,6223,2346,209,85,,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
38,14-08-2020 19:52:08,Tbilisi,5XD8,TYsonWeed,2G TYson Budds Скидка 5%,True,10,нет,Тбилиси,2 гр,0.006,5711,2153,192,78,,,,True,,,,,,,,,2G TYson Budds Skidka 5%
39,14-08-2020 19:52:08,Tbilisi,8B31,GEOWEEDSHOP,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,2,нет,Тбилиси,2 гр,0.0073,6297,2374,212,86,,,,,,,,,,,,,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
40,14-08-2020 19:52:08,Tbilisi,7LHWP,GEOBUDS,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,5,нет,Тбилиси,2 гр,0.0074,6297,2374,212,86,,,,,,,,,,,,,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
41,14-08-2020 19:52:08,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0075,6443,2429,217,88,,,,,,,,,,,,,2gr HYBRID buds
42,14-08-2020 19:52:08,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0079,6809,2567,229,93,,,,,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
43,14-08-2020 19:52:08,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 2 гр",True,2,нет,Тбилиси,2 гр,0.0085,8054,3036,271,110,,,True,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
44,14-08-2020 19:52:08,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",True,4,нет,Тбилиси,2 гр,0.0085,8054,3036,271,110,,,True,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
45,14-08-2020 19:52:08,Tbilisi,9R7SU,ClownBaroN,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE,,2,нет,Тбилиси,3 гр,0.0128,10982,4140,369,150,,,,True,,,,,,,,,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE
46,14-08-2020 19:52:08,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.007,6589,2484,221,90,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
47,14-08-2020 19:52:08,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0186,17572,6624,591,240,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
48,14-08-2020 19:52:08,Tbilisi,43MUT,Canartvelo,Мощные Кексы / Marijuana cupcakes (75g),True,1,нет,Тбилиси,75 гр,0.0022,1830,690,62,25,,,,,,,,,,,,,Moschnye Keksy / Marijuana cupcakes (75g)
49,14-08-2020 19:52:08,Tbilisi,6P9R,RickNMorty,Subotex From France B8 VHQ 1pc,True,нет,5,Тбилиси,1 гр,0.0196,16840,6348,566,230,,,,,,,,,,,,,Subotex From France B8 VHQ 1pc
50,14-08-2020 19:52:08,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0213,18304,6900,615,250,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
51,14-08-2020 19:52:08,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.023,19768,7452,664,270,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
52,14-08-2020 19:52:08,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0234,20134,7590,677,275,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
53,14-08-2020 19:52:08,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0205,17572,6624,591,240,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
54,14-08-2020 19:52:08,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0239,20500,7728,689,280,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
55,14-08-2020 19:52:08,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.023,19768,7452,664,270,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
56,14-08-2020 19:52:08,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.017,16034,6044,539,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
57,14-08-2020 19:52:08,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0186,17572,6624,591,240,,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
58,14-08-2020 19:52:08,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0213,18304,6900,615,250,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
59,14-08-2020 19:52:08,Tbilisi,6P9R,RickNMorty,Subotex From France B8 VHQ 5pc,True,нет,2,Тбилиси,5 гр,0.0921,79073,29808,2658,1080,,,,,,,,,,,,,Subotex From France B8 VHQ 5pc
60,14-08-2020 19:52:08,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2012,190000,87429,6362,,,,,,,,,,,,,,reagent 25i nbome. 5gr
61,14-08-2020 19:52:08,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2325,219647,82800,7383,3000,,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
62,14-08-2020 19:52:08,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0469,40269,15180,1354,550,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
63,14-08-2020 19:52:08,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0597,51251,19320,1723,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
64,14-08-2020 19:52:08,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0358,30751,11592,1034,420,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
65,14-08-2020 19:52:08,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0682,58573,22080,1969,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
66,14-08-2020 19:52:08,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,нет,6,Тбилиси,10 гр,0.0012,1025,386,34,14,,,,,,,,,,,,,GABAGAMA 10 shtuk
67,14-08-2020 19:52:08,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1897,162905,61410,5476,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
68,14-08-2020 19:52:08,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2046,175718,66240,5906,2400,,,,,,,,,,,,,100 gr marijuana buds
69,14-08-2020 19:52:08,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0084,7248,2732,244,99,,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
70,14-08-2020 19:52:08,Tbilisi,51K,tiabaldo66,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0063,5638,2125,189,77,,,,,,,,,,,,,RoSS Uboj 2gr
71,14-08-2020 19:52:08,Tbilisi,S54D,wildindian,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.248,234290,88320,7875,3200,,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,14-08-2020 19:53:18,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,1,Тбилиси,100 гр,0.0084,7248,2732,244,99,,,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
73,14-08-2020 19:53:18,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2131,183039,69000,6152,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,14-08-2020 19:53:18,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.503,431973,162840,14519,5900,,,,,,,,,,,,,180 gr marihuana persoalno
75,14-08-2020 19:53:18,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0245,21000,9663,703,,,,,,,,,True,,,,,GABAGAMA 250 shtuk
76,14-08-2020 19:53:18,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7246,622333,234600,20918,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
77,14-08-2020 19:53:18,Tbilisi,XUYA,MRweed,Курьер Тбилиси,True,1,нет,Тбилиси,1 гр,0.0155,14643,5520,492,200,,,,,,,,,,,,,Kur'er Tbilisi
78,14-08-2020 19:53:18,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0213,18304,6900,615,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
79,14-08-2020 19:53:18,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0171,14643,5520,492,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
80,14-08-2020 19:53:18,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0213,18304,6900,615,250,,,,,,,,,,,,,Rabota na marki (kur'er)
81,14-08-2020 19:53:18,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0426,36608,13800,1230,500,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
82,14-08-2020 19:53:18,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0426,36608,13800,1230,500,,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
83,14-08-2020 19:53:18,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2904,1098236,414000,36914,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
84,14-08-2020 19:53:18,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0426,36608,13800,1230,500,True,,,,,True,,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
85,14-08-2020 19:53:18,Tbilisi,ALISA,AlisaMSK,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0035,3000,1380,100,,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
86,14-08-2020 19:53:18,Tbilisi,ALISA,AlisaMSK,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0085,7322,2760,246,100,,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
87,14-08-2020 19:55:24,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0405,34477,13007,1161,,,,,,,,,,,True,399,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
88,14-08-2020 19:55:24,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0396,33700,12714,1135,,,,,,,,,,,True,390,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
89,14-08-2020 19:55:24,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0194,18304,6900,615,250,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
90,14-08-2020 19:55:24,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0194,18304,6900,615,250,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
91,14-08-2020 19:55:24,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.017,14643,5520,492,200,,,,,,,,,,True,,,Kur'er Batumi na marihuanu
92,14-08-2020 19:55:24,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2903,1098236,414000,36914,15000,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,14-08-2020 19:55:24,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0426,36608,13800,1230,500,,,,,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
