,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
10,10,01-06-2020 04:59:45,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0112,7429,2840,253,105.0,,,,,,,,,,3x Extasy Duracell 223mg MDMA
11,11,01-06-2020 04:59:45,Tbilisi,8528108b62,4g.марихуана шишки white widow,True,3,нет,Тбилиси,4 гр,0.0187,13797,5275,470,195.0,,,,,,,,,,4g.marihuana shishki white widow
12,12,01-06-2020 04:59:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,6,нет,Тбилиси,4 гр,0.0113,7570,2894,258,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
13,13,01-06-2020 04:59:45,Tbilisi,be97026d1d,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!,,2,нет,Тбилиси,5 гр,0.0206,14080,5383,480,199.0,,True,,,,,,,,!! Lemon Haze 5g!! !!! BTC SALE 5% !!!
14,14,01-06-2020 04:59:45,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,1,нет,Тбилиси,5 гр,0.0314,21226,8115,723,300.0,,,,,,,,,,5 Grm Mdma Pure Quality A +++
15,15,01-06-2020 04:59:45,Tbilisi,0dec0e1c48,5 gr georgian weed. Package on magnet,True,10,нет,Тбилиси,5 гр,0.0147,9835,3760,335,139.0,,,,,,,,,,5 gr georgian weed. Package on magnet
16,16,01-06-2020 04:59:45,Tbilisi,8528108b62,5g. марихуана шишки Critical,True,3,нет,Тбилиси,5 гр,0.0231,16980,6492,578,240.0,,,,,,,,,,5g. marihuana shishki Critical
17,17,01-06-2020 04:59:45,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,5 гр,0.0126,8419,3219,287,119.0,,,True,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
18,18,01-06-2020 04:59:45,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,5 гр,0.0187,12382,4734,422,175.0,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
19,19,01-06-2020 04:59:45,Tbilisi,eb7e03535b,Cocaine Pure VHQ 5g.,True,1,нет,Тбилиси,5 гр,0.1216,81365,31108,2772,1150.0,,,,,,,,,,Cocaine Pure VHQ 5g.
20,20,01-06-2020 04:59:45,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,2,нет,Тбилиси,5 гр,0.1199,82780,31649,2820,1170.0,,,,,,,,,,VHQ BEST Cocaine 5g.
21,21,01-06-2020 04:59:45,Tbilisi,be97026d1d,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!,,1,нет,Тбилиси,7.5 гр,0.0292,19740,7547,672,279.0,,True,,,,,,,,!! Lemon Haze 7.5g!! !!! BTC SALE 5% !!!
22,22,01-06-2020 04:59:45,Tbilisi,7c395c455d,10 gr марихуана листья top гибрид,True,14,нет,Тбилиси,10 гр,0.0106,7075,2705,241,100.0,,,True,,,,,,,10 gr marihuana list'ja top gibrid
23,23,01-06-2020 04:59:45,Tbilisi,9610a68a0a,GABAGAMA 20 SHTUK,True,3,нет,Тбилиси,20 гр,0.0035,2547,974,87,36.0,,,,,,,,,,GABAGAMA 20 SHTUK
24,24,01-06-2020 04:59:45,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,True,2,нет,Тбилиси,50 гр,0.0077,5660,2164,193,80.0,,,,,,,,,,GABAGAMA 50 SHTUK
25,25,01-06-2020 04:59:45,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1922,141504,54100,4820,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
26,26,01-06-2020 04:59:45,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,True,1,нет,Тбилиси,150 гр,0.0178,13089,5004,446,185.0,,,,,,,,,,GABAGAMA 150 shtuk
27,27,01-06-2020 04:59:45,Tbilisi,54915c4374,Сирец (геройн) очень сильный 0.33 гр,True,нет,50,Тбилиси,0.33 гр,0.0159,10613,4058,362,150.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 0.33 gr
28,28,01-06-2020 04:59:45,Tbilisi,54915c4374,Геройн (сирец) 1 гр,True,нет,20,Тбилиси,1 гр,0.0381,25471,9738,868,360.0,,,,,,,,,,Gerojn (sirets) 1 gr
29,29,01-06-2020 04:59:45,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,4,Тбилиси,2 гр,0.0224,14858,5681,506,210.0,,,,,,,,,,✨✨2gram. MDMA✨✨
30,30,01-06-2020 04:59:45,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.0394,26107,9981,889,369.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
31,31,01-06-2020 04:59:45,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,7,Тбилиси,3 гр,0.0618,40965,15662,1395,579.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
32,32,01-06-2020 04:59:45,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0423,28301,10820,964,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
33,33,01-06-2020 04:59:45,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,4 гр,0.0148,9905,3787,337,140.0,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
34,34,01-06-2020 05:01:15,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",True,нет,1,Тбилиси,5 гр,0.0741,49526,18935,1687,700.0,,,,,,,,,,"""Kief"" Weed trichomes 5G"
35,35,01-06-2020 05:01:15,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0582,38914,14878,1326,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
36,36,01-06-2020 05:01:15,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,9,Тбилиси,5 гр,0.0249,16627,6357,566,235.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
37,37,01-06-2020 05:01:15,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0254,16980,6492,578,240.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
38,38,01-06-2020 05:01:15,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,8,Тбилиси,5 гр,0.0243,16273,6222,554,230.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
39,39,01-06-2020 05:01:15,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0254,16980,6492,578,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
40,40,01-06-2020 05:01:15,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,8,Тбилиси,5 гр,0.0254,16980,6492,578,240.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
41,41,01-06-2020 05:01:15,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0243,16273,6222,554,230.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
42,42,01-06-2020 05:01:15,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15495,5924,528,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
43,43,01-06-2020 05:01:15,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,True,нет,2,Тбилиси,5 гр,0.0267,17688,6763,603,250.0,,,,,,,,,,MARIXYANA - INDICA - 5 G.
44,44,01-06-2020 05:01:15,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,16627,6357,566,235.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
45,45,01-06-2020 05:01:15,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2583,190000,87429,6478,,,,,,,,,,,reagent 25i nbome. 5gr
46,46,01-06-2020 05:01:15,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2886,212256,81150,7230,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,01-06-2020 05:01:15,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1025,67851,25941,2311,959.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
48,48,01-06-2020 05:01:15,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,10,Тбилиси,5 гр,0.0203,13443,5140,458,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
49,49,01-06-2020 05:01:15,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0523,34598,13227,1178,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
50,50,01-06-2020 05:01:15,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,4,Тбилиси,5 гр,0.0198,13089,5004,446,185.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
51,51,01-06-2020 05:01:15,Tbilisi,be97026d1d,!! Гашиш !! Hash 6g !!! BTC SALE 5%!!!!,True,нет,1,Тбилиси,6 гр,0.0486,33183,12686,1130,469.0,,,,,,,,,,!! Gashish !! Hash 6g !!! BTC SALE 5%!!!!
52,52,01-06-2020 05:01:15,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0952,63677,24345,2169,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,53,01-06-2020 05:01:15,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0423,28301,10820,964,400.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,54,01-06-2020 05:01:15,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0741,49526,18935,1687,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,55,01-06-2020 05:01:15,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0444,29716,11361,1012,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,56,01-06-2020 05:01:15,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0847,56602,21640,1928,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
57,57,01-06-2020 05:01:15,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2354,157423,60186,5362,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
58,58,01-06-2020 05:01:15,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.1666,110302,42171,3757,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
59,59,01-06-2020 05:01:15,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0394,26107,9981,889,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
60,60,01-06-2020 05:01:15,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0336,22287,8521,759,315.0,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
61,61,01-06-2020 05:01:15,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,2,Тбилиси,20 гр,0.5344,353760,135250,12050,5000.0,,,,,,,,,,METADON - 20 G.
62,62,01-06-2020 05:01:15,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.064,42380,16203,1444,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
63,63,01-06-2020 05:01:15,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1375,91907,35138,3131,1299.0,,,,,,,,,,50 gr georgian weed. Package on magnet
64,64,01-06-2020 05:01:15,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2644,176809,67598,6023,2499.0,,,,,,,,,,100 gr georgian weed. Package on magnet
65,65,01-06-2020 05:01:15,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.254,169805,64920,5784,2400.0,,,,,,,,,,100 gr marijuana buds
66,66,01-06-2020 05:01:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2116,141504,54100,4820,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
67,67,01-06-2020 05:01:15,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2645,176880,67625,6025,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,68,01-06-2020 05:01:15,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6243,417437,159595,14219,5900.0,,,,,,,,,,180 gr marihuana persoalno
69,69,01-06-2020 05:01:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4867,325459,124430,11086,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,70,01-06-2020 05:01:54,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7936,530640,202875,18075,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,71,01-06-2020 05:01:54,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8994,601392,229925,20485,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,01-06-2020 05:01:54,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0192,14150,5410,482,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,01-06-2020 05:01:54,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0212,14150,5410,482,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,01-06-2020 05:01:54,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0265,17688,6763,603,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,75,01-06-2020 05:01:54,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 1100 $ в месец залог 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$,True,нет,1,Тбилиси,1 гр,0.0212,14150,5410,482,200.0,,,,,,,,,,rik i morti ishit kuriera zp ot 1100 $ v mesets zalog 200$ | Rick And Morty Need DG Sallary from 1100$ prepay 200$
76,76,01-06-2020 05:01:54,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6016,1061280,405750,36150,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,01-06-2020 05:03:03,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.25 гр",,2,нет,Батуми,0.25 гр,0.0053,3538,1353,121,50.0,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.25 gr"
78,78,01-06-2020 05:03:03,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,2,1,Батуми,0.5 гр,0.009000000000000001,6014,2299,205,85.0,,,,,,True,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
79,79,01-06-2020 05:03:03,Batumi,54915c4374,Марки н-БоооооооМ 4 шт,,3,нет,Батуми,4 гр,0.0059,3962,1515,135,56.0,,,,,,True,,,,Marki n-BoooooooM 4 sht
80,80,01-06-2020 05:03:03,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2326,155654,59510,5302,2200.0,,,,,,,True,,,[100g] SPAIN HASH
81,81,01-06-2020 05:03:03,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0238,16273,6222,554,230.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
82,82,01-06-2020 05:03:03,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0435,29716,11361,1012,420.0,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
83,83,01-06-2020 05:03:03,Batumi,f8a875c191,METADON - 20 G.,,нет,2,Батуми,20 гр,0.5338,353760,135250,12050,5000.0,,,,,,,True,,,METADON - 20 G.
84,84,01-06-2020 05:03:03,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1688,112990,51992,3853,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,85,01-06-2020 05:03:03,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2673,178900,82321,6100,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,86,01-06-2020 05:03:03,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7075,2705,241,100.0,,,,,,,True,,,kur'er v Batumi
87,87,01-06-2020 05:03:03,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.024,17688,6763,603,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,88,01-06-2020 05:03:03,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.024,17688,6763,603,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
89,89,01-06-2020 05:03:03,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0293,19637,7488,669,,,,,,,,True,250.0,,Rabota na marki (kur'er)
90,90,01-06-2020 05:03:03,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6,1061280,405750,36150,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
91,91,01-06-2020 05:03:03,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0529,35376,13525,1205,500.0,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
92,92,01-06-2020 05:04:54,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,2 гр,0.032,21862,8358,745,309.0,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
93,93,01-06-2020 05:04:54,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0202,13797,5275,470,195.0,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
94,94,01-06-2020 05:04:54,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0293,19637,7488,669,,,,,,,,,250.0,True,Rabota na marki (kur'er)
