,Unnamed: 0,time_stamp,region,sell_code,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Varketili,Didube,Дигоми,Gldani,Saburtalo,Авлобари,Центр,€,Батуми,Кутаиси,desc_en
10,10,20-04-2020 12:56:59,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,,3,нет,Тбилиси,2 гр,0.0108,5842,2165,193,79.0,True,,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
11,11,20-04-2020 12:56:59,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA. Варкетили,,1,нет,Тбилиси,2 гр,0.0095,5176,1918,171,70.0,True,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA. Varketili
12,12,20-04-2020 12:56:59,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.Авламбари,,2,нет,Тбилиси,2 гр,0.0095,5176,1918,171,70.0,True,,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.Avlambari
13,13,20-04-2020 12:56:59,Tbilisi,d04eeb6525,Кокаин HQ 2г.,,1,нет,Тбилиси,2 гр,0.0569,32535,12056,1076,440.0,True,,,,,,,,,,,,Kokain HQ 2g.
14,14,20-04-2020 12:56:59,Tbilisi,4c4ab8c0de,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨,,7,нет,Тбилиси,2 гр,0.0115,6285,2329,208,85.0,,,,True,,,,,,,,,✨✨🍃🍃2pc. LSD California sunshine 200ug.🍃🍃✨✨
15,15,20-04-2020 12:56:59,Tbilisi,4659482266,3g superskunk top class buds. Indica,,8,нет,Тбилиси,3 гр,0.0162,8799,3261,291,119.0,,,,,True,True,,,,,,,3g superskunk top class buds. Indica
16,16,20-04-2020 12:56:59,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA Варкетили,,1,нет,Тбилиси,3 гр,0.0143,7764,2877,257,105.0,True,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA Varketili
17,17,20-04-2020 12:56:59,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA. Авламбари,,2,нет,Тбилиси,3 гр,0.0143,7764,2877,257,105.0,True,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA. Avlambari
18,18,20-04-2020 12:56:59,Tbilisi,eb7e03535b,Cocaine Pure VHQ 3g.,,1,нет,Тбилиси,3 гр,0.095,52131,19317,1724,705.0,True,,,,,,,,,,,,Cocaine Pure VHQ 3g.
19,19,20-04-2020 12:56:59,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 3g.,,1,нет,Тбилиси,3 гр,0.0901,51021,18906,1687,690.0,True,,,,,,,,,,,,VHQ BEST Cocaine 3g.
20,20,20-04-2020 12:56:59,Tbilisi,54915c4374,Н бооом 4 штуки (300 арагвели),,3,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,True,,,,,,,,,,,,N booom 4 shtuki (300 aragveli)
21,21,20-04-2020 12:56:59,Tbilisi,54915c4374,Н бооом 4 штуки (Авлабври),,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,True,,,,,,,,,,,,N booom 4 shtuki (Avlabvri)
22,22,20-04-2020 12:56:59,Tbilisi,54915c4374,Н бооом 4 штуки (Темка),,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,True,,,,,,,,,,,,N booom 4 shtuki (Temka)
23,23,20-04-2020 12:56:59,Tbilisi,54915c4374,Н бооом 4 штуки (вазисубани),,1,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,True,,,,,,,,,,,,N booom 4 shtuki (vazisubani)
24,24,20-04-2020 12:56:59,Tbilisi,54915c4374,Н бооом 4 штуки (глдани),,4,нет,Тбилиси,4 гр,0.0074,4067,1507,134,55.0,,,,,,True,,,,,,,N booom 4 shtuki (gldani)
25,25,20-04-2020 12:56:59,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,,3,нет,Тбилиси,5 гр,0.0271,14715,5453,487,199.0,True,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
26,26,20-04-2020 12:56:59,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",,1,нет,Тбилиси,5 гр,0.0414,23662,8768,782,320.0,True,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
27,27,20-04-2020 12:56:59,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,,3,нет,Тбилиси,5 гр,0.04,22183,8220,734,300.0,True,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
28,28,20-04-2020 12:56:59,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,,3,нет,Тбилиси,5 гр,0.0228,12497,4631,413,169.0,,,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
29,29,20-04-2020 12:56:59,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (hight quality),,4,нет,Тбилиси,5 гр,0.0181,9909,3672,328,134.0,True,,,,,,,,,,,,5gr marijuana buds -indica- (hight quality)
30,30,20-04-2020 12:56:59,Tbilisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!!,,5,нет,Тбилиси,10 гр,0.0135,7394,2740,245,100.0,True,,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!!
31,31,20-04-2020 12:56:59,Tbilisi,c225d2f67d,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0517,29578,10960,978,400.0,True,,,,,,,,,,,,gashish evro 10g
32,32,20-04-2020 12:56:59,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1004,57455,21290,1900,777.0,True,,,,,,,,,,,,Gashish Evro 20gr
33,33,20-04-2020 12:56:59,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2449,147888,54800,4890,2000.0,True,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
34,34,20-04-2020 12:56:59,Tbilisi,2f51af8159,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,2,Тбилиси,1 гр,0.0057,3106,1151,103,42.0,,,,,,,True,,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
35,35,20-04-2020 12:57:50,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,10,Тбилиси,2 гр,0.0502,27285,10111,902,369.0,True,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
36,36,20-04-2020 12:57:50,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0802,43627,16166,1443,590.0,True,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
37,37,20-04-2020 12:57:50,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0539,29578,10960,978,400.0,True,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
38,38,20-04-2020 12:57:50,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,,нет,3,Тбилиси,5 гр,0.0215,11831,4384,391,160.0,True,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
39,39,20-04-2020 12:57:50,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0741,40669,15070,1345,550.0,True,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,40,20-04-2020 12:57:50,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0229,12571,4658,416,170.0,True,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
41,41,20-04-2020 12:57:50,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0268,14715,5453,487,199.0,True,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
42,42,20-04-2020 12:57:50,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0268,14715,5453,487,199.0,True,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
43,43,20-04-2020 12:57:50,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0268,16194,6001,535,219.0,True,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
44,44,20-04-2020 12:57:50,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0268,14715,5453,487,199.0,True,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
45,45,20-04-2020 12:57:50,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3146,190000,87429,6279,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
46,46,20-04-2020 12:57:50,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3673,221832,82200,7335,3000.0,,True,,,,,,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
47,47,20-04-2020 12:57:50,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,10,Тбилиси,5 гр,0.1182,64257,23811,2125,869.0,True,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
48,48,20-04-2020 12:57:50,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,нет,5,Тбилиси,5 гр,0.0257,13975,5179,462,189.0,True,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
49,49,20-04-2020 12:57:50,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0258,14049,5206,465,190.0,True,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
50,50,20-04-2020 12:57:50,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0665,36159,13399,1196,489.0,True,,,,,,,,,,,,💘✨5g. MDMA ✨💘
51,51,20-04-2020 12:57:50,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,5,Тбилиси,5 гр,0.0257,13975,5179,462,189.0,True,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
52,52,20-04-2020 12:57:50,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1212,66550,24660,2201,900.0,True,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,53,20-04-2020 12:57:50,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0943,51761,19180,1712,700.0,True,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
54,54,20-04-2020 12:57:50,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0431,23662,8768,782,320.0,True,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
55,55,20-04-2020 12:57:50,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.1077,59155,21920,1956,800.0,True,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,20-04-2020 12:57:50,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2996,164526,60965,5440,2225.0,True,,,,,,,,,,,,Amfetamin [White] [Import] 10G
57,57,20-04-2020 12:57:50,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.1971,107145,39703,3543,1449.0,True,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
58,58,20-04-2020 12:57:50,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0502,27285,10111,902,369.0,True,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
59,59,20-04-2020 12:57:50,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,1,Тбилиси,10 гр,0.0407,22109,8193,731,299.0,True,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
60,60,20-04-2020 12:57:50,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),,нет,1,Тбилиси,20 гр,0.0545,29947,11097,990,405.0,True,,,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
61,61,20-04-2020 12:57:50,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0815,44293,16413,1465,599.0,True,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
62,62,20-04-2020 12:57:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1481,81339,30140,2690,1100.0,True,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
63,63,20-04-2020 12:57:50,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3232,177466,65760,5868,2400.0,True,,,,,,,,,,,,100 gr marijuana buds
64,64,20-04-2020 12:57:50,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2693,147888,54800,4890,2000.0,True,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,20-04-2020 12:57:50,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.272,147888,54800,4890,2000.0,True,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
66,66,20-04-2020 12:57:50,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3367,184860,68500,6113,2500.0,True,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,67,20-04-2020 12:57:50,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.7945,436270,161660,14426,5900.0,True,,,,,,,,,,,,180 gr marihuana persoalno
68,68,20-04-2020 12:58:47,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,1,Тбилиси,200 гр,0.4242,232924,86310,7702,3150.0,True,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
69,69,20-04-2020 12:58:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6195,340143,126040,11247,4600.0,True,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
70,70,20-04-2020 12:58:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.01,554581,205500,18338,7500.0,True,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
71,71,20-04-2020 12:58:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1447,628525,232900,20783,8500.0,True,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
72,72,20-04-2020 12:58:47,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0245,14789,5480,489,200.0,True,,,,,,,,,,,,KURYER..500RUB.+BONUS
73,73,20-04-2020 12:58:47,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0269,14789,5480,489,200.0,True,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
74,74,20-04-2020 12:58:47,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0337,18486,6850,611,250.0,True,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
75,75,20-04-2020 12:58:47,Tbilisi,54915c4374,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0269,14789,5480,489,200.0,True,,,,,,,,,,,,Rabota na marki (kur'er)
76,76,20-04-2020 12:58:47,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0384,1109162,411000,36675,15000.0,True,,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,20-04-2020 13:00:21,Batumi,54915c4374,Батуми н-бооом 1 штука,,2,нет,Батуми,1 гр,0.0024,1442,536,48,,,,,,,,,,True,18.0,,,Batumi n-booom 1 shtuka
78,78,20-04-2020 13:00:21,Batumi,54915c4374,Батуми н-бооом 2 штуки,,10,нет,Батуми,2 гр,0.0047,2564,953,85,,,,,,,,,,,32.0,True,,Batumi n-booom 2 shtuki
79,79,20-04-2020 13:00:21,Batumi,54915c4374,Батуми н-бооом 4 штуки,,2,нет,Батуми,4 гр,0.0073,4406,1637,146,,,,,,,,,,True,55.0,,,Batumi n-booom 4 shtuki
80,80,20-04-2020 13:00:21,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2963,162677,60280,5379,2200.0,,,,,,,,,,,True,,[100g] SPAIN HASH
81,81,20-04-2020 13:00:21,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.272,147888,54800,4890,2000.0,,,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
82,82,20-04-2020 13:00:21,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0122,7394,2740,245,100.0,,,,,,,,,,,True,,kur'er v Batumi
83,83,20-04-2020 13:00:21,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0306,18486,6850,611,250.0,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
84,84,20-04-2020 13:00:21,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0306,18486,6850,611,250.0,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
85,85,20-04-2020 13:00:21,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0384,1109162,411000,36675,15000.0,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
86,86,20-04-2020 13:00:21,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0673,36972,13700,1223,500.0,,,,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
87,87,20-04-2020 13:02:00,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0212,11757,4357,389,159.0,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,88,20-04-2020 13:02:00,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.0535,29356,10878,971,397.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
89,89,20-04-2020 13:02:00,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0388,21296,7891,704,288.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,20-04-2020 13:02:00,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0269,14789,5480,489,200.0,,,,,,,,,,,,True,Rabota na marki (kur'er)
