,time_stamp,region,sell_code,sell_name,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Тбилиси,Didube,Vake,Авлобари,Gldani,Дигоми,Nadzaladevi,Батуми,Центр,Кутаиси,desc_en
19,07-05-2020 03:34:23,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,10,нет,Тбилиси,2 гр,0.0104,7397,2705,245,100,,True,,,,,,,,,,2 G Hybrid Marijuana Buds
20,07-05-2020 03:34:23,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,2 гр,0.0094,7323,2678,243,99,,True,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,07-05-2020 03:34:23,Tbilisi,LYHBG,Playboy,2LSD ---- LSD ALBERT HOFFMAN 200ug,,5,нет,Тбилиси,2 гр,0.0094,6584,2407,218,89,,True,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
22,07-05-2020 03:34:23,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0103,7323,2678,243,99,,True,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
23,07-05-2020 03:34:23,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,4,нет,Тбилиси,2 гр,0.0074,5178,1894,172,70,,True,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
24,07-05-2020 03:34:23,Tbilisi,8B31,GEOWEEDSHOP,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,13,нет,Тбилиси,2 гр,0.0093,6584,2407,218,89,,,True,,,,True,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
25,07-05-2020 03:34:23,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 2g.,,1,нет,Тбилиси,2 гр,0.0495,35507,12984,1177,480,,True,,,,,,,,,,VHQ BEST Cocaine 2g.
26,07-05-2020 03:34:23,Tbilisi,LYHBG,Playboy,3 ECSTASY << PACO RABANNE >>,,3,нет,Тбилиси,3 гр,0.0125,8803,3219,292,119,,True,,,,,,,,,,3 ECSTASY << PACO RABANNE >>
27,07-05-2020 03:34:23,Tbilisi,18FB,Mr.Green Tbilis,3 G Hybrid Marijuana Big Buds,,5,нет,Тбилиси,3 гр,0.0135,9616,3517,319,130,,True,,,,,,,,,,3 G Hybrid Marijuana Big Buds
28,07-05-2020 03:34:23,Tbilisi,03F3,geoshop,3 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,1,нет,Тбилиси,3 гр,0.0132,10282,3760,341,139,,True,,,,,,,,,,3 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,07-05-2020 03:34:23,Tbilisi,LYHBG,Playboy,3LSD ---- LSD ALBERT HOFFMAN 200ug,,1,нет,Тбилиси,3 гр,0.0125,8803,3219,292,119,,True,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
30,07-05-2020 03:34:23,Tbilisi,NVOG,ProperMgzn,3x Extasy Duracell 223mg MDMA,,3,нет,Тбилиси,3 гр,0.011,7767,2840,258,105,,True,,,,,,,,,,3x Extasy Duracell 223mg MDMA
31,07-05-2020 03:34:23,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,,1,нет,Тбилиси,3 гр,0.0125,8803,3219,292,119,,,,True,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
32,07-05-2020 03:34:23,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.032,23671,8656,785,320,,True,,,,,,,,,,"5 Grm MDMA , Purity A +++"
33,07-05-2020 03:34:23,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0309,22192,8115,736,300,,True,,,,,,,,,,5 Grm Mdma Pure Quality A +++
34,07-05-2020 03:34:23,Tbilisi,BB6E,WEEDSH0P,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,,1,нет,Тбилиси,5 гр,0.0061,4364,1596,145,59,,True,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
35,07-05-2020 03:35:09,Tbilisi,8B31,GEOWEEDSHOP,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,5 гр,0.0124,8803,3219,292,119,True,,,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
36,07-05-2020 03:35:09,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,2,нет,Тбилиси,5 гр,0.0184,12945,4734,429,175,,True,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
37,07-05-2020 03:35:09,Tbilisi,PTO3,MeDuZa777,THE BEST GAGARIN WEED 5g (TOP)(VHQ),,4,нет,Тбилиси,5 гр,0.0177,12575,4599,417,170,,True,,,,,,,,,,THE BEST GAGARIN WEED 5g (TOP)(VHQ)
38,07-05-2020 03:35:09,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,,2,нет,Тбилиси,5 гр,0.1161,85068,31108,2821,1150,,True,,,,,,,,,,VHQ BEST Cocaine 5g.
39,07-05-2020 03:35:09,Tbilisi,9VLN,AlienShop,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,,1,3,Тбилиси,5 гр,0.0199,13981,5112,464,189,True,True,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
40,07-05-2020 03:35:09,Tbilisi,18SM,TBILICKI77,"SUBOQSIN ""DNK"" 8ML",,1,нет,Тбилиси,8 гр,0.0104,7397,2705,245,100,True,,,,,,,,,,,"SUBOQSIN ""DNK"" 8ML"
41,07-05-2020 03:35:09,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,3,нет,Тбилиси,10 гр,0.0207,14720,5383,488,199,True,,,,,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
42,07-05-2020 03:35:09,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0415,29515,10793,979,399,True,,,,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
43,07-05-2020 03:35:09,Tbilisi,PTO3,MeDuZa777,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%,,1,нет,Тбилиси,10 гр,0.0344,24411,8927,809,330,,True,,,,,,,,,,BANANA KUSH SUPER BUDS 10g TOP VHQ THC 28%
44,07-05-2020 03:35:09,Tbilisi,PTO3,MeDuZa777,THE BEST GAGARIN WEED 10g (TOP)(VHQ),,5,нет,Тбилиси,10 гр,0.0344,24411,8927,809,330,,True,,,,,,,,,,THE BEST GAGARIN WEED 10g (TOP)(VHQ)
45,07-05-2020 03:35:09,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.04,29589,10820,981,400,,True,,,,,,,,,,gashish evro 10g
46,07-05-2020 03:35:09,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),,4,нет,Тбилиси,20 гр,0.0395,28035,10252,930,379,,,,,,,True,True,,,,20 gr Indica marijuana buds (hight quality)
47,07-05-2020 03:35:09,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0776,57476,21018,1906,777,,True,,,,,,,,,,Gashish Evro 20gr
48,07-05-2020 03:35:09,Tbilisi,8B31,GEOWEEDSHOP,50 гр Марихуана шишки. ИНДИКА,,2,нет,Тбилиси,50 гр,0.0884,62802,22965,2082,849,True,,,,,,,,,,,50 gr Marihuana shishki. INDIKA
49,07-05-2020 03:35:09,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.1893,147944,54100,4905,2000,,True,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
50,07-05-2020 03:35:09,Tbilisi,8B31,GEOWEEDSHOP,100 гр Марихуана шишки. ИНДИКА. оптовая Цена,,1,нет,Тбилиси,100 гр,0.1717,121980,44605,4045,1649,True,,,,,,,,,,,100 gr Marihuana shishki. INDIKA. optovaja Tsena
51,07-05-2020 03:35:09,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.7 гр!!!",,нет,3,Тбилиси,0.7 гр,0.0109,7767,2840,258,105,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.7 gr!!!"
52,07-05-2020 03:35:09,Tbilisi,18FB,Mr.Green Tbilis,"""Kief"" Weed trichomes 1G",,нет,6,Тбилиси,1 гр,0.0167,11836,4328,392,160,,True,,,,,,,,,,"""Kief"" Weed trichomes 1G"
53,07-05-2020 03:35:09,Tbilisi,A3I9,Joookerrr,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",,нет,1,Тбилиси,1 гр,0.0141,9986,3652,331,135,,True,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
54,07-05-2020 03:35:09,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,нет,3,Тбилиси,2 гр,0.0221,15534,5681,515,210,,True,,,,,,,,,,✨✨2gram. MDMA✨✨
55,07-05-2020 03:35:09,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,5,Тбилиси,2 гр,0.0388,27296,9981,905,369,,True,,,,,,,,,,❄❄2g HQ COCAINE❄❄
56,07-05-2020 03:35:09,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,10,Тбилиси,3 гр,0.0609,42830,15662,1420,579,,True,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
57,07-05-2020 03:35:09,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0416,29589,10820,981,400,,True,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
58,07-05-2020 03:35:09,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0573,40685,14878,1349,550,,True,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
59,07-05-2020 03:35:09,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,10,Тбилиси,5 гр,0.0245,17383,6357,576,235,,True,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
60,07-05-2020 03:35:09,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,7,Тбилиси,5 гр,0.025,17753,6492,589,240,,True,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
61,07-05-2020 03:35:09,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,5 гр,0.0239,17014,6222,564,230,,True,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
62,07-05-2020 03:35:09,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,3,Тбилиси,5 гр,0.025,17753,6492,589,240,,True,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
63,07-05-2020 03:35:09,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,5,Тбилиси,5 гр,0.025,17753,6492,589,240,,True,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
64,07-05-2020 03:35:09,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.025,17753,6492,589,240,,True,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
65,07-05-2020 03:35:09,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,нет,10,Тбилиси,5 гр,0.025,17753,6492,589,240,,True,,,,,,,,,,5gr Stardawg Auto WEED BUDS
66,07-05-2020 03:35:09,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0239,17014,6222,564,230,,True,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
67,07-05-2020 03:35:09,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0207,16200,5924,537,219,,True,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
68,07-05-2020 03:35:09,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0245,17383,6357,576,235,,True,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
69,07-05-2020 03:35:59,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 5 Gr,,нет,1,Тбилиси,5 гр,0.0166,11836,4328,392,160,,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
70,07-05-2020 03:35:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2429,190000,87429,6289,,,True,,,,,,,,,,reagent 25i nbome. 5gr
71,07-05-2020 03:35:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2837,221916,81150,7358,3000,,,,,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
72,07-05-2020 03:35:59,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,9,Тбилиси,5 гр,0.1008,70939,25941,2352,959,,True,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
73,07-05-2020 03:35:59,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.02,14055,5140,466,190,,True,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
74,07-05-2020 03:35:59,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0514,36172,13227,1199,489,,True,,,,,,,,,,💘✨5g. MDMA ✨💘
75,07-05-2020 03:35:59,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,3,Тбилиси,5 гр,0.0199,13981,5112,464,189,,True,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
76,07-05-2020 03:35:59,Tbilisi,A3I9,Joookerrr,"""Джокер экспрес"" марки нбооом 8 шт",,нет,8,Тбилиси,8 гр,0.0083,5918,2164,196,80,,True,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
77,07-05-2020 03:35:59,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0936,66575,24345,2207,900,,True,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
78,07-05-2020 03:35:59,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0416,29589,10820,981,400,,True,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
79,07-05-2020 03:35:59,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,3,Тбилиси,10 гр,0.0728,51780,18935,1717,700,,True,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
80,07-05-2020 03:35:59,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0333,23671,8656,785,320,,True,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
81,07-05-2020 03:35:59,Tbilisi,18FB,Mr.Green Tbilis,10G Hybrid Marijuana Leafs,,нет,40,Тбилиси,10 гр,0.0104,7397,2705,245,100,,True,,,,,,,,,,10G Hybrid Marijuana Leafs
82,07-05-2020 03:35:59,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,4,Тбилиси,10 гр,0.0832,59178,21640,1962,800,,True,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
83,07-05-2020 03:35:59,Tbilisi,6P9R,RickNMorty,VHQ Jamaican Dream 19% Thc 10 Gr,,нет,1,Тбилиси,10 гр,0.0302,21452,7845,711,290,,True,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
84,07-05-2020 03:35:59,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2315,164587,60186,5457,2225,,True,,,,,,,,,,Amfetamin [White] [Import] 10G
85,07-05-2020 03:35:59,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1638,115322,42171,3824,1559,,True,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
86,07-05-2020 03:35:59,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0388,27296,9981,905,369,,True,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
87,07-05-2020 03:35:59,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5254,369860,135250,12264,5000,,True,,,,,,,,,,METADON - 20 G.
88,07-05-2020 03:35:59,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0629,44309,16203,1469,599,,True,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
89,07-05-2020 03:35:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1144,81369,29755,2698,1100,,True,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
90,07-05-2020 03:35:59,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2497,177533,64920,5886,2400,,True,,,,,,,,,,100 gr marijuana buds
91,07-05-2020 03:35:59,Tbilisi,PTO3,MeDuZa777,AKA-47 ONLY BUDS 100g TOP VHQ,,нет,1,Тбилиси,100 гр,0.3121,221916,81150,7358,3000,,True,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
92,07-05-2020 03:35:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2081,147944,54100,4905,2000,,True,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
93,07-05-2020 03:35:59,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2601,184930,67625,6132,2500,,True,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
94,07-05-2020 03:35:59,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6138,436434,159595,14471,5900,,True,,,,,,,,,,180 gr marihuana persoalno
95,07-05-2020 03:35:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4786,340271,124430,11282,4600,,True,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
96,07-05-2020 03:35:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7803,554789,202875,18395,7500,,True,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
97,07-05-2020 03:35:59,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8843,628761,229925,20848,8500,,True,,,,,,,,,,10000sht marki 25i-nbome. predoplata
98,07-05-2020 03:35:59,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0189,14794,5410,491,200,,True,,,,,,,,,,KURYER..500RUB.+BONUS
99,07-05-2020 03:35:59,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0208,14794,5410,491,200,,True,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
100,07-05-2020 03:35:59,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.026,18493,6763,613,250,,True,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
101,07-05-2020 03:35:59,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,1,Тбилиси,25 гр,0.0208,14794,5410,491,200,,True,,,,,,,,,,Rabota na marki (kur'er)
