,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,€,Nadzaladevi,Varketili,Didube,Old Tbilisi (Старый город),Дигоми,Saburtalo,Авлобари,Батуми,Центр,Кутаиси,desc_en
41,13-04-2020 22:07:25,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,1,нет,Тбилиси,10 гр,0.0105,6250,2316,210,85,,,,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
42,13-04-2020 22:07:25,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0523,29410,10900,990,400,,,,,,,,,,,,,gashish evro 10g
43,13-04-2020 22:07:25,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.1015,57129,21173,1923,777,,,,,,,,,,,,,Gashish Evro 20gr
44,13-04-2020 22:07:25,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2475,147049,54500,4950,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
45,13-04-2020 22:07:25,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.27 G.,True,нет,6,Тбилиси,0.27 гр,0.0312,16690,6186,562,227,,,,,,,,,,,,,METADON - 0.27 G.
46,13-04-2020 22:07:25,Tbilisi,U26MW,Skyhigh,"VHQ Cocaine Medelins Cartel 0,5 g SALE",,нет,3,Тбилиси,0.5 гр,0.0113,6103,2262,205,83,,,,,,,,True,,,,,"VHQ Cocaine Medelins Cartel 0,5 g SALE"
47,13-04-2020 22:07:25,Tbilisi,U26MW,Skyhigh,1 штука Ecstasy grey duracell 240 mg NEW!,,нет,4,Тбилиси,1 гр,0.005,2720,1008,92,37,,,,,,,,True,,,,,1 shtuka Ecstasy grey duracell 240 mg NEW!
48,13-04-2020 22:07:25,Tbilisi,U26MW,Skyhigh,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE,,нет,5,Тбилиси,1 гр,0.0071,3823,1417,129,52,,,,,,,,True,,,,,Candy FliP 1 piece 25i-NBOME 3mg + 1 piece ecstasy grey duracell 240mg SALE
49,13-04-2020 22:07:25,Tbilisi,Z5UFK,Vein,Cocaine Fishscale! Limited Quantity 1g. акция -20% при оплате бтк!!!,True,4,10,Тбилиси,1 гр,0.0402,26836,9946,903,365,,,,,,,,,,,,,Cocaine Fishscale! Limited Quantity 1g. aktsija -20% pri oplate btk!!!
50,13-04-2020 22:07:25,Tbilisi,U26MW,Skyhigh,Ketamine 0.5 + MDMA 0.5 Combo,,нет,1,Тбилиси,1 гр,0.0197,10661,3951,359,145,,,,,,,,True,,,,,Ketamine 0.5 + MDMA 0.5 Combo
51,13-04-2020 22:07:25,Tbilisi,A3I9,Joookerrr,Бупренорфин!!! Аналог суботекса!!! 1.5 грамма (порошок),True,нет,1,Тбилиси,1.5 гр,0.0203,12081,4470,406,,,150,,,,,,,,,,,Buprenorfin!!! Analog suboteksa!!! 1.5 gramma (poroshok)
52,13-04-2020 22:07:25,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,2,Тбилиси,2 гр,0.0507,27131,10055,913,369,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
53,13-04-2020 22:07:25,Tbilisi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Тбилиси,3 гр,0.0408,24263,8993,817,330,,,,,,,,True,,,,,Sk sinij kris ochen' sil'nyj 3gr
54,13-04-2020 22:07:25,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,3,Тбилиси,3 гр,0.0811,43379,16078,1460,590,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
55,13-04-2020 22:07:25,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0545,29410,10900,990,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
56,13-04-2020 22:07:25,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.0218,11764,4360,396,160,,,,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
57,13-04-2020 22:07:25,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0749,40438,14988,1361,550,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
58,13-04-2020 22:07:25,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0231,12499,4633,421,170,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
59,13-04-2020 22:07:25,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0271,14631,5423,493,199,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
60,13-04-2020 22:07:25,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0271,14631,5423,493,199,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
61,13-04-2020 22:07:25,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0271,16102,5968,542,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
62,13-04-2020 22:07:25,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0271,14631,5423,493,199,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
63,13-04-2020 22:07:25,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,True,нет,2,Тбилиси,5 гр,0.0474,28189,10430,947,,,350,,,,,,,,,,,MDMA 5 gr!!!
64,13-04-2020 22:07:25,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3198,190000,87429,6379,,,,,,,,,,,,,,reagent 25i nbome. 5gr
65,13-04-2020 22:07:25,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3712,220574,81750,7426,3000,,,,,,True,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
66,13-04-2020 22:07:25,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,2,Тбилиси,5 гр,0.1195,63893,23680,2151,869,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
67,13-04-2020 22:07:25,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0261,13970,5178,470,190,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
68,13-04-2020 22:08:08,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0673,35953,13325,1210,489,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
69,13-04-2020 22:08:08,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.026,13896,5150,468,189,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
70,13-04-2020 22:08:08,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1226,66172,24525,2228,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
71,13-04-2020 22:08:08,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0954,51467,19075,1733,700,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
72,13-04-2020 22:08:08,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0436,23528,8720,792,320,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
73,13-04-2020 22:08:08,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.109,58820,21800,1980,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
74,13-04-2020 22:08:08,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3032,163592,60631,5507,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
75,13-04-2020 22:08:08,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),True,5,3,Тбилиси,10 гр,0.0136,8054,2980,271,,,100,,,,,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
76,13-04-2020 22:08:08,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.1994,106537,39485,3587,1449,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
77,13-04-2020 22:08:08,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0508,27131,10055,913,369,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
78,13-04-2020 22:08:08,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0411,21984,8148,740,299,,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
79,13-04-2020 22:08:08,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,нет,6,Тбилиси,20 гр,0.0552,29777,11036,1002,405,,,,,,,,True,,,,,20 gr Indica marijuana buds (hight quality)
80,13-04-2020 22:08:08,Tbilisi,Z5UFK,Vein,Cocaine Fishscale 20g,True,нет,1,Тбилиси,20 гр,0.4468,241087,89353,8116,3279,,,,,,,,,,,,,Cocaine Fishscale 20g
81,13-04-2020 22:08:08,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0824,44041,16323,1483,599,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
82,13-04-2020 22:08:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1499,80877,29975,2723,1100,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
83,13-04-2020 22:08:08,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.327,176459,65400,5940,2400,,,,,,,,,,,,,100 gr marijuana buds
84,13-04-2020 22:08:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2725,147049,54500,4950,2000,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
85,13-04-2020 22:08:08,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,True,1,1,Тбилиси,100 гр,0.2752,147049,54500,4950,2000,,,,,,,,,,,,,SUBOXIN - HQ - 100 G.
86,13-04-2020 22:08:08,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3406,183811,68125,6188,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
87,13-04-2020 22:08:08,Tbilisi,8B31,GEOWEEDSHOP,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,2,Тбилиси,200 гр,0.4292,231602,85838,7797,3150,,,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
88,13-04-2020 22:08:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6268,338213,125350,11386,4600,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
89,13-04-2020 22:08:08,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0219,551434,204375,18564,7500,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
90,13-04-2020 22:08:08,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1582,624958,231625,21039,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
91,13-04-2020 22:08:08,Tbilisi,LGRP8,Walker12,!!!Вызиваем опитного курера в команду !!!.,True,1,нет,Тбилиси,1 гр,0.0124,7000,3221,235,,,,,,,,,,,,,,!!!Vyzivaem opitnogo kurera v komandu !!!.
92,13-04-2020 22:08:08,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0248,14705,5450,495,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
93,13-04-2020 22:08:08,Tbilisi,U26MW,Skyhigh,Ищу Курьер с минимальним залогом только марихуана,True,1,нет,Тбилиси,1 гр,0.0164,8823,3270,297,120,,,,,,,,,,,,,Ischu Kur'er s minimal'nim zalogom tol'ko marihuana
94,13-04-2020 22:08:08,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0273,14705,5450,495,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
95,13-04-2020 22:08:08,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0341,18381,6813,619,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
96,13-04-2020 22:08:08,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.0624,1102868,408750,37128,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
97,13-04-2020 22:09:38,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3011,161754,59950,5445,2200,,,,,,,,,,True,,,[100g] SPAIN HASH
98,13-04-2020 22:09:38,Batumi,F1CR,PvPalpha,Ск синий крис очень сильный 3гр,,нет,3,Батуми,3 гр,0.0411,24263,8993,817,330,,,,,,,,,,,True,,Sk sinij kris ochen' sil'nyj 3gr
99,13-04-2020 22:09:38,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2765,147049,54500,4950,2000,,,,,,,,,,True,,,SUBOXIN - HQ - 100 G.
100,13-04-2020 22:09:38,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0124,7352,2725,248,100,,,,,,,,,,True,,,kur'er v Batumi
101,13-04-2020 22:09:38,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0311,18381,6813,619,250,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
102,13-04-2020 22:09:38,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0311,18381,6813,619,250,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
