,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Zahesi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
12,12,01-07-2020 07:22:13,Tbilisi,64284550d9,1G ---> Pineapple (BTC - Sale),True,6,нет,Тбилиси,1 гр,0.0052,3522,1338,121,50.0,,,,,,,,,,1G ---> Pineapple (BTC - Sale)
13,13,01-07-2020 07:22:13,Tbilisi,f374062dcd,Кокаин Перу HD 1гр,True,2,нет,Тбилиси,1 гр,0.021,15497,5885,531,220.0,,,,,,,,,,Kokain Peru HD 1gr
14,14,01-07-2020 07:22:13,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,True,1,нет,Тбилиси,1 гр,0.0264,17540,6661,601,249.0,,,,,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
15,15,01-07-2020 07:22:13,Tbilisi,4a91350669,2 Amnesia Haze марихуана шишки тгк 25%,,2,нет,Тбилиси,2 гр,0.0104,6974,2648,239,99.0,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
16,16,01-07-2020 07:22:13,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0114,7678,2916,263,109.0,True,,,,,,,,,2 G Hybrid Marijuana Buds
17,17,01-07-2020 07:22:13,Tbilisi,eb7e03535b,Cocaine Pure VHQ 2 g,True,2,нет,Тбилиси,2 гр,0.0523,35150,13348,1204,499.0,,,,,,,,,,Cocaine Pure VHQ 2 g
18,18,01-07-2020 07:22:13,Tbilisi,4b4cde4fad,Iranian Black Heroin Old WHQ Не сырец 2.g. ПОДЪЕЗД,True,1,нет,Тбилиси,2 гр,0.0398,26768,10165,917,380.0,,,,,,,,,,Iranian Black Heroin Old WHQ Ne syrets 2.g. POD'EZD
19,19,01-07-2020 07:22:13,Tbilisi,54915c4374,марки н-боом 2 шт.,,2,нет,Тбилиси,2 гр,0.0037,2465,936,84,35.0,True,,,,,,,,,marki n-boom 2 sht.
20,20,01-07-2020 07:22:13,Tbilisi,aeb8abccb9,🍁 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0089,5988,2274,205,85.0,True,,,,,,,,,🍁 2gr Hybrid Weed Indica Buds VHQ ❤
21,21,01-07-2020 07:22:13,Tbilisi,0dec0e1c48,3 gr georgian weed. Package on magnet,True,15,нет,Тбилиси,3 гр,0.0091,6128,2327,210,87.0,,,,True,,,,,,3 gr georgian weed. Package on magnet
22,22,01-07-2020 07:22:13,Tbilisi,f374062dcd,Weed Сорт Purple 3гр,True,1,нет,Тбилиси,3 гр,0.008,5917,2247,203,84.0,,,,,,,,,,Weed Sort Purple 3gr
23,23,01-07-2020 07:22:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 4 шт. вес таблетки 450mg,True,2,нет,Тбилиси,4 гр,0.0112,7537,2862,258,107.0,,,,,,,,,,Extasy GUCCI 4 sht. ves tabletki 450mg
24,24,01-07-2020 07:22:13,Tbilisi,7bd1a5deba,5 + GRAMM NEW BEASTWEED,True,2,нет,Тбилиси,5 гр,0.01,7396,2809,253,105.0,,,,,,,,,,5 + GRAMM NEW BEASTWEED
25,25,01-07-2020 07:22:13,Tbilisi,e56bb6ca93,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,5,нет,Тбилиси,5 гр,0.0073,4860,1846,166,69.0,,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,26,01-07-2020 07:22:13,Tbilisi,d04eeb6525,5г. GEO Марихуана бошки,True,7,нет,Тбилиси,5 гр,0.0142,10496,3986,359,149.0,,,,,,,,,,5g. GEO Marihuana boshki
27,27,01-07-2020 07:22:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,True,10,нет,Тбилиси,5 гр,0.0052,3874,1471,133,55.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
28,28,01-07-2020 07:22:13,Tbilisi,54915c4374,марки н-боом 5шт.,True,3,9,Тбилиси,5 гр,0.0068,4579,1739,157,65.0,True,,,,,,,,,marki n-boom 5sht.
29,29,01-07-2020 07:22:13,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,True,6,нет,Тбилиси,10 гр,0.025,16835,6393,577,239.0,,,,,,,,,,10 gr georgian weed. Package on magnet
30,30,01-07-2020 07:22:13,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,11,нет,Тбилиси,10 гр,0.0136,9087,3451,311,129.0,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
31,31,01-07-2020 07:22:13,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,3,нет,Тбилиси,10 гр,0.0457,31699,12038,1086,450.0,,,,,,,,,,Gashish Evro 10gr
32,32,01-07-2020 07:22:13,Tbilisi,54915c4374,Марки н-боом 10 шт.,True,5,7,Тбилиси,10 гр,0.0105,7044,2675,241,100.0,True,,,,,,,,,Marki n-boom 10 sht.
33,33,01-07-2020 07:22:13,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,True,7,нет,Тбилиси,10 гр,0.0081,5988,2274,205,85.0,,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
34,34,01-07-2020 07:22:13,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,3,нет,Тбилиси,10 гр,0.0091,6692,2541,229,95.0,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
35,35,01-07-2020 07:23:59,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0476,35221,13375,1206,500.0,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
36,36,01-07-2020 07:23:59,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4579,1739,157,65.0,,,,,,,,,,Silver haze leaves list'ja 15gr sale
37,37,01-07-2020 07:23:59,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0348,25711,9764,880,365.0,,,,,,,,,,25 GGAMM NEW BEASTWEED
38,38,01-07-2020 07:23:59,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2115,140883,53500,4825,2000.0,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,39,01-07-2020 07:23:59,Tbilisi,54915c4374,"Extazzy ""Gucci"" VHQ (1 штука)",True,нет,2,Тбилиси,1 гр,0.0046,3099,1177,106,44.0,,,,,,,,,,"Extazzy ""Gucci"" VHQ (1 shtuka)"
40,40,01-07-2020 07:23:59,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 1г.,,нет,5,Тбилиси,1 гр,0.0061,4086,1552,140,58.0,True,,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 1g.
41,41,01-07-2020 07:23:59,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",True,нет,9,Тбилиси,2 гр,0.0094,6340,2408,217,90.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
42,42,01-07-2020 07:23:59,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,10,Тбилиси,2 гр,0.0528,35150,13348,1204,499.0,,,,,,,,,,❄❄2g HQ COCAINE❄❄
43,43,01-07-2020 07:23:59,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),True,нет,9,Тбилиси,2.2 гр,0.0088,5924,2254,203,,,,,,75.0,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
44,44,01-07-2020 07:23:59,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,6,Тбилиси,3 гр,0.0126,8453,3210,289,120.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
45,45,01-07-2020 07:23:59,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,20,Тбилиси,3 гр,0.0794,52831,20063,1809,750.0,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
46,46,01-07-2020 07:23:59,Tbilisi,dd631c4acf,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲,True,нет,3,Тбилиси,3 гр,0.0127,8453,3210,289,120.0,,,,,,,,,,🚲🎉🚲 3.Pacco Rabanne 300mdma ecstasy 🚲🎉🚲
47,47,01-07-2020 07:23:59,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,6,Тбилиси,4 гр,0.0419,28177,10700,965,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
48,48,01-07-2020 07:23:59,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),True,нет,9,Тбилиси,4 гр,0.0126,8453,3210,289,120.0,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
49,49,01-07-2020 07:23:59,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0262,17610,6688,603,250.0,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
50,50,01-07-2020 07:23:59,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0576,38743,14713,1327,550.0,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
51,51,01-07-2020 07:23:59,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0283,19019,7223,651,270.0,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
52,52,01-07-2020 07:23:59,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0293,19724,7490,675,280.0,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
53,53,01-07-2020 07:23:59,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0288,19371,7356,663,275.0,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
54,54,01-07-2020 07:23:59,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0252,16906,6420,579,240.0,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
55,55,01-07-2020 07:23:59,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0293,19724,7490,675,280.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
56,56,01-07-2020 07:23:59,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0283,19019,7223,651,270.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
57,57,01-07-2020 07:23:59,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,15427,5858,528,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
58,58,01-07-2020 07:23:59,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,7,Тбилиси,5 гр,0.0183,12327,4681,422,175.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
59,59,01-07-2020 07:23:59,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0283,19019,7223,651,270.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
60,60,01-07-2020 07:23:59,Tbilisi,54915c4374,Геройн (сирец) 5 гр,True,нет,2,Тбилиси,5 гр,0.1572,105662,40125,3618,1500.0,,,,,,,,,,Gerojn (sirets) 5 gr
61,61,01-07-2020 07:23:59,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.257,190000,87429,6502,,,,,,,,,,,reagent 25i nbome. 5gr
62,62,01-07-2020 07:23:59,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2858,211324,80250,7237,3000.0,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
63,63,01-07-2020 07:23:59,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,7,Тбилиси,5 гр,0.1322,87981,33411,3013,1249.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
64,64,01-07-2020 07:23:59,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,14,Тбилиси,5 гр,0.0212,14088,5350,482,200.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
65,65,01-07-2020 07:23:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0943,63397,24075,2171,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
66,66,01-07-2020 07:23:59,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0576,38743,14713,1327,550.0,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
67,67,01-07-2020 07:23:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0734,49309,18725,1689,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
68,68,01-07-2020 07:23:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044000000000000004,29585,11235,1013,420.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,69,01-07-2020 07:25:26,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0838,56353,21400,1930,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,70,01-07-2020 07:25:26,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,10,Тбилиси,10 гр,0.0346,23246,8828,796,330.0,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
71,71,01-07-2020 07:25:26,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2332,156732,59519,5367,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
72,72,01-07-2020 07:25:26,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,True,нет,2,Тбилиси,10 гр,0.2305,154971,58850,5307,2200.0,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
73,73,01-07-2020 07:25:26,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.2645,176033,66848,6028,2499.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,74,01-07-2020 07:25:26,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,15,Тбилиси,10 гр,0.0423,28177,10700,965,400.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,75,01-07-2020 07:25:26,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0462,30807,11720,1056,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
76,76,01-07-2020 07:25:26,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,20,Тбилиси,20 гр,0.0847,56353,21400,1930,800.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,77,01-07-2020 07:25:26,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2515,169059,64200,5790,2400.0,,,,,,,,,,100 gr marijuana buds
78,78,01-07-2020 07:25:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2096,140883,53500,4825,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,79,01-07-2020 07:25:26,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.262,176103,66875,6031,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,01-07-2020 07:25:26,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6183,415604,157825,14233,5900.0,,,,,,,,,,180 gr marihuana persoalno
81,81,01-07-2020 07:25:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.48200000000000004,324030,123050,11097,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,82,01-07-2020 07:25:26,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7859,528310,200625,18092,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,83,01-07-2020 07:25:26,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8907,598751,227375,20505,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,01-07-2020 07:25:26,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14088,5350,482,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,01-07-2020 07:25:26,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.021,14088,5350,482,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
86,86,01-07-2020 07:25:26,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0262,17610,6688,603,250.0,,,,,,,,,,Rabota na marki (kur'er)
87,87,01-07-2020 07:25:26,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5862,1056620,401250,36185,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
88,88,01-07-2020 07:28:36,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 1г,,1,нет,Батуми,1 гр,0.0063,4226,1605,145,60.0,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 1g
89,89,01-07-2020 07:28:36,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,25,нет,Батуми,2 гр,0.0113,7504,2855,257,,,,,,95.0,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
90,90,01-07-2020 07:28:36,Batumi,3c4662c591,Super Critical 10G,,4,нет,Батуми,10 гр,0.0472,31699,12038,1086,450.0,,,,,,,,,True,Super Critical 10G
91,91,01-07-2020 07:28:36,Batumi,f8a875c191,METADON - 0.25 - SALE,,3,10,Батуми,0.25 гр,0.0265,17610,6688,603,250.0,,,,,,,,True,,METADON - 0.25 - SALE
92,92,01-07-2020 07:28:36,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1572,105662,40125,3618,1500.0,,,,,,,,True,,Gerojn (sirets) 5 gr
93,93,01-07-2020 07:28:36,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.2306,154971,58850,5307,2200.0,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
94,94,01-07-2020 07:28:36,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0498,33177,12621,1137,,,,,,420.0,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
95,95,01-07-2020 07:28:36,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1681,112990,51992,3867,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
96,96,01-07-2020 07:28:36,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2662,178900,82321,6123,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
97,97,01-07-2020 07:28:36,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0095,7044,2675,241,100.0,,,,,,,,True,,kur'er v Batumi
98,98,01-07-2020 07:28:36,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0238,17610,6688,603,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,99,01-07-2020 07:28:36,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0238,17610,6688,603,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
100,100,01-07-2020 07:28:36,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.021,14088,5350,482,200.0,,,,,,,,True,,Kur'er Batumi na marihuanu
101,101,01-07-2020 07:28:36,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5864,1056620,401250,36185,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
102,102,01-07-2020 07:28:36,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0524,35221,13375,1206,500.0,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
