,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Gldani,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
49,49,21-05-2020 16:52:52,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0301,20568,7818,699,290.0,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
50,50,21-05-2020 16:52:52,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2307,157806,59986,5359,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
51,51,21-05-2020 16:52:52,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1633,110571,42031,3755,1559.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
52,52,21-05-2020 16:52:52,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0387,26171,9948,889,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
53,53,21-05-2020 16:52:52,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.033,22341,8492,759,315.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
54,54,21-05-2020 16:52:52,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5237,354620,134800,12044,5000.0,,,,,,,,,,METADON - 20 G.
55,55,21-05-2020 16:52:52,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0627,42483,16149,1443,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,56,21-05-2020 16:52:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1141,78016,29656,2650,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
57,57,21-05-2020 16:52:52,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2489,170218,64704,5781,2400.0,,,,,,,,,,100 gr marijuana buds
58,58,21-05-2020 16:52:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2074,141848,53920,4817,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,59,21-05-2020 16:52:52,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2593,177310,67400,6022,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,60,21-05-2020 16:52:52,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6119,418452,159064,14211,5900.0,,,,,,,,,,180 gr marihuana persoalno
61,61,21-05-2020 16:52:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.47700000000000004,326250,124016,11080,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,62,21-05-2020 16:52:52,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7778,531930,202200,18065,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
63,63,21-05-2020 16:52:52,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8815,602854,229160,20474,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,64,21-05-2020 16:52:52,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0189,14185,5392,482,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
65,65,21-05-2020 16:52:52,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0415,28370,10784,963,400.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
66,66,21-05-2020 16:52:52,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,14185,5392,482,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,67,21-05-2020 16:52:52,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0259,17731,6740,602,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,68,21-05-2020 16:52:52,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5697,1063860,404400,36131,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
69,69,21-05-2020 16:53:26,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5752,1063860,404400,36131,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
70,70,21-05-2020 16:54:56,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,9,нет,Батуми,0.5 гр,0.0062,4255,1618,145,60.0,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
71,71,21-05-2020 16:54:56,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,3,нет,Батуми,1 гр,0.0108,7447,2831,253,105.0,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
72,72,21-05-2020 16:54:56,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2282,156033,59312,5299,2200.0,,,,,,,True,,,[100g] SPAIN HASH
73,73,21-05-2020 16:54:56,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0038,2567,977,87,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
74,74,21-05-2020 16:54:56,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0415,28370,10784,963,400.0,,,,,,,True,,,MDMA !! 3 gramma
75,75,21-05-2020 16:54:56,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1652,112990,51992,3765,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,76,21-05-2020 16:54:56,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2616,178900,82321,5961,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,77,21-05-2020 16:54:56,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,7092,2696,241,100.0,,,,,,,True,,,kur'er v Batumi
78,78,21-05-2020 16:54:56,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0236,17731,6740,602,250.0,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,79,21-05-2020 16:54:56,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0236,17731,6740,602,250.0,,,,,,,True,,,Ischu kur'era v Gruzii!
80,80,21-05-2020 16:54:56,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5697,1063860,404400,36131,15000.0,,,,,,,True,,,Vakansija optovogo kur'era na mef
81,81,21-05-2020 16:54:56,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0519,35462,13480,1204,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,82,21-05-2020 16:56:24,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0498,34398,13076,1168,485.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,21-05-2020 16:56:24,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.038,26242,9975,891,370.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,21-05-2020 16:56:24,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0207,14185,5392,482,200.0,,,,,,,,,True,Rabota na marki (kur'er)
