,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,10-05-2020 19:00:40,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.0911,66485,24399,2197,900.0,,,,,,,,Metadon 1gr
11,11,10-05-2020 19:00:40,Tbilisi,dd631c4acf,☃️❄1g. New Columbian COCAINE!!❄☃️,,2,нет,Тбилиси,1 гр,0.0269,17656,6479,584,239.0,,True,,,,,,☃️❄1g. New Columbian COCAINE!!❄☃️
12,12,10-05-2020 19:00:40,Tbilisi,366326d4d6,2 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,2 гр,0.01,6575,2413,217,89.0,,,,,,,,2 ECSTASY << PACO RABANNE >>
13,13,10-05-2020 19:00:40,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,2,нет,Тбилиси,2 гр,0.0111,7387,2711,244,100.0,,,,,,,,2 G Hybrid Marijuana Buds
14,14,10-05-2020 19:00:40,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,4,нет,Тбилиси,2 гр,0.0079,5171,1898,171,70.0,,,,,,,,2x Extasy Duracell 223mg MDMA.
15,15,10-05-2020 19:00:40,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 2G,,1,нет,Тбилиси,2 гр,0.0109,7240,2657,239,98.0,True,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 2G
16,16,10-05-2020 19:00:40,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0095,6279,2304,208,85.0,True,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
17,17,10-05-2020 19:00:40,Tbilisi,366326d4d6,3 ECSTASY << PACO RABANNE >>,True,1,нет,Тбилиси,3 гр,0.0134,8791,3226,291,119.0,,,,,,,,3 ECSTASY << PACO RABANNE >>
18,18,10-05-2020 19:00:40,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,11,нет,Тбилиси,3 гр,0.0145,9603,3524,317,130.0,,,,,,,,3 G Hybrid Marijuana Big Buds
19,19,10-05-2020 19:00:40,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0118,7757,2847,256,105.0,,,,,,,,3x Extasy Duracell 223mg MDMA
20,20,10-05-2020 19:00:40,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0342,23639,8675,781,320.0,,,,,,,,"5 Grm MDMA , Purity A +++"
21,21,10-05-2020 19:00:40,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),True,1,нет,Тбилиси,5 гр,0.0133,8791,3226,291,119.0,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
22,22,10-05-2020 19:00:40,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0428,29549,10844,977,400.0,,,,,,,,gashish evro 10g
23,23,10-05-2020 19:00:40,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.083,57399,21064,1897,777.0,,,,,,,,Gashish Evro 20gr
24,24,10-05-2020 19:00:40,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2025,147745,54220,4883,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
25,25,10-05-2020 19:00:40,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,6,Тбилиси,1 гр,0.0178,11820,4338,391,160.0,,,,,,,,"""Kief"" Weed trichomes 1G"
26,26,10-05-2020 19:00:40,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,3,Тбилиси,2 гр,0.0236,15513,5693,513,210.0,,,,,,,,✨✨2gram. MDMA✨✨
27,27,10-05-2020 19:00:40,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,5,Тбилиси,2 гр,0.0415,27259,10004,901,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
28,28,10-05-2020 19:00:40,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,9,Тбилиси,3 гр,0.0651,42772,15697,1414,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
29,29,10-05-2020 19:00:40,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0446,29549,10844,977,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
30,30,10-05-2020 19:00:40,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0613,40630,14911,1343,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
31,31,10-05-2020 19:00:40,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0262,17360,6371,574,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
32,32,10-05-2020 19:00:40,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0267,17729,6506,586,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
33,33,10-05-2020 19:00:41,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0256,16991,6235,562,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
34,34,10-05-2020 19:01:42,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0256,16991,6235,562,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
35,35,10-05-2020 19:01:42,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0267,17729,6506,586,240.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
36,36,10-05-2020 19:01:42,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0267,17729,6506,586,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
37,37,10-05-2020 19:01:42,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0267,17729,6506,586,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,38,10-05-2020 19:01:42,Tbilisi,bb1791277e,5gr Stardawg Auto WEED BUDS,True,нет,10,Тбилиси,5 гр,0.0267,17729,6506,586,240.0,,,,,,,,5gr Stardawg Auto WEED BUDS
39,39,10-05-2020 19:01:42,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0256,16991,6235,562,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
40,40,10-05-2020 19:01:42,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0222,16178,5937,535,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
41,41,10-05-2020 19:01:42,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0262,17360,6371,574,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
42,42,10-05-2020 19:01:42,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0178,11820,4338,391,160.0,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
43,43,10-05-2020 19:01:42,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2602,190000,87429,6279,,,,,,,,,reagent 25i nbome. 5gr
44,44,10-05-2020 19:01:42,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.3035,221618,81330,7325,3000.0,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
45,45,10-05-2020 19:01:42,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1078,70844,25998,2341,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
46,46,10-05-2020 19:01:42,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,1,Тбилиси,5 гр,0.0212,13962,5124,461,189.0,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
47,47,10-05-2020 19:01:42,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0214,14036,5151,464,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
48,48,10-05-2020 19:01:42,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.055,36124,13257,1194,489.0,,,,,,,,💘✨5g. MDMA ✨💘
49,49,10-05-2020 19:01:42,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0212,13962,5124,461,189.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
50,50,10-05-2020 19:01:42,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1002,66485,24399,2197,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
51,51,10-05-2020 19:01:42,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0445,29549,10844,977,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
52,52,10-05-2020 19:01:42,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0779,51711,18977,1709,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
53,53,10-05-2020 19:01:42,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0467,31026,11386,1025,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
54,54,10-05-2020 19:01:42,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0111,7387,2711,244,100.0,,,,,,,,10G Hybrid Marijuana Leafs
55,55,10-05-2020 19:01:42,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.08900000000000001,59098,21688,1953,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
56,56,10-05-2020 19:01:42,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0323,21423,7862,708,290.0,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
57,57,10-05-2020 19:01:42,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2476,164366,60320,5432,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
58,58,10-05-2020 19:01:42,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1753,115167,42264,3806,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
59,59,10-05-2020 19:01:42,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0415,27259,10004,901,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
60,60,10-05-2020 19:01:42,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5621,369363,135550,12208,5000.0,,,,,,,,METADON - 20 G.
61,61,10-05-2020 19:01:42,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0673,44250,16239,1462,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
62,62,10-05-2020 19:01:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1224,81260,29821,2686,1100.0,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
63,63,10-05-2020 19:01:42,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2671,177294,65064,5860,2400.0,,,,,,,,100 gr marijuana buds
64,64,10-05-2020 19:01:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2226,147745,54220,4883,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,10-05-2020 19:01:42,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2782,184681,67775,6104,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,10-05-2020 19:01:42,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6567,435848,159949,14405,5900.0,,,,,,,,180 gr marihuana persoalno
67,67,10-05-2020 19:01:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.512,339814,124706,11231,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
68,68,10-05-2020 19:01:42,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8347,554044,203325,18311,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
69,69,10-05-2020 19:02:46,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0223,14775,5422,488,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
70,70,10-05-2020 19:02:46,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0279,18468,6778,610,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
71,71,10-05-2020 19:02:46,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6881,1108088,406650,36623,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
72,72,10-05-2020 19:04:26,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2469,162520,59642,5371,2200.0,,,,,True,,,[100g] SPAIN HASH
73,73,10-05-2020 19:04:26,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",,нет,7,Батуми,8 гр,0.009000000000000001,5910,2169,195,80.0,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
74,74,10-05-2020 19:04:26,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1716,112990,51992,3734,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,75,10-05-2020 19:04:26,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2718,178900,82321,5912,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,76,10-05-2020 19:04:26,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0102,7387,2711,244,100.0,,,,,True,,,kur'er v Batumi
77,77,10-05-2020 19:04:26,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0255,18468,6778,610,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
78,78,10-05-2020 19:04:26,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0255,18468,6778,610,250.0,,,,,True,,,Ischu kur'era v Gruzii!
79,79,10-05-2020 19:04:26,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6986,1108088,406650,36623,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
80,80,10-05-2020 19:04:26,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0561,36936,13555,1221,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
81,81,10-05-2020 19:05:57,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,2,нет,Кутаиси,1.5 гр,0.0208,13666,5015,452,185.0,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
82,82,10-05-2020 19:05:57,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,6,нет,Кутаиси,2 гр,0.0544,35828,13148,1184,485.0,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
83,83,10-05-2020 19:05:57,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!,,9,нет,Кутаиси,3 гр,0.037000000000000005,24378,8946,806,330.0,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!SALE ONLY 3 DAY!!!!
84,84,10-05-2020 19:05:57,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0224,14775,5422,488,200.0,,,,,,,True,Rabota na marki (kur'er)
