,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Nadzaladevi,Old Tbilisi (Старый город),€,Saburtalo,Дигоми,Didube,Vake,Авлобари,Varketili,Батуми,Центр,Кутаиси,desc_en
12,14-07-2020 17:28:11,Tbilisi,ABOAB,ProGrow,1G ---> Big Devil (BTC - Sale),True,11,нет,Тбилиси,1 гр,0.0058,3912,1502,133,55,,,,,,,,,,,,,1G ---> Big Devil (BTC - Sale)
13,14-07-2020 17:28:11,Tbilisi,7LHWP,GEOBUDS,1gr HYBRID o.g,True,12,нет,Тбилиси,1 гр,0.0051,3485,1338,119,49,,,,,,,,,,,,,1gr HYBRID o.g
14,14-07-2020 17:28:11,Tbilisi,BB6E,WEEDSH0P,1гр new!! OG kush марихуана BUDS 23% thc если платите с бтк скидка 10% 49реално !,True,3,нет,Тбилиси,1 гр,0.0063,4268,1638,145,60,,,,,,,,,,,,,1gr new!! OG kush marihuana BUDS 23% thc esli platite s btk skidka 10% 49realno !
15,14-07-2020 17:28:11,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",True,1,нет,Тбилиси,1 гр,0.0052,3912,1502,133,55,,,,,,,,,,,,,"Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
16,14-07-2020 17:28:11,Tbilisi,QVK5,Galiak,Gorilla Glue 1G Super strong weed LIMITED,,1,нет,Тбилиси,1 гр,0.0063,4268,1638,145,60,,,,,True,,,,,,,,Gorilla Glue 1G Super strong weed LIMITED
17,14-07-2020 17:28:11,Tbilisi,X4ZM,ZYX,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !,True,2,нет,Тбилиси,1 гр,0.0061,4125,1583,140,58,,,,,,,,,,,,,NEW ! Auto Opium ! NEW ! BUDS ! 1G VHQ !
18,14-07-2020 17:28:11,Tbilisi,X4ZM,ZYX,NEW ! Super Critical ! NEW ! BUDS ! 1G,True,1,нет,Тбилиси,1 гр,0.0058,3912,1502,133,55,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! BUDS ! 1G
19,14-07-2020 17:28:11,Tbilisi,GYO,Hakeem,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0052,3912,1502,133,55,,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
20,14-07-2020 17:28:11,Tbilisi,I7IU,MrPickless,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,4,нет,Тбилиси,1 гр,0.005,3556,1365,121,50,,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
21,14-07-2020 17:28:11,Tbilisi,QVK5,Galiak,уро / Hammer 1G 100% Center Buds! центровки !! LIMITED,,3,нет,Тбилиси,1 гр,0.0073,4979,1911,169,70,,True,,,,,,,,,,,uro / Hammer 1G 100% Center Buds! tsentrovki !! LIMITED
22,14-07-2020 17:28:11,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️,True,4,нет,Тбилиси,1 гр,0.0072,4837,1858,164,,,,60,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 1g 🍭☄🧞‍♀️
23,14-07-2020 17:28:11,Tbilisi,18FB,Mr.Green Tbilis,2 G Hybrid Marijuana Buds,,3,нет,Тбилиси,2 гр,0.0114,7753,2976,264,109,,,,True,,,,,,,,,2 G Hybrid Marijuana Buds
24,14-07-2020 17:28:11,Tbilisi,BB6E,WEEDSH0P,"2 g Super Lemon Haze auto , марихуана BUDS thc 25% если платите с бтк скидка .5%",True,1,нет,Тбилиси,2 гр,0.0115,7824,3003,266,110,,,,,,,,,,,,,"2 g Super Lemon Haze auto , marihuana BUDS thc 25% esli platite s btk skidka .5%"
25,14-07-2020 17:28:11,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,8,нет,Тбилиси,2 гр,0.0126,8535,3276,290,120,,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
26,14-07-2020 17:28:11,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,True,2,нет,Тбилиси,2 гр,0.0126,8535,3276,290,120,,,,,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
27,14-07-2020 17:28:11,Tbilisi,SF03,CRAZYFROG,2 gr top buds white widow wишки THC 25% VHQ,True,3,нет,Тбилиси,2 гр,0.0115,7824,3003,266,110,,,,,,,,,,,,,2 gr top buds white widow wishki THC 25% VHQ
28,14-07-2020 17:28:11,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0126,8535,3276,290,120,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,14-07-2020 17:28:11,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.0105,7113,2730,242,100,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
30,14-07-2020 17:28:11,Tbilisi,3Y9,HIGHTHC,2 г Skunk #1 марихуана шишки тгк 29% VHQ,True,2,нет,Тбилиси,2 гр,0.0105,7113,2730,242,100,,,,,,,,,,,,,2 g Skunk #1 marihuana shishki tgk 29% VHQ
31,14-07-2020 17:28:11,Tbilisi,XUYA,MRweed,"Amnesia Haze (photoperiod, regular) 2 гр. Спокойно, Надёжно, Качественно.",,7,нет,Тбилиси,2 гр,0.0105,7824,3003,266,110,,,,,True,True,,,,,,,"Amnesia Haze (photoperiod, regular) 2 gr. Spokojno, Nadezhno, Kachestvenno."
32,14-07-2020 17:28:11,Tbilisi,BB6E,WEEDSH0P,Crystal METH 2gr Auto марихуана BUDS ! 15% pay bitcoin discount !,True,3,нет,Тбилиси,2 гр,0.0126,8535,3276,290,120,,,,,,,,,,,,,Crystal METH 2gr Auto marihuana BUDS ! 15% pay bitcoin discount !
33,14-07-2020 17:28:11,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 2gram,True,4,нет,Тбилиси,2 гр,0.009,6757,2594,230,95,,,,,,,,,,,,,Northern Lights Regular [budsonly] 2gram
34,14-07-2020 17:28:11,Tbilisi,9R7SU,ClownBaroN,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE,,2,нет,Тбилиси,2.2 гр,0.0112,7611,2921,259,107,,,,True,,,,,,,,,2.2G Peppermint Kush ( 26% ^THC^VHQ) FROM EUROPE
35,14-07-2020 17:29:04,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,True,2,нет,Тбилиси,5 гр,0.0272,18493,7098,629,260,,,,,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
36,14-07-2020 17:29:04,Tbilisi,03F3,geoshop,5 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,2,нет,Тбилиси,5 гр,0.0283,19204,7371,653,270,,,,,,,,,,,,,5 marijuana BUDS northen lights 24% THC ShIShKI!!!
37,14-07-2020 17:29:04,Tbilisi,3TGJ9,Elegant,5g. марихуана шишки Critical,True,2,нет,Тбилиси,5 гр,0.0186,13870,5324,472,195,,,,,,,,,,,,,5g. marihuana shishki Critical
38,14-07-2020 17:29:04,Tbilisi,7U9YP,ChitosPizz,Гашиш Твердый 5гр,True,2,нет,Тбилиси,5 гр,0.0181,13514,5187,460,190,,,,,,,,,,,,,Gashish Tverdyj 5gr
39,14-07-2020 17:29:04,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,2,нет,Тбилиси,5 гр,0.021,14226,5460,484,200,,,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
40,14-07-2020 17:29:04,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0457,32007,12285,1088,450,,,,,,,,,,,,,Gashish Evro 10gr
41,14-07-2020 17:29:04,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,1,нет,Тбилиси,11 гр,0.0171,12803,4914,435,180,,,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
42,14-07-2020 17:29:04,Tbilisi,3TGJ9,Elegant,12g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0314,23472,9009,798,330,,,,,,,,,,,,,12g. marihuana shishki Critical
43,14-07-2020 17:29:04,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4623,1775,157,65,,,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
44,14-07-2020 17:29:04,Tbilisi,HWUW,opiopi,GABAGAMA 40 SHTUK,True,1,нет,Тбилиси,40 гр,0.0052,3556,1365,121,50,,,,,,,,,,,,,GABAGAMA 40 SHTUK
45,14-07-2020 17:29:04,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2115,142255,54600,4837,2000,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
46,14-07-2020 17:29:04,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,4,Тбилиси,1 гр,0.0372,24993,9598,849,,,,310,,,,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
47,14-07-2020 17:29:04,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭,True,нет,10,Тбилиси,2 гр,0.0231,15648,6006,532,220,,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 2G🍭🍭🍭
48,14-07-2020 17:29:04,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gram,True,нет,10,Тбилиси,3 гр,0.0143,10669,4095,363,150,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gram
49,14-07-2020 17:29:04,Tbilisi,7U9YP,ChitosPizz,Кристаллы Синие мощные 3гр,True,нет,2,Тбилиси,3 гр,0.0629,46944,18018,1596,660,,,,,,,,,,,,,Kristally Sinie moschnye 3gr
50,14-07-2020 17:29:04,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,1,Тбилиси,4 гр,0.0419,28451,10920,967,400,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
51,14-07-2020 17:29:04,Tbilisi,R4156,bestchoice,марихуана пудра высокое качество 4грам,True,нет,10,Тбилиси,4 гр,0.0062,4623,1775,157,65,,,,,,,,,,,,,marihuana pudra vysokoe kachestvo 4gram
52,14-07-2020 17:29:04,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0262,17782,6825,605,250,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
53,14-07-2020 17:29:04,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,2,6,Тбилиси,5 гр,0.0283,19204,7371,653,270,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
54,14-07-2020 17:29:04,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,2,5,Тбилиси,5 гр,0.0293,19916,7644,677,280,,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
55,14-07-2020 17:29:04,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0288,19560,7508,665,275,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
56,14-07-2020 17:29:04,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,1,4,Тбилиси,5 гр,0.0252,17071,6552,580,240,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
57,14-07-2020 17:29:04,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0293,19916,7644,677,280,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
58,14-07-2020 17:29:04,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0283,19204,7371,653,270,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
59,14-07-2020 17:29:04,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,15577,5979,530,219,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
60,14-07-2020 17:29:04,Tbilisi,6P9R,RickNMorty,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 5G On Iron Magnet,True,нет,1,Тбилиси,5 гр,0.1572,106691,40950,3628,1500,,,,,,,,,,,,,NEW!!! Columbian Winter Meds C O K E 90% Pure VHQ 5G On Iron Magnet
61,14-07-2020 17:29:04,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0283,19204,7371,653,270,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
62,14-07-2020 17:29:04,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2545,190000,87429,6493,,,,,,,,,,,,,,reagent 25i nbome. 5gr
63,14-07-2020 17:29:04,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2858,213383,81900,7256,3000,,True,,,,,,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
64,14-07-2020 17:29:04,Tbilisi,9CK,Hyperboy,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭,True,нет,5,Тбилиси,5 гр,0.0524,35564,13650,1209,500,,,,,,,,,,,,,🍭🍭🍭VHQ MDMA Brown A+++ Imported 95% Pure 5G🍭🍭🍭
65,14-07-2020 17:29:04,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,5 гр,0.024,16125,6192,547,,,,200,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
66,14-07-2020 17:29:04,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0943,64015,24570,2177,900,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
67,14-07-2020 17:29:04,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0576,39120,15015,1330,550,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
68,14-07-2020 17:29:04,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044,29874,11466,1016,420,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,14-07-2020 17:30:00,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044,29874,11466,1016,420,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
70,14-07-2020 17:30:00,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0837,56902,21840,1935,800,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
71,14-07-2020 17:30:00,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2329,158259,60743,5381,2225,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
72,14-07-2020 17:30:00,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0527,35474,13622,1204,,,,440,,,,,,,,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
73,14-07-2020 17:30:00,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,5,Тбилиси,11 гр,0.0467,31443,12074,1068,,,,390,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
74,14-07-2020 17:30:00,Tbilisi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",True,нет,3,Тбилиси,11 гр,0.0478,32169,12353,1092,,,,399,,,,,,,,,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
75,14-07-2020 17:30:00,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0618,46233,17745,1572,650,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
76,14-07-2020 17:30:00,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2512,170706,65520,5804,2400,,,,,,,,,,,,,100 gr marijuana buds
77,14-07-2020 17:30:00,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2616,177819,68250,6046,2500,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,14-07-2020 17:30:00,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6175,419652,161070,14269,5900,,,,,,,,,,,,,180 gr marihuana persoalno
79,14-07-2020 17:30:00,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8896,604584,232050,20557,8500,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
80,14-07-2020 17:30:00,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.019,14226,5460,484,200,,,,,,,,,,,,,KURYER..500RUB.+BONUS
81,14-07-2020 17:30:00,Tbilisi,LGRP8,Walker12,Ишем куриера в тбилиси!! срочно!! толко марихуана!!,True,1,нет,Тбилиси,1 гр,0.0157,10669,4095,363,150,,,,,,,,,,,,,Ishem kuriera v tbilisi!! srochno!! tolko marihuana!!
82,14-07-2020 17:30:00,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0262,17782,6825,605,250,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
83,14-07-2020 17:30:00,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0209,14226,5460,484,200,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
84,14-07-2020 17:30:00,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0262,17782,6825,605,250,,,,,,,,,,,,,Rabota na marki (kur'er)
85,14-07-2020 17:30:00,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0523,35564,13650,1209,500,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
86,14-07-2020 17:30:00,Tbilisi,X4ZM,ZYX,Работа курьером,True,нет,1,Тбилиси,10 гр,0.019,14226,5460,484,200,,,,,,,,,,,,,Rabota kur'erom
87,14-07-2020 17:30:00,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5841,1066913,409500,36278,15000,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
88,14-07-2020 17:30:00,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,3,Тбилиси,1000 гр,0.0523,35564,13650,1209,500,,True,,,,,True,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,14-07-2020 17:31:41,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,3,5,Батуми,0.3 гр,0.0317,21338,8190,726,300,,,,,,,,,,True,,,METADON - 0.30 - SALE
90,14-07-2020 17:31:41,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,14,нет,Батуми,2 гр,0.0044,2987,1147,102,42,,,,,,,,,,True,,,Melkie shishki (Indica) 2g
91,14-07-2020 17:31:41,Batumi,5HQU,LIKEaBOSS,ASTRAL 3g,,2,нет,Батуми,3 гр,0.0257,19204,7371,653,270,,,,,,,,,,True,,,ASTRAL 3g
92,14-07-2020 17:31:41,Batumi,GGVQZ,KARAVANos,Мощные шишки Y-Griega (Sativa) 5г,,1,нет,Батуми,5 гр,0.0335,22761,8736,774,320,,,,,,,,,,True,,,Moschnye shishki Y-Griega (Sativa) 5g
93,14-07-2020 17:31:41,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0371,24993,9598,849,,,,310,,,,,,,True,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
94,14-07-2020 17:31:41,Batumi,BN40,Panters,Мефедрон 3г,,нет,3,Батуми,3 гр,0.0333,24895,9555,846,350,,,,,,,,,,True,,,Mefedron 3g
95,14-07-2020 17:31:41,Batumi,BN40,Panters,Таблы Punisher 300 mg. 3шт.,,нет,5,Батуми,3 гр,0.0238,17782,6825,605,250,,,,,,,,,,True,,,Tably Punisher 300 mg. 3sht.
96,14-07-2020 17:31:41,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0527,35474,13622,1204,,,,440,,,,,,,True,,,🧞‍♂️☄🍭 RQS©️ Green Gelato™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
