,time_stamp,region,sell_code,sell_name,description,Saburtalo,Nadzaladevi,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Old Tbilisi (Старый город),Vake,€,Didube,Авлобари,Центр,Батуми,Кутаиси,desc_en
10,05-04-2020 14:23:05,Tbilisi,V4T,COCAcoLA,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!,True,,5,нет,Тбилиси,1 гр,0.0996,54413,19355,1801,700,,,,,,,,,,METHADONE 1gr! SALE SALE SALE! THE BEST QUALITY VHQ!
11,05-04-2020 14:23:05,Tbilisi,V4T,COCAcoLA,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,True,,3,нет,Тбилиси,1 гр,0.0144,7851,2793,260,101,,,,,,,,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
12,05-04-2020 14:23:05,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,,,2,нет,Тбилиси,1 гр,0.0255,13914,4949,460,179,,,True,,,,,,,Kokain KOLUMBIA 1g
13,05-04-2020 14:23:05,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,,1,нет,Тбилиси,1 гр,0.1165,69959,24885,2315,900,True,,,,,,,,,Metadon 1gr
14,05-04-2020 14:23:05,Tbilisi,JVZTQ,partyshop,2 Amnesia Haze марихуана шишки тгк 25%,,,2,нет,Тбилиси,2 гр,0.0107,5830,2074,193,75,True,,,,,,,,,2 Amnesia Haze marihuana shishki tgk 25%
15,05-04-2020 14:23:05,Tbilisi,03F3,geoshop,2 gr Amnesia Haze шишки импорт с европы тгк 28%,,,4,нет,Тбилиси,2 гр,0.0098,5364,1908,177,69,True,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
16,05-04-2020 14:23:05,Tbilisi,BB6E,WEEDSH0P,2 gr GORILLA GLUE марихуана BUDS btc sale 5%,,,1,нет,Тбилиси,2 гр,0.0098,5364,1908,177,69,True,,,,,,,,,2 gr GORILLA GLUE marihuana BUDS btc sale 5%
17,05-04-2020 14:23:05,Tbilisi,BB6E,WEEDSH0P,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%,,,1,нет,Тбилиси,2 гр,0.0121,6607,2350,219,85,True,,,,,,,,,2 gr Stardawg Auto WEED PRESED BUDS !! thc 21%
18,05-04-2020 14:23:05,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,,5,нет,Тбилиси,2 гр,0.0101,5441,1936,180,70,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
19,05-04-2020 14:23:05,Tbilisi,X4ZM,ZYX,New ! Big Buds ! 2G,,,1,нет,Тбилиси,2 гр,0.0083,4975,1770,165,64,True,,,,,,,,,New ! Big Buds ! 2G
20,05-04-2020 14:23:05,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,True,,9,нет,Тбилиси,2 гр,0.0045,2721,968,90,35,True,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
21,05-04-2020 14:23:05,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,True,,2,нет,Тбилиси,2 гр,0.0045,2721,968,90,35,True,,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
22,05-04-2020 14:23:05,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩,,,2,нет,Тбилиси,2 гр,0.0128,6918,2461,229,89,True,,,,,,,,,️‍🤩🌈️‍🌈️‍2 LSD 200ug.🌈️‍🌈️‍🤩
23,05-04-2020 14:23:05,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,,2,нет,Тбилиси,5 гр,0.0437,24874,8848,823,320,True,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,05-04-2020 14:23:05,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,,2,нет,Тбилиси,5 гр,0.0423,23320,8295,772,300,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,05-04-2020 14:23:05,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,,3,нет,Тбилиси,5 гр,0.0252,13603,4839,450,175,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
26,05-04-2020 14:23:05,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,,1,нет,Тбилиси,5 гр,0.0071,4275,1521,141,55,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
27,05-04-2020 14:23:05,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,True,1,нет,Тбилиси,6 гр,0.0104,6219,2212,206,80,,,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
28,05-04-2020 14:23:05,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,,1,нет,Тбилиси,10 гр,0.052,28372,10092,939,365,,,,,True,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
29,05-04-2020 14:23:05,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,,1,нет,Тбилиси,10 гр,0.038,20755,7383,687,267,True,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
30,05-04-2020 14:23:05,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,,1,3,Тбилиси,10 гр,0.0143,8574,2986,278,,True,True,,100,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
31,05-04-2020 14:23:05,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 10шт. Готовые клады в Грузии от производителя!,,,1,нет,Тбилиси,10 гр,0.011,6607,2350,219,85,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 10sht. Gotovye klady v Gruzii ot proizvoditelja!
32,05-04-2020 14:23:05,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,,2,нет,Тбилиси,10 гр,0.0546,31093,11060,1029,400,True,,,,,,,,,gashish evro 10g
33,05-04-2020 14:23:36,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,,1,нет,Тбилиси,20 гр,0.1061,60398,21484,1999,777,True,,,,,,,,,Gashish Evro 20gr
34,05-04-2020 14:23:36,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,,1,нет,Тбилиси,60 гр,0.2588,155465,55300,5144,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
35,05-04-2020 14:23:36,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,,,нет,15,Тбилиси,0.25 гр,0.0317,17148,5972,556,,True,,,200,,,,,,METADON - 0.25 G.
36,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,,нет,2,Тбилиси,2 гр,0.0288,15547,5530,514,200,True,,,,,,,,,✨✨2gram. MDMA✨✨
37,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,,нет,3,Тбилиси,2 гр,0.053,28683,10203,949,369,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
38,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,,нет,3,Тбилиси,3 гр,0.0848,45862,16314,1518,590,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
39,05-04-2020 14:23:36,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,,нет,7,Тбилиси,4 гр,0.0569,31093,11060,1029,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
40,05-04-2020 14:23:36,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,,нет,4,Тбилиси,5 гр,0.0228,12437,4424,412,160,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
41,05-04-2020 14:23:36,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,,нет,5,Тбилиси,5 гр,0.0783,42753,15208,1415,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
42,05-04-2020 14:23:36,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,,нет,1,Тбилиси,5 гр,0.0241,13137,4673,435,169,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
43,05-04-2020 14:23:36,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,,нет,8,Тбилиси,5 гр,0.0242,13215,4701,437,170,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
44,05-04-2020 14:23:36,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,,нет,10,Тбилиси,5 гр,0.0283,15469,5502,512,199,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
45,05-04-2020 14:23:36,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,,нет,7,Тбилиси,5 гр,0.0283,15469,5502,512,199,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
46,05-04-2020 14:23:36,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,,нет,2,Тбилиси,5 гр,0.0283,17023,6055,563,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
47,05-04-2020 14:23:36,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,,нет,5,Тбилиси,5 гр,0.0431,23320,8295,772,300,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
48,05-04-2020 14:23:36,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,,нет,7,Тбилиси,5 гр,0.0283,15469,5502,512,199,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
49,05-04-2020 14:23:36,Tbilisi,A3I9,Joookerrr,МДМА 5 гр!!!,,,нет,2,Тбилиси,5 гр,0.0428,25722,8958,834,,True,,,300,,,,,,MDMA 5 gr!!!
50,05-04-2020 14:23:36,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,,нет,12,Тбилиси,5 гр,0.0259,15547,5530,514,200,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
51,05-04-2020 14:23:36,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,,нет,2,Тбилиси,5 гр,0.3163,190000,87429,6381,,True,,,,,,,,,reagent 25i nbome. 5gr
52,05-04-2020 14:23:36,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,,нет,2,Тбилиси,5 гр,0.3882,233198,82950,7717,3000,,True,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
53,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,,нет,2,Тбилиси,5 гр,0.1249,67550,24028,2235,869,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
54,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,,нет,5,Тбилиси,5 гр,0.0273,14769,5254,489,190,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
55,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,,нет,5,Тбилиси,5 гр,0.0703,38011,13521,1258,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
56,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,,нет,5,Тбилиси,5 гр,0.0272,14691,5226,486,189,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
57,05-04-2020 14:23:36,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,,нет,1,Тбилиси,10 гр,0.1281,69959,24885,2315,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
58,05-04-2020 14:23:36,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,,нет,5,Тбилиси,10 гр,0.0996,54413,19355,1801,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,05-04-2020 14:23:36,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,,нет,6,Тбилиси,10 гр,0.0455,24874,8848,823,320,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,05-04-2020 14:23:36,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,,нет,5,Тбилиси,10 гр,0.1139,62186,22120,2058,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,05-04-2020 14:23:36,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,,нет,1,Тбилиси,10 гр,0.3167,172955,61521,5723,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
62,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,,нет,8,Тбилиси,10 гр,0.2083,112634,40065,3727,1449,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
63,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,,нет,10,Тбилиси,10 гр,0.053,28683,10203,949,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
64,05-04-2020 14:23:36,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,,нет,2,Тбилиси,10 гр,0.043,23242,8267,769,299,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
65,05-04-2020 14:24:15,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,,нет,2,Тбилиси,10 гр,0.043,23242,8267,769,299,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
66,05-04-2020 14:24:15,Tbilisi,8B31,GEOWEEDSHOP,20 gr Indica marijuana buds (hight quality),True,,нет,8,Тбилиси,20 гр,0.071,38789,13797,1284,499,True,,,,,,,,,20 gr Indica marijuana buds (hight quality)
67,05-04-2020 14:24:15,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,,нет,9,Тбилиси,20 гр,0.086,46562,16562,1541,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
68,05-04-2020 14:24:15,Tbilisi,8B31,GEOWEEDSHOP,50gr Georgian Indica dominant buds. The Best PRICE,True,,нет,13,Тбилиси,50 гр,0.1421,77655,27622,2570,999,True,,,,,,,,,50gr Georgian Indica dominant buds. The Best PRICE
69,05-04-2020 14:24:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,,нет,1,Тбилиси,50 гр,0.1565,85506,30415,2829,1100,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
70,05-04-2020 14:24:15,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,,нет,1,Тбилиси,100 гр,0.3414,186558,66360,6173,2400,True,,,,,,,,,100 gr marijuana buds
71,05-04-2020 14:24:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,,нет,1,Тбилиси,100 гр,0.2845,155465,55300,5144,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
72,05-04-2020 14:24:15,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,,нет,1,Тбилиси,100 гр,0.2873,155465,55300,5144,2000,True,,,,,,,,,SUBOXIN - HQ - 100 G.
73,05-04-2020 14:24:15,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,,1,1,Тбилиси,100 гр,0.3556,194331,69125,6431,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
74,05-04-2020 14:24:15,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,,нет,1,Тбилиси,150 гр,0.2155,116599,41475,3858,1500,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
75,05-04-2020 14:24:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,,нет,1,Тбилиси,250 гр,0.6543,357570,127190,11832,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
76,05-04-2020 14:24:15,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,,нет,1,Тбилиси,500 гр,1.0667,582994,207375,19292,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
77,05-04-2020 14:24:15,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,,нет,3,Тбилиси,10000 гр,1.209,660726,235025,21864,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
78,05-04-2020 14:24:15,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,,2,нет,Тбилиси,1 гр,0.0259,15547,5530,514,200,True,,,,,,,,,KURYER..500RUB.+BONUS
79,05-04-2020 14:24:15,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,,1,нет,Тбилиси,1 гр,0.0284,15547,5530,514,200,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
80,05-04-2020 14:24:15,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,,нет,2,Тбилиси,1 гр,0.0284,15547,5530,514,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
81,05-04-2020 14:24:15,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,,нет,1,Тбилиси,1 гр,0.0356,19433,6913,643,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
82,05-04-2020 14:24:15,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Тбилиси,400 гр,2.1528,1165988,414750,38583,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
83,05-04-2020 14:28:17,Batumi,V4T,COCAcoLA,mephedrone 1gr СКИДКА КАРАНТИННАЯ!!!!,,,1,нет,Батуми,1 гр,0.0144,7851,2793,260,101,,,,,,,True,,,mephedrone 1gr SKIDKA KARANTINNAJa!!!!
84,05-04-2020 14:28:17,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,,7,нет,Батуми,2 гр,0.0049,2954,1051,98,38,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
85,05-04-2020 14:28:17,Batumi,CL7K,go420times,[100g] SPAIN HASH,,,1,нет,Батуми,105 гр,0.3131,171012,60830,5659,2200,,,,,,,,True,,[100g] SPAIN HASH
86,05-04-2020 14:28:17,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,,1,13,Батуми,5 гр,0.0259,15547,5530,514,200,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
87,05-04-2020 14:28:17,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,,нет,2,Батуми,100 гр,0.2875,155465,55300,5144,2000,,,,,,,,True,,SUBOXIN - HQ - 100 G.
88,05-04-2020 14:28:17,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,,нет,3,Батуми,150 гр,0.2156,116599,41475,3858,1500,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
89,05-04-2020 14:28:17,Batumi,42AF,Leningrad6,курьер в Батуми,,,1,нет,Батуми,1 гр,0.0129,7773,2765,257,100,,,,,,,,True,,kur'er v Batumi
90,05-04-2020 14:28:17,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,,1,нет,Батуми,5 гр,0.0324,19433,6913,643,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
91,05-04-2020 14:28:17,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,,1,нет,Батуми,50 гр,0.0324,19433,6913,643,250,,,,,,,,True,,Ischu kur'era v Gruzii!
92,05-04-2020 14:28:17,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,,1,нет,Батуми,50 гр,0.0388,23320,8295,772,300,,,,,,,,True,,Rabota na marki (kur'er)
93,05-04-2020 14:28:17,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,,нет,1,Батуми,400 гр,2.1545,1165988,414750,38583,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
94,05-04-2020 14:28:17,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,,нет,2,Батуми,1000 гр,0.0712,38866,13825,1286,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
95,05-04-2020 14:29:43,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,4,нет,Кутаиси,1 гр,0.0269,14847,5281,491,191,,,,,,,,,True,Columbia Cocaine VHQ 1g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
96,05-04-2020 14:29:43,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,7,нет,Кутаиси,1.5 гр,0.0204,11271,4009,373,145,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
97,05-04-2020 14:29:43,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,10,нет,Кутаиси,2 гр,0.0514,28372,10092,939,365,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
98,05-04-2020 14:29:43,Kutaisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,,1,нет,Кутаиси,2 гр,0.0049,2954,1051,98,38,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
99,05-04-2020 14:29:43,Kutaisi,EIH4,San4oPan4o,ГАШИШ твердый!!! Hash!!!! 2.0 g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,3,нет,Кутаиси,2 гр,0.019,10494,3733,347,135,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
100,05-04-2020 14:29:43,Kutaisi,EIH4,San4oPan4o,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,,10,нет,Кутаиси,3 гр,0.0387,21376,7604,707,275,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
