,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Varketili,Дигоми,Gldani,Vazisubani,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Батуми,Центр,€,desc_en
21,21,14-08-2020 01:09:21,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,13,нет,Тбилиси,1 гр,0.0042,3607,1355,120,49.0,,,,,,,,,,,,,1gr HYBRID o.g
22,22,14-08-2020 01:09:21,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,12,нет,Тбилиси,1 гр,0.0049,4196,1576,140,57.0,,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
23,23,14-08-2020 01:09:21,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,10,нет,Тбилиси,1 гр,0.0034,3000,1380,101,,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
24,24,14-08-2020 01:09:21,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3975,1493,133,54.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
25,25,14-08-2020 01:09:21,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,2,нет,Тбилиси,1 гр,0.0049,4269,1604,143,58.0,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
26,26,14-08-2020 01:09:21,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4048,1521,135,55.0,,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
27,27,14-08-2020 01:09:21,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0043,3680,1383,123,50.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
28,28,14-08-2020 01:09:21,Tbilisi,3c9bc6f8e9,"Успейте попробовать. Урожай заканчивается. Amnesia Haze (photoperiod, regular) 1 гр. Спокойно, Надёжно, Качественно.",,2,нет,Тбилиси,1 гр,0.0043,4048,1521,135,55.0,,,True,,,,,,,,,,"Uspejte poprobovat'. Urozhaj zakanchivaetsja. Amnesia Haze (photoperiod, regular) 1 gr. Spokojno, Nadezhno, Kachestvenno."
29,29,14-08-2020 01:09:21,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,2 гр,0.0085,7287,2737,243,99.0,,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
30,30,14-08-2020 01:09:21,Tbilisi,21de5577be,2 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid,,1,нет,Тбилиси,2 гр,0.0083,7213,2710,241,98.0,True,,,,,,,,,,,,2 gr. ️🍀 Jamaica Feminized 🇯🇲🇯🇲100% Natural/Hybrid
31,31,14-08-2020 01:09:21,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0084,7287,2737,243,99.0,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
32,32,14-08-2020 01:09:21,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0085,7361,2765,246,100.0,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
33,33,14-08-2020 01:09:21,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0072,6257,2350,209,85.0,,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
34,34,14-08-2020 01:09:21,Tbilisi,7918572a66,2G TYson Budds Скидка 5%,True,11,нет,Тбилиси,2 гр,0.006,5741,2157,192,78.0,True,,,,,,,,,,,,2G TYson Budds Skidka 5%
35,35,14-08-2020 01:09:21,Tbilisi,e56bb6ca93,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY),True,1,нет,Тбилиси,2 гр,0.0073,6330,2378,211,86.0,,,,,,,,,,,,,2g 🍁🌿WEST COAST 420 O.G🍁🌿 (HIGH QUALITY)
36,36,14-08-2020 01:10:45,Tbilisi,0dec0e1c48,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿,True,2,нет,Тбилиси,2 гр,0.0074,6330,2378,211,86.0,,,,,,,,,,,,,2g 🍁🍁🍁NEW glueberry o.g Dutch Passion Strain. (High quality)🌿🌿🌿
37,37,14-08-2020 01:10:45,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,2,нет,Тбилиси,2 гр,0.0075,6477,2433,216,88.0,,,,,,,,,,,,,2gr HYBRID buds
38,38,14-08-2020 01:10:45,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,2,нет,Тбилиси,2 гр,0.0079,6845,2571,229,93.0,,,,True,True,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
39,39,14-08-2020 01:10:45,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 2 гр",True,1,нет,Тбилиси,2 гр,0.0085,8097,3042,270,110.0,,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 2 gr"
40,40,14-08-2020 01:10:45,Tbilisi,e771f4c371,MORNING GLORY 2G.( *VHQ*BUDS-26%THC) FROM EUROPE,,1,нет,Тбилиси,2 гр,0.0091,7876,2959,263,107.0,True,,,,,,,,,,,,MORNING GLORY 2G.( *VHQ*BUDS-26%THC) FROM EUROPE
41,41,14-08-2020 01:10:45,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,2,нет,Тбилиси,2 гр,0.0085,7287,2737,243,99.0,,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
42,42,14-08-2020 01:10:45,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,1,нет,Тбилиси,2 гр,0.0085,7287,2737,243,99.0,,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
43,43,14-08-2020 01:10:45,Tbilisi,e771f4c371,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE,,2,нет,Тбилиси,3 гр,0.0128,11041,4148,369,150.0,True,,,,,,,,,,,,MORNING GLORY 3G.( *VHQ*BUDS-26%THC) FROM EUROPE
44,44,14-08-2020 01:10:45,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.006999999999999999,6625,2489,221,90.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
45,45,14-08-2020 01:10:45,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,1,нет,Тбилиси,5 гр,0.0186,17666,6636,590,240.0,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
46,46,14-08-2020 01:10:45,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0213,18402,6913,615,250.0,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
47,47,14-08-2020 01:10:45,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.023,19874,7466,664,270.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
48,48,14-08-2020 01:10:45,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0234,20242,7604,676,275.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
49,49,14-08-2020 01:10:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,1,Тбилиси,5 гр,0.0205,17666,6636,590,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
50,50,14-08-2020 01:10:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0239,20610,7742,688,280.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
51,51,14-08-2020 01:10:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.023,19874,7466,664,270.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
52,52,14-08-2020 01:10:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.017,16120,6055,538,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
53,53,14-08-2020 01:10:45,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0186,17666,6636,590,240.0,,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
54,54,14-08-2020 01:10:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0213,18402,6913,615,250.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
55,55,14-08-2020 01:10:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2,190000,87429,6379,,,,,,,,,,,,,,reagent 25i nbome. 5gr
56,56,14-08-2020 01:10:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2324,220820,82950,7375,3000.0,,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,57,14-08-2020 01:10:45,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0469,40484,15208,1352,550.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
58,58,14-08-2020 01:10:45,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0597,51525,19355,1721,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
59,59,14-08-2020 01:10:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0358,30915,11613,1032,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
60,60,14-08-2020 01:10:45,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0682,58885,22120,1967,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
61,61,14-08-2020 01:10:45,Tbilisi,9610a68a0a,GABAGAMA 10 shtuk,True,нет,7,Тбилиси,10 гр,0.0012,1031,387,34,14.0,,,,,,,,,,,,,GABAGAMA 10 shtuk
62,62,14-08-2020 01:10:45,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1896,163775,61521,5470,2225.0,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
63,63,14-08-2020 01:10:45,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2045,176656,66360,5900,2400.0,,,,,,,,,,,,,100 gr marijuana buds
64,64,14-08-2020 01:10:45,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.213,184017,69125,6146,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
65,65,14-08-2020 01:10:45,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5028,434280,163135,14504,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
66,66,14-08-2020 01:10:45,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0243,21000,9663,705,,,,,,,,,True,,,,,GABAGAMA 250 shtuk
67,67,14-08-2020 01:10:45,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7243,625657,235025,20896,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,14-08-2020 01:10:45,Tbilisi,3c9bc6f8e9,Курьер Тбилиси,True,1,нет,Тбилиси,1 гр,0.0155,14721,5530,492,200.0,,,,,,,,,,,,,Kur'er Tbilisi
69,69,14-08-2020 01:10:45,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0213,18402,6913,615,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
70,70,14-08-2020 01:10:45,Tbilisi,509c9eb778,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0063,5668,2129,189,77.0,,,,,,,,,,,,,RoSS Uboj 2gr
71,71,14-08-2020 01:10:45,Tbilisi,6932ed9978,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2479,235541,88480,7867,3200.0,,,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,72,14-08-2020 01:11:38,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.017,14721,5530,492,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,14-08-2020 01:11:38,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0213,18402,6913,615,250.0,,,,,,,,,,,,,Rabota na marki (kur'er)
74,74,14-08-2020 01:11:38,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0426,36803,13825,1229,500.0,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
75,75,14-08-2020 01:11:38,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0426,36803,13825,1229,500.0,,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
76,76,14-08-2020 01:11:38,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2897,1104101,414750,36875,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,14-08-2020 01:11:38,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0426,36803,13825,1229,500.0,,True,,,,True,,,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
78,78,14-08-2020 01:11:38,Tbilisi,98f436eeb7,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0035,3000,1380,101,,,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
79,79,14-08-2020 01:11:38,Tbilisi,98f436eeb7,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0085,7361,2765,246,100.0,,,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
80,80,14-08-2020 01:13:56,Batumi,67187efef3,1g hindu kish best buds BTC 1% SALE,,2,нет,Батуми,1 гр,0.0044,3754,1410,125,51.0,,,,,,,,,,True,,,1g hindu kish best buds BTC 1% SALE
81,81,14-08-2020 01:13:56,Batumi,f25c0d6c5c,Auto Amnesia Haze 1 gr,,1,нет,Батуми,1 гр,0.0054,5152,1936,172,70.0,,,,,,,,,,True,,,Auto Amnesia Haze 1 gr
82,82,14-08-2020 01:13:56,Batumi,3c4662c591,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Качественные шишки марихуаны,,1,нет,Батуми,10 гр,0.0426,36803,13825,1229,500.0,,,,,,,,,,,True,,Hybrid Super Critical THC 28% Hydroponic 10G 100% Buds/Kachestvennye shishki marihuany
83,83,14-08-2020 01:13:56,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0406,34729,13039,1151,,,,,,,,,,,True,,399.0,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
84,84,14-08-2020 01:13:56,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0397,33946,12745,1125,,,,,,,,,,,True,,390.0,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
85,85,14-08-2020 01:13:56,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0194,18402,6913,615,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
86,86,14-08-2020 01:13:56,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0194,18402,6913,615,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
87,87,14-08-2020 01:13:56,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0171,14721,5530,492,200.0,,,,,,,,,,True,,,Kur'er Batumi na marihuanu
88,88,14-08-2020 01:13:56,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2908,1104101,414750,36875,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
89,89,14-08-2020 01:13:56,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0426,36803,13825,1229,500.0,,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
