,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Varketili,$,Saburtalo,Gldani,Vake,Дигоми,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
21,06-07-2020 21:46:12,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 2гр",,1,нет,Тбилиси,2 гр,0.0105,7848,2992,266,,,110,,,True,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
22,06-07-2020 21:46:12,Tbilisi,8B31,GEOWEEDSHOP,3gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,15,нет,Тбилиси,3 гр,0.0058,3924,1496,133,,,55,,,,,,,,,3gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
23,06-07-2020 21:46:12,Tbilisi,7U9YP,ChitosPizz,Weed Сорт Purple 3гр,True,1,нет,Тбилиси,3 гр,0.008,5993,2285,203,,,84,,,,,,,,,Weed Sort Purple 3gr
24,06-07-2020 21:46:12,Tbilisi,1GT8,GREENGY,5g Georgian buds,True,2,нет,Тбилиси,5 гр,0.014,9916,3781,337,,,139,,,,,,,,,5g Georgian buds
25,06-07-2020 21:46:12,Tbilisi,8B31,GEOWEEDSHOP,5gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,27,нет,Тбилиси,5 гр,0.0073,4923,1877,167,,,69,,,,,,,,,5gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
26,06-07-2020 21:46:12,Tbilisi,5LZ,ExtraShop,5г. GEO Марихуана бошки,True,3,нет,Тбилиси,5 гр,0.0143,10630,4053,361,,,149,,,,,,,,,5g. GEO Marihuana boshki
27,06-07-2020 21:46:12,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,2,нет,Тбилиси,5 гр,0.023,17122,6528,581,,,240,,,,True,,,,,"Hindu Kush (photoperiod, regular) 5gr"
28,06-07-2020 21:46:12,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.142,96239,36693,3266,,,1349,,,,,,,,,VHQ BEST Cocaine 5g.
29,06-07-2020 21:46:12,Tbilisi,2LA7,ACROBATS,Марихуана бошки OG KUSH этим все сказано. 5г.,,1,нет,Тбилиси,5 гр,0.0263,17835,6800,605,,,250,True,,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
30,06-07-2020 21:46:12,Tbilisi,7LHWP,GEOBUDS,10 gr georgian weed. Package on magnet,True,1,нет,Тбилиси,10 гр,0.0252,17050,6501,579,,,239,,,,,,,,,10 gr georgian weed. Package on magnet
31,06-07-2020 21:46:12,Tbilisi,8B31,GEOWEEDSHOP,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,True,6,нет,Тбилиси,10 гр,0.0137,9203,3509,312,,,129,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
32,06-07-2020 21:46:12,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 10гр,True,2,нет,Тбилиси,10 гр,0.0459,32103,12240,1090,,,450,,,,,,,,,Gashish Evro 10gr
33,06-07-2020 21:46:12,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,3,нет,Тбилиси,11 гр,0.0172,12841,4896,436,,,180,,,,,,,,,11+ GRAMM BEASTWEED NEW
34,06-07-2020 21:46:12,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0479,35670,13600,1211,,,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
35,06-07-2020 21:48:02,Tbilisi,2LY77,SveetWeed,11+ GRAMM BEASTWEED NEW,True,3,нет,Тбилиси,11 гр,0.0172,12841,4896,436,,,180,,,,,,,,,11+ GRAMM BEASTWEED NEW
36,06-07-2020 21:48:02,Tbilisi,3TGJ9,Elegant,акция!!! 10g.+2 g. марихуана шишки Critical,True,1,нет,Тбилиси,12 гр,0.0478,35670,13600,1211,,,500,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
37,06-07-2020 21:48:02,Tbilisi,X4ZM,ZYX,Silver haze leaves листья 15гр sale,True,8,нет,Тбилиси,15 гр,0.0068,4637,1768,157,,,65,,,,,,,,,Silver haze leaves list'ja 15gr sale
38,06-07-2020 21:48:02,Tbilisi,2LY77,SveetWeed,25 GGAMM NEW BEASTWEED,True,1,нет,Тбилиси,25 гр,0.0349,26039,9928,884,,,365,,,,,,,,,25 GGAMM NEW BEASTWEED
39,06-07-2020 21:48:02,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2123,142682,54400,4843,,,2000,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,06-07-2020 21:48:02,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.053,35599,13573,1208,,,499,,,,,,,,,❄❄2g HQ COCAINE❄❄
41,06-07-2020 21:48:02,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,5,Тбилиси,4 гр,0.0421,28536,10880,969,,,400,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
42,06-07-2020 21:48:02,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0263,17835,6800,605,,,250,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,06-07-2020 21:48:02,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0579,39238,14960,1332,,,550,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
44,06-07-2020 21:48:02,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0284,19262,7344,654,,,270,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
45,06-07-2020 21:48:02,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,5,Тбилиси,5 гр,0.0295,19975,7616,678,,,280,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
46,06-07-2020 21:48:02,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0289,19619,7480,666,,,275,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
47,06-07-2020 21:48:02,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0252,17122,6528,581,,,240,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
48,06-07-2020 21:48:02,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0295,19975,7616,678,,,280,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,06-07-2020 21:48:02,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0284,19262,7344,654,,,270,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,06-07-2020 21:48:02,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0209,15624,5957,530,,,219,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,06-07-2020 21:48:02,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0284,19262,7344,654,,,270,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
52,06-07-2020 21:48:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2547,190000,87429,6528,,,,,,,,,,,,reagent 25i nbome. 5gr
53,06-07-2020 21:48:02,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2869,214023,81600,7264,,,3000,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
54,06-07-2020 21:48:02,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0947,64207,24480,2179,,,900,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
55,06-07-2020 21:48:02,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0579,39238,14960,1332,,,550,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
56,06-07-2020 21:48:02,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0736,49939,19040,1695,,,700,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,06-07-2020 21:48:02,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0442,29963,11424,1017,,,420,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,06-07-2020 21:48:02,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0842,57073,21760,1937,,,800,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,06-07-2020 21:48:02,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.234,158734,60520,5388,,,2225,,,,,,,,,Amfetamin [White] [Import] 10G
60,06-07-2020 21:48:02,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0467,31418,12012,1065,390,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
61,06-07-2020 21:48:02,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2525,171218,65280,5811,,,2400,,,,,,,,,100 gr marijuana buds
62,06-07-2020 21:48:02,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.263,178352,68000,6054,,,2500,,,,,,,,,Marihuana [Shishki] [Gali] 100G
63,06-07-2020 21:48:02,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6206,420911,160480,14286,,,5900,,,,,,,,,180 gr marihuana persoalno
64,06-07-2020 21:48:02,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8941,606398,231200,20582,,,8500,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,06-07-2020 21:48:02,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14268,5440,484,,,200,,,,,,,,,KURYER..500RUB.+BONUS
66,06-07-2020 21:48:02,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0263,17835,6800,605,,,250,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,06-07-2020 21:48:02,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.021,14268,5440,484,,,200,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
68,06-07-2020 21:48:02,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0263,17835,6800,605,,,250,,,,,,,,,Rabota na marki (kur'er)
69,06-07-2020 21:50:42,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,5,нет,Батуми,2 гр,0.0051,3424,1306,116,,,48,,,,,,,True,,Melkie shishki (Indica) 2g
70,06-07-2020 21:50:42,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,1,нет,Батуми,2 гр,0.012,8056,3080,273,100,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
71,06-07-2020 21:50:42,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0468,31418,12012,1065,390,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
72,06-07-2020 21:50:42,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,4,Батуми,11 гр,0.0504,33834,12936,1147,420,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
73,06-07-2020 21:50:42,Batumi,QHW5I,DrugEA,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1667,112990,51992,3882,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
74,06-07-2020 21:50:42,Batumi,QHW5I,DrugEA,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.264,178900,82321,6147,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
75,06-07-2020 21:50:42,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7134,2720,242,,,100,,,,,,,True,,kur'er v Batumi
76,06-07-2020 21:50:42,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17835,6800,605,,,250,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
77,06-07-2020 21:50:42,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17835,6800,605,,,250,,,,,,,True,,Ischu kur'era v Gruzii!
78,06-07-2020 21:50:42,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0211,14268,5440,484,,,200,,,,,,,True,,Kur'er Batumi na marihuanu
79,06-07-2020 21:50:42,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5934,1070114,408000,36321,,,15000,,,,,,,True,,Vakansija optovogo kur'era na mef
80,06-07-2020 21:50:42,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0526,35670,13600,1211,,,500,,,,,,,,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
