,Unnamed: 0,time_stamp,region,sell_code,description,Old Tbilisi (Старый город),готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Vake,$,Тбилиси,Saburtalo,Nadzaladevi,Авлобари,Батуми,Центр,Кутаиси,desc_en
14,14,14-06-2020 11:17:19,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0408,27649,10760,951,,,400.0,True,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
15,15,14-06-2020 11:17:19,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,1,Тбилиси,4 гр,0.0143,9677,3766,333,,,140.0,,True,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
16,16,14-06-2020 11:17:19,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0561,38017,14795,1308,,,550.0,True,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
17,17,14-06-2020 11:17:19,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,7,Тбилиси,5 гр,0.024,16244,6322,559,,,235.0,True,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
18,18,14-06-2020 11:17:19,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0245,16589,6456,571,,,240.0,True,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
19,19,14-06-2020 11:17:19,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0235,15898,6187,547,,,230.0,True,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
20,20,14-06-2020 11:17:19,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0245,16589,6456,571,,,240.0,True,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
21,21,14-06-2020 11:17:19,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,8,Тбилиси,5 гр,0.0245,16589,6456,571,,,240.0,True,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
22,22,14-06-2020 11:17:19,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0235,15898,6187,547,,,230.0,True,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
23,23,14-06-2020 11:17:19,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0203,15138,5891,521,,,219.0,True,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
24,24,14-06-2020 11:17:19,Tbilisi,f8a875c191,MARIXYANA - INDICA - 5 G.,,нет,2,Тбилиси,5 гр,0.0258,17280,6725,595,,,250.0,True,,,,,,,MARIXYANA - INDICA - 5 G.
25,25,14-06-2020 11:17:19,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.024,16244,6322,559,,,235.0,True,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
26,26,14-06-2020 11:17:19,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.255,190000,87429,6482,,,,True,,,,,,,reagent 25i nbome. 5gr
27,27,14-06-2020 11:17:19,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,True,нет,2,Тбилиси,5 гр,0.2783,207366,80700,7134,,,3000.0,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
28,28,14-06-2020 11:17:19,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.0988,66288,25797,2281,,,959.0,True,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
29,29,14-06-2020 11:17:19,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,9,Тбилиси,5 гр,0.0196,13133,5111,452,,,190.0,True,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
30,30,14-06-2020 11:17:19,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,10,Тбилиси,5 гр,0.0504,33801,13154,1163,,,489.0,True,,,,,,,💘✨5g. MDMA ✨💘
31,31,14-06-2020 11:17:19,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0918,62210,24210,2140,,,900.0,True,,,,,,,10 gr mdma Kristally ochen silni import s evropi
32,32,14-06-2020 11:17:19,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0408,27649,10760,951,,,400.0,True,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
33,33,14-06-2020 11:17:19,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0714,48385,18830,1665,,,700.0,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
34,34,14-06-2020 11:17:44,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0714,48385,18830,1665,,,700.0,True,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
35,35,14-06-2020 11:17:44,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0429,29031,11298,999,,,420.0,True,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
36,36,14-06-2020 11:17:44,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0816,55298,21520,1902,,,800.0,True,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
37,37,14-06-2020 11:17:44,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2271,153796,59853,5291,,,2225.0,True,,,,,,,Amfetamin [White] [Import] 10G
38,38,14-06-2020 11:17:44,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,10,Тбилиси,10 гр,0.1607,107761,41937,3707,,,1559.0,True,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
39,39,14-06-2020 11:17:44,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,,нет,5,Тбилиси,10 гр,0.0813,54537,21224,1876,,,789.0,True,,,,,,,💘✨10gram MDMA ✨💘
40,40,14-06-2020 11:17:44,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,8,Тбилиси,10 гр,0.038,25506,9926,878,,,369.0,True,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
41,41,14-06-2020 11:17:44,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,,нет,3,Тбилиси,20 гр,0.1392,103683,40350,3567,,,1500.0,True,,,,,,,✨💘20g MDMA💘✨
42,42,14-06-2020 11:17:44,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0617,41404,16113,1424,,,599.0,True,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
43,43,14-06-2020 11:17:44,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,5,Тбилиси,50 гр,0.1326,89789,34943,3089,,,1299.0,True,,,,,,,50 gr georgian weed. Package on magnet
44,44,14-06-2020 11:17:44,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,4,Тбилиси,100 гр,0.255,172736,67223,5943,,,2499.0,True,,,,,,,100 gr georgian weed. Package on magnet
45,45,14-06-2020 11:17:44,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2449,165893,64560,5707,,,2400.0,True,,,,,,,100 gr marijuana buds
46,46,14-06-2020 11:17:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2041,138244,53800,4756,,,2000.0,True,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
47,47,14-06-2020 11:17:44,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2551,172805,67250,5945,,,2500.0,True,,,,,,,Marihuana [Shishki] [Gali] 100G
48,48,14-06-2020 11:17:44,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6021,407819,158710,14031,,,5900.0,True,,,,,,,180 gr marihuana persoalno
49,49,14-06-2020 11:17:44,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,,нет,4,Тбилиси,200 гр,0.4376,293768,114325,10107,,,4250.0,True,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
50,50,14-06-2020 11:17:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4694,317961,123740,10939,,,4600.0,True,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
51,51,14-06-2020 11:17:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7654,518414,201750,17836,,,7500.0,True,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
52,52,14-06-2020 11:17:44,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.8674,587536,228650,20214,,,8500.0,True,,,,,,,10000sht marki 25i-nbome. predoplata
53,53,14-06-2020 11:17:44,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0186,13824,5380,476,,,200.0,True,,,,,,,KURYER..500RUB.+BONUS
54,54,14-06-2020 11:17:44,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0204,13824,5380,476,,,200.0,True,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
55,55,14-06-2020 11:17:44,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5446,1036829,403500,35672,,,15000.0,True,,,,,,,Vakansija optovogo kur'era na mef
56,56,14-06-2020 11:18:59,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,1,нет,Батуми,10 гр,0.042,29031,11298,999,,,420.0,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
57,57,14-06-2020 11:18:59,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1668,112990,51992,3855,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
58,58,14-06-2020 11:18:59,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2641,178900,82321,6103,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
59,59,14-06-2020 11:18:59,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6912,2690,238,,,100.0,,,,,True,,,kur'er v Batumi
60,60,14-06-2020 11:18:59,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0232,17280,6725,595,,,250.0,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
61,61,14-06-2020 11:18:59,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0232,17280,6725,595,,,250.0,,,,,True,,,Ischu kur'era v Gruzii!
62,62,14-06-2020 11:18:59,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,3,Батуми,5 гр,0.0204,13824,5380,476,,,200.0,,,,,True,,,Kur'er Batumi na marihuanu
63,63,14-06-2020 11:18:59,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5447,1036829,403500,35672,,,15000.0,,,,,True,,,Vakansija optovogo kur'era na mef
64,64,14-06-2020 11:18:59,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.051,34561,13450,1189,,,500.0,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
65,65,14-06-2020 11:20:35,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,1 гр,0.0026,1728,673,59,,,25.0,,,,,,,True,Rabota na marki (kur'er)
