,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,€,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
14,14,19-02-2020 15:12:16,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,17,нет,Тбилиси,1 гр,0.004,2866,1103,99,45.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
15,15,19-02-2020 15:12:16,Tbilisi,7c395c455d,1 gr mdma Кристаллы очен силни импорт с европи,True,3,нет,Тбилиси,1 гр,0.0116,7642,2941,264,120.0,,,,,,,,,,,1 gr mdma Kristally ochen silni import s evropi
16,16,19-02-2020 15:12:16,Tbilisi,4a91350669,1 gr гашиш VHQ gorilla glue hash тгк 28 %,True,3,нет,Тбилиси,1 гр,0.0087,5732,2206,198,90.0,,,,,,,,,,,1 gr gashish VHQ gorilla glue hash tgk 28 %
17,17,19-02-2020 15:12:16,Tbilisi,21de5577be,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,10,нет,Тбилиси,1 гр,0.0044,2866,1103,99,45.0,,True,True,,,,,,,,1 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
18,18,19-02-2020 15:12:16,Tbilisi,cb721d4bca,1 гр Afghan Mazar-i-Sharif Hash топ товар !!! . Оплата BITCOIN -10% Скидка,True,7,нет,Тбилиси,1 гр,0.0082,5413,2083,187,85.0,,,,,,,,,,,1 gr Afghan Mazar-i-Sharif Hash top tovar !!! . Oplata BITCOIN -10% Skidka
19,19,19-02-2020 15:12:16,Tbilisi,64284550d9,1G -- AK-47 -> Sativa,True,21,нет,Тбилиси,1 гр,0.0035,2356,907,82,37.0,True,,,,,,,,,,1G -- AK-47 -> Sativa
20,20,19-02-2020 15:12:16,Tbilisi,8ddca45a78,1g BLUE CHEESE Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,1 гр,0.0034,2484,956,86,39.0,,,,,,,,,,,1g BLUE CHEESE Indica THC 18% / BTC -10% sale
21,21,19-02-2020 15:12:16,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,10,нет,Тбилиси,1 гр,0.0107,6942,2672,240,109.0,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
22,22,19-02-2020 15:12:16,Tbilisi,cb721d4bca,"1gr ROYAL AFGHANI HASH FINEST QUALITY гашиш топ качество ,Оплата BITCOIN -10% Скидка",True,2,нет,Тбилиси,1 гр,0.0089,5847,2261,203,,,,,85.0,,,,,,,"1gr ROYAL AFGHANI HASH FINEST QUALITY gashish top kachestvo ,Oplata BITCOIN -10% Skidka"
23,23,19-02-2020 15:12:16,Tbilisi,7c395c455d,1gr bubble hash thc 25% гашиш вишего качество HQ,True,3,нет,Тбилиси,1 гр,0.0082,5413,2083,187,85.0,,,,,,,,,,,1gr bubble hash thc 25% gashish vishego kachestvo HQ
24,24,19-02-2020 15:12:16,Tbilisi,7ee4f68218,1gr mdma (скидка в биткоин 5%),True,4,нет,Тбилиси,1 гр,0.0085,5847,2261,203,,,,,85.0,,,,,,,1gr mdma (skidka v bitkoin 5%)
25,25,19-02-2020 15:12:16,Tbilisi,366326d4d6,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,1 гр,0.0194,12610,4853,436,198.0,,,,,,,,,,,1gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
26,26,19-02-2020 15:12:16,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,7,нет,Тбилиси,1 гр,0.0215,14011,5392,485,220.0,,,,,,,,,,,"Cocaine, 1g"
27,27,19-02-2020 15:12:16,Tbilisi,ae784bef73,Gorilla Glue! 1G ! NEW !,True,1,нет,Тбилиси,1 гр,0.0039,2548,980,88,40.0,,,,,,,,,,,Gorilla Glue! 1G ! NEW !
28,28,19-02-2020 15:12:16,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g,True,12,нет,Тбилиси,1 гр,0.0074,4840,1863,167,76.0,,,,,,,,,,,Hashish Ice-o-lator 1g
29,29,19-02-2020 15:12:16,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,5,нет,Тбилиси,1 гр,0.0185,12037,4632,416,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
30,30,19-02-2020 15:12:16,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,4,нет,Тбилиси,1 гр,0.0185,12674,4877,438,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
31,31,19-02-2020 15:13:02,Tbilisi,7ee4f68218,cocaine 1g HQ / кокаин 1 гр (скидка в биткоин),True,2,нет,Тбилиси,1 гр,0.0162,11145,4289,386,175.0,,,,,,,,,,,cocaine 1g HQ / kokain 1 gr (skidka v bitkoin)
32,32,19-02-2020 15:13:02,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,2,нет,Тбилиси,1 гр,0.0181,12037,4632,416,189.0,,,,,,,,,,,Kokain HQ 1g.
33,33,19-02-2020 15:13:02,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,3,нет,Тбилиси,1 гр,0.0173,11400,4387,394,179.0,,,,,True,,,,,,Kokain KOLUMBIA 1g
34,34,19-02-2020 15:13:02,Tbilisi,61df6a1c90,Метадон 1гр,True,3,нет,Тбилиси,1 гр,0.0395,28659,11030,991,450.0,,,,,,,,,,,Metadon 1gr
35,35,19-02-2020 15:13:02,Tbilisi,e8a987a33c,"Метадон, 1gr",True,5,нет,Тбилиси,1 гр,0.0387,25475,9804,881,400.0,,,,,,,,,,,"Metadon, 1gr"
36,36,19-02-2020 15:13:02,Tbilisi,2dbb5960b9,Methadone HQ in city 1.3g,True,3,нет,Тбилиси,1.3 гр,0.0532,35028,13481,1212,550.0,,,,,,,,,,,Methadone HQ in city 1.3g
37,37,19-02-2020 15:13:02,Tbilisi,366326d4d6,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,2,нет,Тбилиси,2 гр,0.0077,5031,1936,174,79.0,,,,,,,,,,,2 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
38,38,19-02-2020 15:13:02,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,5,нет,Тбилиси,2 гр,0.0075,5413,2083,187,85.0,,,,,,,,,,,2 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
39,39,19-02-2020 15:13:02,Tbilisi,7ee4f68218,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg",True,2,нет,Тбилиси,2 гр,0.006999999999999999,4815,1862,167,,,,,70.0,,,,,,,"2 ecstasy New Pills! 💊""PARTY ROCK""💊 300 mg"
40,40,19-02-2020 15:13:02,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,3,нет,Тбилиси,2 гр,0.006999999999999999,4815,1862,167,,,,,70.0,,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
41,41,19-02-2020 15:13:02,Tbilisi,21de5577be,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN),,2,нет,Тбилиси,2 гр,0.0079,5222,2010,181,82.0,,True,True,,,,,,,,2.0 gr. LSD Fem (Hibrid>>INDICA) IMPORT (IRAN)
42,42,19-02-2020 15:13:02,Tbilisi,64284550d9,2G -- AK-47 -> Sativa,True,13,нет,Тбилиси,2 гр,0.0067,4522,1740,156,71.0,True,,,,,,,,,,2G -- AK-47 -> Sativa
43,43,19-02-2020 15:13:02,Tbilisi,366326d4d6,2LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,2 гр,0.0077,5031,1936,174,79.0,,,,,,,,,,,2LSD ---- LSD ALBERT HOFFMAN 200ug
44,44,19-02-2020 15:13:02,Tbilisi,366326d4d6,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!,True,3,нет,Тбилиси,2 гр,0.0351,22927,8824,793,360.0,,,,,,,,,,,2gr. Columbian Cocaine !!!!!!!!MEGA SALE!*****MEGA SALE!!!!!!!!!!
45,45,19-02-2020 15:13:02,Tbilisi,1768a14bbd,Cocaine HQ Высокое качество 2020 SALE 2гр.,True,3,нет,Тбилиси,2 гр,0.0361,23564,9069,815,370.0,,,,,,,,,,,Cocaine HQ Vysokoe kachestvo 2020 SALE 2gr.
46,46,19-02-2020 15:13:02,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0336,22609,8701,782,355.0,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
47,47,19-02-2020 15:13:02,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 2G (BTC sale 10%)",,4,нет,Тбилиси,2 гр,0.0077,5604,2157,194,88.0,True,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 2G (BTC sale 10%)"
48,48,19-02-2020 15:13:02,Tbilisi,3c4662c591,KALI MIST 2G,,8,нет,Тбилиси,2 гр,0.0097,6369,2451,220,100.0,True,,,,,,,,,,KALI MIST 2G
49,49,19-02-2020 15:13:02,Tbilisi,8219f5e7b8,Ketamine 2 g,True,3,нет,Тбилиси,2 гр,0.0176,11464,4412,397,180.0,,,,,,,,,,,Ketamine 2 g
50,50,19-02-2020 15:13:02,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,2,нет,Тбилиси,2 гр,0.0068,4458,1716,154,70.0,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
51,51,19-02-2020 15:13:02,Tbilisi,be97026d1d,MDMA from Europe!!! 2g BTC SALE 5%(ПОДЪЕЗД!!!),,2,нет,Тбилиси,2 гр,0.0166,11145,4289,386,175.0,,True,,,,,,,,,MDMA from Europe!!! 2g BTC SALE 5%(POD'EZD!!!)
52,52,19-02-2020 15:13:02,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,2,нет,Тбилиси,2 гр,0.0193,14011,5392,485,220.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
53,53,19-02-2020 15:13:02,Tbilisi,edfbad0151,Pineapple Express 2G pressed buds only (hydro),True,2,нет,Тбилиси,2 гр,0.008,5413,2083,187,85.0,,,,,,,,,,,Pineapple Express 2G pressed buds only (hydro)
54,54,19-02-2020 15:13:02,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,5,нет,Тбилиси,2 гр,0.0343,24838,9559,859,390.0,,,,,,,,,,,VHQ BEST Cocaine 2g.
55,55,19-02-2020 15:13:02,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,3,нет,Тбилиси,2 гр,0.0337,22227,8554,769,349.0,,,,,True,,,,,,Kokain KOLUMBIA 2g
56,56,19-02-2020 15:13:02,Tbilisi,366326d4d6,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!,True,1,нет,Тбилиси,3 гр,0.0106,6942,2672,240,109.0,,,,,,,,,,,3 Ecstasy >TEKASHI 69< !!! L I M I T E D !!!
57,57,19-02-2020 15:13:02,Tbilisi,89f7212915,3 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,4,нет,Тбилиси,3 гр,0.0105,7642,2941,264,120.0,,,,,,,,,,,3 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
58,58,19-02-2020 15:13:02,Tbilisi,8ddca45a78,3g AFGHANI Indica THC 18% / BTC -10% sale,True,2,нет,Тбилиси,3 гр,0.0097,7006,2696,242,110.0,,,,,,,,,,,3g AFGHANI Indica THC 18% / BTC -10% sale
59,59,19-02-2020 15:13:02,Tbilisi,7c395c455d,3gr bubble hash thc 25% гашиш вишего качество HQ,True,1,нет,Тбилиси,3 гр,0.0237,15603,6005,540,245.0,,,,,,,,,,,3gr bubble hash thc 25% gashish vishego kachestvo HQ
60,60,19-02-2020 15:13:02,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0102,6687,2574,231,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
61,61,19-02-2020 15:13:02,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0272,19743,7598,683,310.0,,,,,,,,,,,NZT-52 mind storm limited 3g muka
62,62,19-02-2020 15:13:02,Tbilisi,ae784bef73,White Widow ! 3G ! grainded,True,1,нет,Тбилиси,3 гр,0.0076,5031,1936,174,79.0,,,,,,,,,,,White Widow ! 3G ! grainded
63,63,19-02-2020 15:13:02,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,1,нет,Тбилиси,3 гр,0.0116,7579,2917,262,119.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
64,64,19-02-2020 15:13:02,Tbilisi,4be7861731,metadon sirop 4ml,True,1,нет,Тбилиси,4 гр,0.0065,4267,1642,148,67.0,,,,,,,,,,,metadon sirop 4ml
65,65,19-02-2020 15:13:02,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,1,нет,Тбилиси,5 гр,0.0155,10126,3897,350,159.0,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
66,66,19-02-2020 15:13:02,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0151,9872,3799,341,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
67,67,19-02-2020 15:13:45,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,4,нет,Тбилиси,5 гр,0.0152,9872,3799,341,155.0,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
68,68,19-02-2020 15:13:45,Tbilisi,366326d4d6,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!,True,1,нет,Тбилиси,5 гр,0.0831,54134,20834,1873,850.0,,,,,,,,,,,5gr. Columbian Cocaine NEW SALE! SALE!**************NEW SALE! SALE!
69,69,19-02-2020 15:13:45,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,5 гр,0.0171,11145,4289,386,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
70,70,19-02-2020 15:13:45,Tbilisi,d04eeb6525,5шт Ecstazy 280мг MDMA (Gray Duracell),True,2,нет,Тбилиси,5 гр,0.0144,9553,3677,330,150.0,,,,,,,,,,,5sht Ecstazy 280mg MDMA (Gray Duracell)
71,71,19-02-2020 15:13:45,Tbilisi,0fa6c5b020,Hybrid Weed VHQ (5г) BТС 10% СКИДКА,True,1,нет,Тбилиси,5 гр,0.015,10827,4167,375,170.0,,,,,,,,,,,Hybrid Weed VHQ (5g) BTS 10% SKIDKA
72,72,19-02-2020 15:13:45,Tbilisi,366326d4d6,NEW !!! 5G OG KusH !!! NEW,True,2,нет,Тбилиси,5 гр,0.0156,10126,3897,350,159.0,,,,,,,,,,,NEW !!! 5G OG KusH !!! NEW
73,73,19-02-2020 15:13:45,Tbilisi,c225d2f67d,гашиш евро 5г,True,1,нет,Тбилиси,5 гр,0.0195,13374,5147,463,210.0,,,,,,,,,,,gashish evro 5g
74,74,19-02-2020 15:13:45,Tbilisi,ef3dc4de6c,Extasy GUCCI 10шт. вес таблетки 450mg,True,6,нет,Тбилиси,10 гр,0.0259,17005,6544,588,267.0,,,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
75,75,19-02-2020 15:13:45,Tbilisi,8219f5e7b8,"LSD - 250 ug, 10 pieces",True,2,нет,Тбилиси,10 гр,0.0293,19106,7353,661,300.0,,,,,,,,,,,"LSD - 250 ug, 10 pieces"
76,76,19-02-2020 15:13:45,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0372,25475,9804,881,400.0,,,,,,,,,,,gashish evro 10g
77,77,19-02-2020 15:13:45,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,10,нет,Тбилиси,10 гр,0.0084,6050,2328,209,95.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
78,78,19-02-2020 15:13:45,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0722,49485,19044,1712,777.0,,,,,,,,,,,Gashish Evro 20gr
79,79,19-02-2020 15:13:45,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,3,5,Тбилиси,0.27 гр,0.0222,14457,5564,500,227.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
80,80,19-02-2020 15:13:45,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,3,5,Тбилиси,0.35 гр,0.0292,19043,7328,659,299.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
81,81,19-02-2020 15:13:45,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,True,нет,1,Тбилиси,1 гр,0.0046,3184,1226,110,50.0,,,,,,,,,,,Weed From Gali(THC 23%) 1gr
82,82,19-02-2020 15:13:45,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0587,38212,14706,1322,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
83,83,19-02-2020 15:13:45,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0387,25475,9804,881,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
84,84,19-02-2020 15:13:45,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0232,15285,5882,529,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
85,85,19-02-2020 15:13:45,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0242,15922,6128,551,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
86,86,19-02-2020 15:13:45,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.132,95531,36765,3305,1500.0,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
87,87,19-02-2020 15:13:45,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0242,15922,6128,551,250.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
88,88,19-02-2020 15:13:45,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0242,15922,6128,551,250.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
89,89,19-02-2020 15:13:45,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,2,Тбилиси,5 гр,0.0193,12674,4877,438,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
90,90,19-02-2020 15:13:45,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0242,15922,6128,551,250.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
91,91,19-02-2020 15:13:45,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0193,13948,5368,482,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
92,92,19-02-2020 15:13:45,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,5 гр,0.0184,13311,5123,460,209.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
93,93,19-02-2020 15:13:45,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,4,Тбилиси,5 гр,0.0184,13311,5123,460,209.0,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
94,94,19-02-2020 15:13:45,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,9,Тбилиси,5 гр,0.0242,15922,6128,551,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
95,95,19-02-2020 15:13:45,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0176,12737,4902,441,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
96,96,19-02-2020 15:13:45,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2626,190000,87429,6563,,,,,,,,,,,,reagent 25i nbome. 5gr
97,97,19-02-2020 15:13:45,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2641,191062,73530,6609,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
98,98,19-02-2020 15:13:45,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,1,Тбилиси,5 гр,0.0478,31143,11985,1077,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
99,99,19-02-2020 15:13:45,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0791,52000,23928,1796,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
100,100,19-02-2020 15:13:45,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0386,25411,9779,879,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
101,101,19-02-2020 15:14:14,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,3,Тбилиси,10 гр,0.1761,127375,49020,4406,2000.0,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
102,102,19-02-2020 15:14:14,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0775,50950,19608,1762,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
103,103,19-02-2020 15:14:14,Tbilisi,851e5b91a0,"Godfather OG - (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0351,25411,9779,879,399.0,,,,,,,,,,,"Godfather OG - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
