,Unnamed: 0,time_stamp,region,sell_code,description,Дигоми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,€,Тбилиси,$,Varketili,Vazisubani,Zahesi,Gldani,Saburtalo,Vake,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
30,30,04-07-2020 13:15:53,Tbilisi,54915c4374,марки н-боом 5шт.,,1,4,Тбилиси,5 гр,0.0068,4583,1778,157,,True,65.0,,,,,True,,,,,,marki n-boom 5sht.
31,31,04-07-2020 13:15:53,Tbilisi,0dec0e1c48,10 gr georgian weed. Package on magnet,,2,нет,Тбилиси,10 гр,0.0251,16849,6537,579,,True,239.0,,,,,,,,,,,10 gr georgian weed. Package on magnet
32,32,04-07-2020 13:15:53,Tbilisi,e56bb6ca93,10gr чистый пудра от марихуаны. DRIED MARIJUANA POWDER,,2,нет,Тбилиси,10 гр,0.0137,9094,3528,312,,True,129.0,,,,,,,,,,,10gr chistyj pudra ot marihuany. DRIED MARIJUANA POWDER
33,33,04-07-2020 13:15:53,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,2,нет,Тбилиси,10 гр,0.0459,31725,12308,1090,,True,450.0,,,,,,,,,,,Gashish Evro 10gr
34,34,04-07-2020 13:15:53,Tbilisi,7bd1a5deba,11+ GRAMM BEASTWEED NEW,,3,нет,Тбилиси,11 гр,0.0172,12690,4923,436,,True,180.0,,,,,,,,,,,11+ GRAMM BEASTWEED NEW
35,35,04-07-2020 13:17:16,Tbilisi,8528108b62,акция!!! 10g.+2 g. марихуана шишки Critical,,1,нет,Тбилиси,12 гр,0.0478,35250,13675,1211,,True,500.0,,,,,,,,,,,aktsija!!! 10g.+2 g. marihuana shishki Critical
36,36,04-07-2020 13:17:16,Tbilisi,ae784bef73,Silver haze leaves листья 15гр sale,,8,нет,Тбилиси,15 гр,0.0068,4583,1778,157,,True,65.0,,,,,,,,,,,Silver haze leaves list'ja 15gr sale
37,37,04-07-2020 13:17:16,Tbilisi,7bd1a5deba,25 GGAMM NEW BEASTWEED,,1,нет,Тбилиси,25 гр,0.0349,25732,9983,884,,True,365.0,,,,,,,,,,,25 GGAMM NEW BEASTWEED
38,38,04-07-2020 13:17:16,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2122,141000,54700,4843,,True,2000.0,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,39,04-07-2020 13:17:16,Tbilisi,54915c4374,Heroin (sirec) made from Azerbaijan 0.2 гр.,,нет,10,Тбилиси,0.2 гр,0.0101,6768,2626,232,,True,96.0,,,,,,,,,,,Heroin (sirec) made from Azerbaijan 0.2 gr.
40,40,04-07-2020 13:17:16,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (2гр)",,нет,8,Тбилиси,2 гр,0.0095,6345,2462,218,,True,90.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (2gr)"
41,41,04-07-2020 13:17:16,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,9,Тбилиси,2 гр,0.053,35179,13648,1208,,True,499.0,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
42,42,04-07-2020 13:17:16,Tbilisi,54915c4374,Комбо!!! MDMA 0.2 + марки н боом 2 шт. (2.2 гр),,нет,9,Тбилиси,2.2 гр,0.0089,5942,2295,205,75.0,True,,,,,,,,,,,,Kombo!!! MDMA 0.2 + marki n boom 2 sht. (2.2 gr)
43,43,04-07-2020 13:17:16,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",,нет,3,Тбилиси,3 гр,0.0126,8460,3282,291,,True,120.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
44,44,04-07-2020 13:17:16,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,20,Тбилиси,3 гр,0.0796,52875,20513,1816,,True,750.0,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,45,04-07-2020 13:17:16,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,5,Тбилиси,4 гр,0.0421,28200,10940,969,,True,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,04-07-2020 13:17:16,Tbilisi,54915c4374,Combo!!! 2 Ecztazy and 2 N-BooM (4 штуки),,нет,8,Тбилиси,4 гр,0.0126,8460,3282,291,,True,120.0,,,,,,,,,,,Combo!!! 2 Ecztazy and 2 N-BooM (4 shtuki)
47,47,04-07-2020 13:17:16,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0263,17625,6838,605,,True,250.0,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
48,48,04-07-2020 13:17:16,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0578,38775,15043,1332,,True,550.0,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
49,49,04-07-2020 13:17:16,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0284,19035,7385,654,,True,270.0,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
50,50,04-07-2020 13:17:16,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,5,Тбилиси,5 гр,0.0294,19740,7658,678,,True,280.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
51,51,04-07-2020 13:17:16,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0289,19387,7521,666,,True,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
52,52,04-07-2020 13:17:16,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0252,16920,6564,581,,True,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
53,53,04-07-2020 13:17:16,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,7,Тбилиси,5 гр,0.0294,19740,7658,678,,True,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
54,54,04-07-2020 13:17:16,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0284,19035,7385,654,,True,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
55,55,04-07-2020 13:17:16,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0209,15439,5990,530,,True,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
56,56,04-07-2020 13:17:16,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,4,Тбилиси,5 гр,0.0183,12267,4759,421,,True,174.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
57,57,04-07-2020 13:17:16,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0284,19035,7385,654,,True,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
58,58,04-07-2020 13:17:16,Tbilisi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Тбилиси,5 гр,0.1577,105750,41025,3632,,True,1500.0,,,,,,,,,,,Gerojn (sirets) 5 gr
59,59,04-07-2020 13:17:16,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,1,Тбилиси,5 гр,0.0263,17625,6838,605,,,250.0,,,,,True,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
60,60,04-07-2020 13:17:16,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2576,190000,87429,6528,,True,,,,,,,,,,,,reagent 25i nbome. 5gr
61,61,04-07-2020 13:17:16,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2868,211500,82050,7264,,,3000.0,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
62,62,04-07-2020 13:17:16,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,7,Тбилиси,5 гр,0.1326,88054,34160,3024,,True,1249.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
63,63,04-07-2020 13:17:16,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,4,Тбилиси,5 гр,0.0212,14100,5470,484,,True,200.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
64,64,04-07-2020 13:17:16,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0946,63450,24615,2179,,True,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
65,65,04-07-2020 13:17:16,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0578,38775,15043,1332,,True,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
66,66,04-07-2020 13:17:16,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0736,49350,19145,1695,,True,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
67,67,04-07-2020 13:17:16,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0442,29610,11487,1017,,True,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
68,68,04-07-2020 13:17:16,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0841,56400,21880,1937,,True,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
69,69,04-07-2020 13:18:44,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0841,56400,21880,1937,,True,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,70,04-07-2020 13:18:44,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0368,24675,9573,847,,True,350.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
71,71,04-07-2020 13:18:44,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2338,156862,60854,5388,,True,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
72,72,04-07-2020 13:18:44,Tbilisi,54915c4374,Марки н-боом 10 шт.,,нет,7,Тбилиси,10 гр,0.0105,7050,2735,242,,True,100.0,,,,,,,,,,,Marki n-boom 10 sht.
73,73,04-07-2020 13:18:44,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,7,Тбилиси,10 гр,0.2652,176179,68348,6051,,True,2499.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
74,74,04-07-2020 13:18:44,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,15,Тбилиси,10 гр,0.0424,28200,10940,969,,True,400.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
75,75,04-07-2020 13:18:44,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,11 гр,0.0465,30896,11934,1065,390.0,True,,,,,,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
76,76,04-07-2020 13:18:44,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,20,Тбилиси,20 гр,0.0849,56400,21880,1937,,True,800.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
77,77,04-07-2020 13:18:44,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2522,169200,65640,5811,,True,2400.0,,,,,,,,,,,100 gr marijuana buds
78,78,04-07-2020 13:18:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2101,141000,54700,4843,,True,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,79,04-07-2020 13:18:44,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2627,176250,68375,6054,,True,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
80,80,04-07-2020 13:18:44,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6199,415949,161365,14286,,True,5900.0,,,,,,,,,,,180 gr marihuana persoalno
81,81,04-07-2020 13:18:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.4833,324300,125810,11138,,True,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
82,82,04-07-2020 13:18:44,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.7879999999999999,528749,205125,18161,,True,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
83,83,04-07-2020 13:18:44,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.893,599249,232475,20582,,True,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
84,84,04-07-2020 13:18:44,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0191,14100,5470,484,,True,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
85,85,04-07-2020 13:18:44,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0263,17625,6838,605,,True,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
86,86,04-07-2020 13:18:44,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.021,14100,5470,484,,True,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
87,87,04-07-2020 13:18:44,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0263,17625,6838,605,,True,250.0,,,,,,,,,,,Rabota na marki (kur'er)
88,88,04-07-2020 13:18:44,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.5903,1057499,410250,36321,,True,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
89,89,04-07-2020 13:22:06,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️",,11,нет,Батуми,2 гр,0.0119,7922,3060,273,100.0,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 2pc 🎭🔮🧞‍♀️"
90,90,04-07-2020 13:22:06,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0474,31725,12308,1090,,,450.0,,,,,,,,,,True,Super Critical 10G
91,91,04-07-2020 13:22:06,Batumi,f8a875c191,METADON - 0.25 - SALE,,нет,9,Батуми,0.25 гр,0.0266,17625,6838,605,,,250.0,,,,,,,,,True,,METADON - 0.25 - SALE
92,92,04-07-2020 13:22:07,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1579,105750,41025,3632,,,1500.0,,,,,,,,,True,,Gerojn (sirets) 5 gr
93,93,04-07-2020 13:22:07,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Батуми,11 гр,0.0465,30896,11934,1065,390.0,,,,,,,,,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
94,94,04-07-2020 13:22:07,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,5,Батуми,11 гр,0.0501,33273,12852,1147,420.0,,,,,,,,,,,True,,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
95,95,04-07-2020 13:22:07,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1687,112990,51992,3882,,,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
96,96,04-07-2020 13:22:07,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.267,178900,82321,6147,,,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
97,97,04-07-2020 13:22:07,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7050,2735,242,,,100.0,,,,,,,,,True,,kur'er v Batumi
98,98,04-07-2020 13:22:07,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17625,6838,605,,,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
99,99,04-07-2020 13:22:07,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17625,6838,605,,,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
100,100,04-07-2020 13:22:07,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.021,14100,5470,484,,,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
101,101,04-07-2020 13:22:07,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5929,1057499,410250,36321,,,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
