,time_stamp,region,sell_code,sell_name,description,Vake,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Saburtalo,€,Didube,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
10,02-04-2020 04:15:04,Tbilisi,91Z98,Avocado,VHQ BEST Cocaine 1g.,,3,нет,Тбилиси,1 гр,0.0271,15935,5750,532,205,True,,,,,,,,,VHQ BEST Cocaine 1g.
11,02-04-2020 04:15:04,Tbilisi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,7,нет,Тбилиси,1 гр,0.0206,11660,4208,390,150,,True,,,,,,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
12,02-04-2020 04:15:04,Tbilisi,5J3H,coketbs,Кокаин КОЛУМБИА 1g,True,1,нет,Тбилиси,1 гр,0.0246,13914,5021,465,179,,,,,,,,,,Kokain KOLUMBIA 1g
13,02-04-2020 04:15:04,Tbilisi,1IZXK,BadboysTbl,Метадон 1гр,,1,нет,Тбилиси,1 гр,0.1126,69959,25245,2338,900,True,,,,,,,,,Metadon 1gr
14,02-04-2020 04:15:04,Tbilisi,LGRP8,Walker12,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %,,4,нет,Тбилиси,1 гр,0.005,3109,1122,104,40,True,,,,,,,,,♥ VHQ ♥ 1G TANGERINE DREAM (THC 20 % Import) SALE 10 %
15,02-04-2020 04:15:05,Tbilisi,8B31,GEOWEEDSHOP,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.,,1,нет,Тбилиси,2 гр,0.0109,6141,2216,205,79,,True,,,,,,,,2 gr auto ULTIMATE.Dutch Passion strain. 50% indica 50% sativa.
16,02-04-2020 04:15:05,Tbilisi,NVOG,ProperMgzn,2x Extasy Duracell 223mg MDMA.,,6,нет,Тбилиси,2 гр,0.0097,5441,1964,182,70,True,,,,,,,,,2x Extasy Duracell 223mg MDMA.
17,02-04-2020 04:15:05,Tbilisi,BB6E,WEEDSH0P,CHEESE WEED BUDS+leaves 2gr saburtalo !!,,3,нет,Тбилиси,2 гр,0.0066,3731,1346,125,48,True,,,,,,,,,CHEESE WEED BUDS+leaves 2gr saburtalo !!
18,02-04-2020 04:15:05,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 2 g,,2,нет,Тбилиси,2 гр,0.045,27984,10098,935,360,True,,,,,,,,,Cocaine Pure VHQ 2 g
19,02-04-2020 04:15:05,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 2 штуки!!!,,21,нет,Тбилиси,2 гр,0.0044,2721,982,91,35,True,True,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 2 shtuki!!!
20,02-04-2020 04:15:05,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome. 2шт. готовые клады в Грузии от производителя!,,5,нет,Тбилиси,2 гр,0.0044,2721,982,91,35,True,True,,,,,,,,Moschnye zhirnye marki 25i nbome. 2sht. gotovye klady v Gruzii ot proizvoditelja!
21,02-04-2020 04:15:05,Tbilisi,9VLN,AlienShop,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0152,8473,3057,283,109,True,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
22,02-04-2020 04:15:05,Tbilisi,WLV7F,AGsgrowgro,metadon hydrochloride 4г,,1,нет,Тбилиси,4 гр,0.0076,4275,1543,143,55,,True,,,,,,,,metadon hydrochloride 4g
23,02-04-2020 04:15:05,Tbilisi,C7LQ,Scandal,"5 Grm MDMA , Purity A +++",,2,нет,Тбилиси,5 гр,0.0423,24874,8976,831,320,True,,,,,,,,,"5 Grm MDMA , Purity A +++"
24,02-04-2020 04:15:05,Tbilisi,BCF,Doitgod,5 Grm Mdma Pure Quality A +++,,1,нет,Тбилиси,5 гр,0.0409,23320,8415,779,300,True,,,,,,,,,5 Grm Mdma Pure Quality A +++
25,02-04-2020 04:15:05,Tbilisi,03F3,geoshop,5 gr Amnesia Haze шишки импорт с европы тгк 28%,,7,нет,Тбилиси,5 гр,0.0227,12826,4628,429,165,True,,,,,,,,,5 gr Amnesia Haze shishki import s evropy tgk 28%
26,02-04-2020 04:15:05,Tbilisi,0WE,Khachapuri,5 gr mdma (скидка в биткоин 5%),,2,нет,Тбилиси,5 гр,0.0335,19720,7061,655,,True,,230,,,,,,,5 gr mdma (skidka v bitkoin 5%)
27,02-04-2020 04:15:05,Tbilisi,BB6E,WEEDSH0P,5gr Stardawg Auto WEED BUDS,,6,нет,Тбилиси,5 гр,0.0233,13137,4740,439,169,True,,,,,,,,,5gr Stardawg Auto WEED BUDS
28,02-04-2020 04:15:05,Tbilisi,NVOG,ProperMgzn,5x Extasy Duracell 223mg MDMA.,,5,нет,Тбилиси,5 гр,0.0243,13603,4909,455,175,True,,,,,,,,,5x Extasy Duracell 223mg MDMA.
29,02-04-2020 04:15:05,Tbilisi,SDQN,YummyShop,Cocaine Pure VHQ 5g.,,2,нет,Тбилиси,5 гр,0.1,62108,22412,2075,799,True,,,,,,,,,Cocaine Pure VHQ 5g.
30,02-04-2020 04:15:05,Tbilisi,BCF,Doitgod,Ketamine S 5grm(Netherlands) Purity 87%,,1,нет,Тбилиси,5 гр,0.0681,38866,14025,1299,500,True,,,,,,,,,Ketamine S 5grm(Netherlands) Purity 87%
31,02-04-2020 04:15:05,Tbilisi,6UG,Good Enuff,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0069,4275,1543,143,55,True,,,,,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
32,02-04-2020 04:15:05,Tbilisi,A3I9,Joookerrr,Божественный эйфорик!!! Марки нбоооом!!! 6 штук!!!!,,2,нет,Тбилиси,6 гр,0.01,6219,2244,208,80,,True,,,,,,,,Bozhestvennyj ejforik!!! Marki nboooom!!! 6 shtuk!!!!
33,02-04-2020 04:15:05,Tbilisi,8B31,GEOWEEDSHOP,10 gr marijuana buds. -indica-,,1,нет,Тбилиси,10 гр,0.0329,18578,6704,621,239,,True,,,,,,,,10 gr marijuana buds. -indica-
34,02-04-2020 04:15:59,Tbilisi,5ZOKU,AGROHUUB,"10g. Шишки Amnesia Haze, Сатива",,1,нет,Тбилиси,10 гр,0.0547,31015,11192,1036,399,,True,,,,,,,,"10g. Shishki Amnesia Haze, Sativa"
35,02-04-2020 04:15:59,Tbilisi,P5MBO,ToppoT,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨,,1,нет,Тбилиси,10 гр,0.05,28372,10238,948,365,,,,True,,,,,,10pc. LSD California sunshine 200ug.✨✨🍃🍃🍃🍃✨✨
36,02-04-2020 04:15:59,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 10шт. вес таблетки 450mg,,1,нет,Тбилиси,10 гр,0.0366,20755,7489,693,267,True,,,,,,,,,Extasy GUCCI 10sht. ves tabletki 450mg
37,02-04-2020 04:15:59,Tbilisi,SM7B,SWEETWEED,гашиш евро 10г,,2,нет,Тбилиси,10 гр,0.0526,31093,11220,1039,400,True,,,,,,,,,gashish evro 10g
38,02-04-2020 04:15:59,Tbilisi,SM7B,SWEETWEED,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.1022,60398,21795,2018,777,True,,,,,,,,,Gashish Evro 20gr
39,02-04-2020 04:15:59,Tbilisi,A08BZ,Subway,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2493,155465,56100,5195,2000,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
40,02-04-2020 04:15:59,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 0.25 G.,,нет,15,Тбилиси,0.25 гр,0.0346,19433,7013,649,250,True,,,,,,,,,METADON - 0.25 G.
41,02-04-2020 04:15:59,Tbilisi,A3I9,Joookerrr,MDMA 1 гр,,нет,5,Тбилиси,1 гр,0.0138,8574,3070,285,,True,,100,,,,,,,MDMA 1 gr
42,02-04-2020 04:15:59,Tbilisi,XH0NP,XX-PABLO-XX,Метадон - (KRISTAL) - VHQ - 1.5 G (SALE),,нет,15,Тбилиси,1.5 гр,0.1039,58299,21038,1948,750,True,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1.5 G (SALE)
43,02-04-2020 04:15:59,Tbilisi,9VLN,AlienShop,✨✨2gram. MDMA✨✨,,1,2,Тбилиси,2 гр,0.0277,15547,5610,519,200,True,,,,,,,,,✨✨2gram. MDMA✨✨
44,02-04-2020 04:15:59,Tbilisi,9VLN,AlienShop,❄❄2g HQ COCAINE❄❄,,нет,3,Тбилиси,2 гр,0.0511,28683,10350,958,369,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
45,02-04-2020 04:15:59,Tbilisi,9VLN,AlienShop,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,3,Тбилиси,3 гр,0.0817,45862,16550,1532,590,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
46,02-04-2020 04:15:59,Tbilisi,03F3,geoshop,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0548,31093,11220,1039,400,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
47,02-04-2020 04:15:59,Tbilisi,JVZTQ,partyshop,5 Amnesia Haze марихуана шишки тгк 25%,,нет,4,Тбилиси,5 гр,0.0219,12437,4488,416,160,True,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
48,02-04-2020 04:15:59,Tbilisi,JVZTQ,partyshop,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0754,42753,15428,1429,550,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
49,02-04-2020 04:15:59,Tbilisi,BB6E,WEEDSH0P,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,1,Тбилиси,5 гр,0.0232,13137,4740,439,169,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
50,02-04-2020 04:15:59,Tbilisi,SF03,CRAZYFROG,5 gr Шишки “OG KUSH VHQ”,,нет,8,Тбилиси,5 гр,0.0233,13215,4769,442,170,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
51,02-04-2020 04:15:59,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,1,Тбилиси,5 гр,0.0273,15469,5582,517,199,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
52,02-04-2020 04:15:59,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,10,Тбилиси,5 гр,0.0273,15469,5582,517,199,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
53,02-04-2020 04:15:59,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,9,Тбилиси,5 гр,0.0273,15469,5582,517,199,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
54,02-04-2020 04:15:59,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0273,17023,6143,569,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
55,02-04-2020 04:15:59,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 5 G. (SHISHKI) (SALE),,нет,5,Тбилиси,5 гр,0.0415,23320,8415,779,300,True,,,,,,,,,MARIXYANA - 5 G. (SHISHKI) (SALE)
56,02-04-2020 04:15:59,Tbilisi,XH0NP,XX-PABLO-XX,METADON - 5 G.,,нет,15,Тбилиси,5 гр,0.2077,116599,42075,3896,1500,True,,,,,,,,,METADON - 5 G.
57,02-04-2020 04:15:59,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,7,Тбилиси,5 гр,0.0273,15469,5582,517,199,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
58,02-04-2020 04:15:59,Tbilisi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,нет,12,Тбилиси,5 гр,0.0249,15547,5610,519,200,True,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
59,02-04-2020 04:15:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.3047,190000,87429,6245,,True,,,,,,,,,reagent 25i nbome. 5gr
60,02-04-2020 04:15:59,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.374,233198,84150,7792,3000,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
61,02-04-2020 04:15:59,Tbilisi,9VLN,AlienShop,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,2,Тбилиси,5 гр,0.1203,67550,24375,2257,869,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
62,02-04-2020 04:15:59,Tbilisi,9VLN,AlienShop,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,5,Тбилиси,5 гр,0.0263,14769,5330,493,190,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
63,02-04-2020 04:15:59,Tbilisi,9VLN,AlienShop,💘✨5g. MDMA ✨💘,,нет,5,Тбилиси,5 гр,0.0677,38011,13716,1270,489,True,,,,,,,,,💘✨5g. MDMA ✨💘
64,02-04-2020 04:15:59,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,7,Тбилиси,5 гр,0.0262,14691,5301,491,189,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
65,02-04-2020 04:15:59,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1234,69959,25245,2338,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
66,02-04-2020 04:16:50,Tbilisi,03F3,geoshop,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.1244,69959,25245,2338,900,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
67,02-04-2020 04:16:50,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,5,Тбилиси,10 гр,0.0967,54413,19635,1818,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
68,02-04-2020 04:16:50,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,6,Тбилиси,10 гр,0.0442,24874,8976,831,320,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
69,02-04-2020 04:16:50,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,5,Тбилиси,10 гр,0.1106,62186,22440,2078,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
70,02-04-2020 04:16:50,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.3075,172955,62411,5779,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
71,02-04-2020 04:16:50,Tbilisi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 10 штук!!! (спец предзаказ),,нет,9,Тбилиси,10 гр,0.0139,8574,3070,285,,True,,100,,,,,,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 10 shtuk!!! (spets predzakaz)
72,02-04-2020 04:16:50,Tbilisi,9VLN,AlienShop,☃️❄NEW 10g.COCAINE❄☃️,,нет,8,Тбилиси,10 гр,0.2023,112634,40644,3763,1449,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
73,02-04-2020 04:16:50,Tbilisi,9VLN,AlienShop,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0515,28683,10350,958,369,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
74,02-04-2020 04:16:50,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,2,Тбилиси,10 гр,0.0417,23242,8387,777,299,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
75,02-04-2020 04:16:50,Tbilisi,9VLN,AlienShop,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0836,46562,16802,1556,599,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
76,02-04-2020 04:16:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.152,85506,30855,2857,1100,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
77,02-04-2020 04:16:50,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.3317,186558,67320,6234,2400,True,,,,,,,,,100 gr marijuana buds
78,02-04-2020 04:16:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2764,155465,56100,5195,2000,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
79,02-04-2020 04:16:50,Tbilisi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,1,Тбилиси,100 гр,0.2792,155465,56100,5195,2000,True,,,,,,,,,SUBOXIN - HQ - 100 G.
80,02-04-2020 04:16:50,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.3455,194331,70125,6493,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
81,02-04-2020 04:16:50,Tbilisi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,1,Тбилиси,150 гр,0.2094,116599,42075,3896,1500,True,,,,,,,,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
82,02-04-2020 04:16:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.6357,357570,129030,11948,4600,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
83,02-04-2020 04:16:50,Tbilisi,SNXLT,MOSKOWM,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,1.0365,582994,210375,19480,7500,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
84,02-04-2020 04:16:50,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,1.1747,660726,238425,22077,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
85,02-04-2020 04:16:50,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0251,15547,5610,519,200,True,,,,,,,,,KURYER..500RUB.+BONUS
86,02-04-2020 04:16:50,Tbilisi,8B31,GEOWEEDSHOP,"Работа курьером в Тбилиси, ЗП от 1500$ в месяц, работа только с марихуаной, залог от 200$",,1,нет,Тбилиси,1 гр,0.0207,11660,4208,390,150,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1500$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 200$"
87,02-04-2020 04:16:50,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0276,15547,5610,519,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,02-04-2020 04:16:50,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0346,19433,7013,649,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
89,02-04-2020 04:16:50,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,2.0919,1165988,420750,38960,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
90,02-04-2020 04:18:15,Batumi,V4T,COCAcoLA,MEPHEDRONE 0.5 gr,,2,нет,Батуми,0.5 гр,0.01,6219,2244,208,80,,,,,,,True,,,MEPHEDRONE 0.5 gr
91,02-04-2020 04:18:15,Batumi,72B,CHINATOWN,NZT-52 limited 1 г мука,,1,нет,Батуми,1 гр,0.0237,14769,5330,493,190,,,,,,,,True,,NZT-52 limited 1 g muka
92,02-04-2020 04:18:15,Batumi,V4T,COCAcoLA,mephedrone 1gr высшый стиль!) лекарство от корона вируса!),,2,нет,Батуми,1 гр,0.0206,11660,4208,390,150,,,,,,,True,,,mephedrone 1gr vysshyj stil'!) lekarstvo ot korona virusa!)
93,02-04-2020 04:18:15,Batumi,A3I9,Joookerrr,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,10,нет,Батуми,2 гр,0.0047,2954,1066,99,38,,,,,,,,True,,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
94,02-04-2020 04:18:15,Batumi,CL7K,go420times,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3017,171012,61710,5714,2200,,,,,,,,True,,[100g] SPAIN HASH
95,02-04-2020 04:18:15,Batumi,A08BZ,Subway,Метамфетамин рацемат 5 г. (MQ),,2,13,Батуми,5 гр,0.0249,15547,5610,519,200,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
96,02-04-2020 04:18:15,Batumi,XH0NP,XX-PABLO-XX,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.277,155465,56100,5195,2000,,,,,,,,True,,SUBOXIN - HQ - 100 G.
97,02-04-2020 04:18:15,Batumi,XH0NP,XX-PABLO-XX,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2077,116599,42075,3896,1500,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
98,02-04-2020 04:18:15,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7773,2805,260,100,,,,,,,,True,,kur'er v Batumi
99,02-04-2020 04:18:15,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0312,19433,7013,649,250,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
100,02-04-2020 04:18:15,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0312,19433,7013,649,250,,,,,,,,True,,Ischu kur'era v Gruzii!
101,02-04-2020 04:18:15,Batumi,A3I9,Joookerrr,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0374,23320,8415,779,300,,,,,,,,True,,Rabota na marki (kur'er)
102,02-04-2020 04:18:15,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.0755,1165988,420750,38960,15000,,,,,,,,True,,Vakansija optovogo kur'era na mef
103,02-04-2020 04:18:15,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0686,38866,14025,1299,500,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
104,02-04-2020 04:20:12,Kutaisi,EIH4,San4oPan4o,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,1 гр,0.0259,14847,5358,496,191,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
