,time_stamp,region,sell_code,sell_name,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Дигоми,Saburtalo,Old Tbilisi (Старый город),Авлобари,Didube,Vake,Varketili,Батуми,Центр,€,desc_en
55,16-08-2020 17:09:21,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2005,190000,87429,6381,,,,,,,,,,,,reagent 25i nbome. 5gr
56,16-08-2020 17:09:21,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2317,219647,82800,7369,3000,,,True,True,,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
57,16-08-2020 17:09:21,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️🌈️🤩 5 LSD 250ug.🤩🌈️🌈️🧚‍♂️,True,нет,10,Тбилиси,5 гр,0.0197,16766,6320,563,229,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 250ug.🤩🌈️🌈️🧚‍♂️
58,16-08-2020 17:09:21,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0467,40269,15180,1351,550,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
59,16-08-2020 17:09:21,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,1,Тбилиси,10 гр,0.0595,51251,19320,1719,700,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
60,16-08-2020 17:09:21,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0357,30751,11592,1032,420,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
61,16-08-2020 17:09:21,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.068,58573,22080,1965,800,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
62,16-08-2020 17:09:21,Tbilisi,HWUW,opiopi,GABAGAMA 10 shtuk,True,нет,2,Тбилиси,10 гр,0.0012,1025,386,34,14,,,,,,,,,,,GABAGAMA 10 shtuk
63,16-08-2020 17:09:21,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1891,162905,61410,5465,2225,,,,,,,,,,,Amfetamin [White] [Import] 10G
64,16-08-2020 17:09:21,Tbilisi,9VLN,AlienShop,🧚‍♂️🌈️👽 10 LSD 250ug.👽🌈️🧚‍♂️,True,нет,5,Тбилиси,10 гр,0.0334,28481,10736,956,389,,,,,,,,,,,🧚‍♂️🌈️👽 10 LSD 250ug.👽🌈️🧚‍♂️
65,16-08-2020 17:09:21,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2039,175718,66240,5895,2400,,,,,,,,,,,100 gr marijuana buds
66,16-08-2020 17:09:21,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",True,нет,2,Тбилиси,100 гр,0.0084,7248,2732,243,99,,,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
67,16-08-2020 17:09:21,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2124,183039,69000,6141,2500,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
68,16-08-2020 17:09:21,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5014,431973,162840,14493,5900,,,,,,,,,,,180 gr marihuana persoalno
69,16-08-2020 17:09:21,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0244,21000,9663,705,,,,,,True,,,,,,GABAGAMA 250 shtuk
70,16-08-2020 17:09:21,Tbilisi,51K,tiabaldo66,РоСС Убой 2гр,True,нет,33,Тбилиси,2 гр,0.0063,5638,2125,189,77,,,,,,,,,,,RoSS Uboj 2gr
71,16-08-2020 17:09:21,Tbilisi,S54D,wildindian,10g Methadone Crystal (В ЦЕНТРЕ НА МАГНИТАХ),True,нет,2,Тбилиси,10 гр,0.2472,234290,88320,7860,3200,,,,,,,,,,,10g Methadone Crystal (V TsENTRE NA MAGNITAH)
72,16-08-2020 17:10:12,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5015,431973,162840,14493,5900,,,,,,,,,,,180 gr marihuana persoalno
73,16-08-2020 17:10:12,Tbilisi,HWUW,opiopi,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0244,21000,9663,705,,,,,,True,,,,,,GABAGAMA 250 shtuk
74,16-08-2020 17:10:12,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7224,622333,234600,20879,8500,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,16-08-2020 17:10:12,Tbilisi,XUYA,MRweed,Курьер Тбилиси,True,1,нет,Тбилиси,1 гр,0.0309,29286,11040,983,400,,,,,,,,,,,Kur'er Tbilisi
76,16-08-2020 17:10:12,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.017,14643,5520,491,200,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,16-08-2020 17:10:12,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0212,18304,6900,614,250,,,,,,,,,,,Rabota na marki (kur'er)
78,16-08-2020 17:10:12,Tbilisi,6P9R,RickNMorty,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0425,36608,13800,1228,500,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
79,16-08-2020 17:10:12,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0425,36608,13800,1228,500,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
80,16-08-2020 17:10:12,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2865,1098236,414000,36846,15000,,,,,,,,,,,Vakansija optovogo kur'era na mef
81,16-08-2020 17:10:12,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0425,36608,13800,1228,500,,,True,,,True,True,,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
82,16-08-2020 17:10:12,Tbilisi,ALISA,AlisaMSK,верифицированный аккаунт на localbitcoins 1 шт,True,нет,2,Тбилиси,1 гр,0.0035,3000,1380,101,,,,,,,,,,,,verifitsirovannyj akkaunt na localbitcoins 1 sht
83,16-08-2020 17:10:12,Tbilisi,ALISA,AlisaMSK,Генацвале! Работай у лучшей девушки RC!,True,нет,1,Тбилиси,2 гр,0.0085,7322,2760,246,100,,,,,,,,,,,Genatsvale! Rabotaj u luchshej devushki RC!
84,16-08-2020 17:12:41,Batumi,XUYA,MRweed,Critical + 2.0 Grinded Moonrocks (измельченные мунроки) 5гр,,3,нет,Батуми,5 гр,0.0231,21892,8252,734,299,,,,,,,,True,,,Critical + 2.0 Grinded Moonrocks (izmel'chennye munroki) 5gr
85,16-08-2020 17:12:41,Batumi,5HQU,LIKEaBOSS,ASTRAL 10g,,1,нет,Батуми,10 гр,0.0516,45394,17112,1523,620,,,,,,,,,True,,ASTRAL 10g
86,16-08-2020 17:12:41,Batumi,XUYA,MRweed,Critical + 2.0 Grinded Buds (измельченные шишки) 15гр,,1,нет,Батуми,15 гр,0.0502,47590,17940,1597,650,,,,,,,,True,,,Critical + 2.0 Grinded Buds (izmel'chennye shishki) 15gr
87,16-08-2020 17:12:41,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0404,34477,13007,1157,,,,,,,,,True,,399,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
88,16-08-2020 17:12:41,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0395,33700,12714,1131,,,,,,,,,True,,390,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
89,16-08-2020 17:12:41,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0193,18304,6900,614,250,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
90,16-08-2020 17:12:41,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0193,18304,6900,614,250,,,,,,,,True,,,Ischu kur'era v Gruzii!
91,16-08-2020 17:12:41,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.017,14643,5520,491,200,,,,,,,,True,,,Kur'er Batumi na marihuanu
92,16-08-2020 17:12:41,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2863,1098236,414000,36846,15000,,,,,,,,True,,,Vakansija optovogo kur'era na mef
93,16-08-2020 17:12:41,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0425,36608,13800,1228,500,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
